"Case","TimeS","Nodes","MeanDispMm","MaxDispMm","MeanWMm","MeanAbsWMm","MinWMm","MaxWMm","MeanVmKpa","MaxVmKpa"
"softskin","0","2776","0","0","0","0","0","0","0","0"
"softskin","0.025","2776","0.022854","0.026351","-0.022812","0.022812","-0.026351","0","0.002875","0.02457"
"softskin","0.05","2776","0.160398","0.205133","-0.159965","0.159965","-0.205133","0","0.019843","0.123048"
"softskin","0.075","2776","0.473938","0.678172","-0.472059","0.472059","-0.678172","0","0.061254","0.308466"
"softskin","0.1","2776","0.921919","1.432533","-0.916573","0.916573","-1.432533","0","0.12263","0.559957"
"softskin","0.125","2776","1.38271","2.227715","-1.372553","1.372553","-2.227715","0","0.186029","0.820178"
"softskin","0.15","2776","1.740485","2.812911","-1.726969","1.726969","-2.812911","0","0.234166","1.028678"
"softskin","0.175","2776","1.93657","3.093059","-1.922832","1.922832","-3.093059","0","0.260084","1.155327"
"softskin","0.2","2776","1.984207","3.114868","-1.971812","1.971812","-3.114868","0","0.264661","1.199591"
"softskin","0.225","2776","1.982917","3.088546","-1.970812","1.970812","-3.088546","0","0.262579","1.210574"
"softskin","0.25","2776","2.082619","3.250455","-2.069774","2.069774","-3.250455","0","0.275913","1.277376"
"softskin","0.275","2776","2.350333","3.66553","-2.336076","2.336076","-3.66553","0","0.312056","1.446237"
"softskin","0.3","2776","2.758166","4.307142","-2.740918","2.740918","-4.307142","0","0.36649","1.686787"
"softskin","0.325","2776","3.222607","5.080875","-3.201517","3.201517","-5.080875","0","0.429395","1.937603"
"softskin","0.35","2776","3.631087","5.782976","-3.606359","3.606359","-5.782976","0","0.486254","2.170071"
"softskin","0.375","2776","3.879443","6.178438","-3.85241","3.85241","-6.178438","0","0.519641","2.327364"
"softskin","0.4","2776","3.96051","6.256925","-3.933876","3.933876","-6.256925","0","0.528402","2.393737"
"softskin","0.425","2776","3.968897","6.224378","-3.943984","3.943984","-6.224377","0","0.52815","2.410489"
"softskin","0.45","2776","4.021267","6.281294","-3.996605","3.996605","-6.281294","0","0.533795","2.451829"
"softskin","0.475","2776","4.223316","6.609367","-4.196951","4.196951","-6.609367","0","0.560918","2.574315"
"softskin","0.5","2776","4.600147","7.223251","-4.570826","4.570826","-7.223251","0","0.611958","2.801046"
"softskin","0.525","2776","5.071076","7.988694","-5.037843","5.037843","-7.988694","0","0.676235","3.075758"
"softskin","0.55","2776","5.500649","8.698048","-5.464049","5.464049","-8.698048","0","0.734463","3.309011"
"softskin","0.575","2776","5.795559","9.189443","-5.756836","5.756836","-9.189443","0","0.774196","3.476029"
"softskin","0.6","2776","5.930975","9.383833","-5.891458","5.891458","-9.383833","0","0.791766","3.575267"
"softskin","0.625","2776","5.956226","9.373253","-5.91735","5.91735","-9.373253","0","0.793803","3.618138"
"softskin","0.65","2776","5.979009","9.378143","-5.94117","5.94117","-9.378143","0","0.795396","3.637023"
"softskin","0.675","2776","6.119357","9.581667","-6.081167","6.081167","-9.581667","0","0.812828","3.722473"
"softskin","0.7","2776","6.447987","10.115454","-6.407271","6.407271","-10.115454","0","0.857576","3.918035"
"softskin","0.725","2776","6.904697","10.873964","-6.86003","6.86003","-10.873964","0","0.920402","4.18654"
"softskin","0.75","2776","7.362154","11.627008","-7.313176","7.313176","-11.627008","0","0.982259","4.446552"
"softskin","0.775","2776","7.708807","12.198272","-7.657132","7.657132","-12.198272","0","1.029098","4.645131"
"softskin","0.8","2776","7.890436","12.47939","-7.838565","7.838565","-12.47939","0","1.053442","4.748834"
"softskin","0.825","2776","7.931104","12.49621","-7.879678","7.879678","-12.49621","0","1.057071","4.79531"
"softskin","0.85","2776","7.944645","12.473285","-7.893493","7.893493","-12.473285","0","1.057065","4.833861"
"softskin","0.875","2776","8.053191","12.639432","-8.001996","8.001996","-12.639432","0","1.071692","4.900562"
"softskin","0.9","2776","8.314687","13.060427","-8.261866","8.261866","-13.060426","0","1.106447","5.047019"
"softskin","0.925","2776","8.728138","13.722992","-8.672137","8.672137","-13.722992","0","1.1617","5.288241"
"softskin","0.95","2776","9.208632","14.514233","-9.148698","9.148698","-14.514233","0","1.22769","5.571501"
"softskin","0.975","2776","9.611317","15.19553","-9.547377","9.547377","-15.19553","0","1.283448","5.799207"
"softskin","1","2776","9.834824","15.552342","-9.769027","9.769027","-15.552341","0","1.312516","5.931072"
"softskin","1.025","2776","9.884309","15.605641","-9.819564","9.819564","-15.605641","0","1.318145","5.96085"
"softskin","1.05","2776","9.759089","15.388949","-9.695753","9.695753","-15.388949","0","1.30178","5.889987"
"softskin","1.075","2776","9.513097","14.986005","-9.451036","9.451036","-14.986005","0","1.267976","5.762256"
"softskin","1.1","2776","9.278479","14.592619","-9.21832","9.21832","-14.592619","0","1.234696","5.643289"
"softskin","1.125","2776","9.194734","14.42759","-9.136523","9.136523","-14.42759","0","1.223068","5.589157"
"softskin","1.15","2776","9.301655","14.583332","-9.24341","9.24341","-14.583332","0","1.237801","5.649015"
"softskin","1.175","2776","9.537088","14.99835","-9.475755","9.475755","-14.99835","0","1.269842","5.778676"
"softskin","1.2","2776","9.78192","15.468587","-9.716494","9.716494","-15.468587","0","1.305235","5.901592"
"softskin","1.205","2776","9.820654","15.543242","-9.754625","9.754625","-15.543242","0","1.311023","5.921312"
"softskin","1.21","2776","9.852421","15.603163","-9.78597","9.78597","-15.603163","0","1.315783","5.938225"
"softskin","1.215","2776","9.876928","15.647914","-9.810232","9.810232","-15.647914","0","1.319449","5.951959"
"softskin","1.22","2776","9.89573","15.680745","-9.828931","9.828931","-15.680745","0","1.322256","5.963193"
