roi,time_s,n_points,mean_abs_delta_w_mm,p95_abs_delta_w_mm,max_abs_delta_w_mm,mean_abs_delta_disp_mag_mm,p95_abs_delta_disp_mag_mm,max_abs_delta_disp_mag_mm,mean_abs_delta_vm_kpa,p95_abs_delta_vm_kpa,max_abs_delta_vm_kpa
central_xz_radius_25mm,0.0,971,1.3724839256001513e-28,3.944304526105059e-28,1.2818989709841442e-27,1.3724839256001513e-28,3.944304526105059e-28,1.2818989709841442e-27,1.873717510605843e-25,6.374785984376458e-25,3.2892690860910376e-24
central_xz_radius_25mm,0.025,971,1.5118883860589733e-16,2.676624113323589e-16,3.6591823321385775e-16,1.561297187431253e-16,2.812149384884277e-16,3.5575383784680614e-16,5.155808173976041e-15,1.6565415705827036e-14,5.81188430714974e-14
central_xz_radius_25mm,0.05,971,2.4672298922536383e-16,5.285485590866834e-16,8.402566836762659e-16,2.5688389527028464e-16,5.55653613398821e-16,1.0842021724855044e-15,2.9599709341089436e-14,1.0285017282285481e-13,3.8468783714051824e-13
central_xz_radius_25mm,0.075,971,5.371322915284778e-16,8.131516293641283e-16,1.0299920638612292e-15,5.173129418254729e-16,8.131516293641283e-16,1.2468324983583301e-15,4.6041155097151324e-14,1.723812204090791e-13,8.196820999728516e-13
central_xz_radius_25mm,0.1,971,5.15079775661754e-16,8.673617379884035e-16,1.4094628242311558e-15,5.643769187258478e-16,1.0842021724855044e-15,1.8973538018496328e-15,1.1589264300486664e-13,4.254978591688996e-13,2.300794221810065e-12
central_xz_radius_25mm,0.125,971,1.0303270387857871e-15,1.3010426069826053e-15,1.6263032587282567e-15,9.909674851502422e-16,1.3010426069826053e-15,1.6805133673525319e-15,5.7096369513565e-14,2.0918378140777348e-13,1.170405994344037e-12
central_xz_radius_25mm,0.15,971,1.6715248735435634e-16,3.7947076036992655e-16,8.673617379884035e-16,1.8820007844740656e-16,4.3368086899420177e-16,8.673617379884035e-16,8.966885593122405e-14,3.270486104156589e-13,1.8106902643921785e-12
central_xz_radius_25mm,0.175,971,1.6113968745854334e-15,1.8431436932253575e-15,2.3852447794681098e-15,1.6043065720156259e-15,1.8431436932253575e-15,2.3852447794681098e-15,1.042101898537628e-13,3.7136338448817696e-13,2.483830030541867e-12
central_xz_radius_25mm,0.2,971,9.160447603574746e-16,1.1926223897340549e-15,1.5178830414797062e-15,9.335751147426676e-16,1.1926223897340549e-15,1.951563910473908e-15,1.0842108673268954e-13,4.288267518859357e-13,1.7954562281374819e-12
central_xz_radius_25mm,0.225,971,1.5331802297011804e-15,2.0599841277224584e-15,2.8189256484623115e-15,1.545909276834378e-15,2.0599841277224584e-15,2.8189256484623115e-15,2.206373241792682e-13,8.286633601528592e-13,2.8371687221806496e-12
central_xz_radius_25mm,0.25,971,1.6072096880284605e-15,1.8431436932253575e-15,2.2768245622195593e-15,1.6266382336528146e-15,1.8973538018496328e-15,2.8189256484623115e-15,1.1271483574848507e-13,4.566800271277315e-13,1.6664216673234477e-12
central_xz_radius_25mm,0.275,971,1.6858171369913642e-15,2.0599841277224584e-15,2.8189256484623115e-15,1.7149599554278953e-15,2.168404344971009e-15,2.927345865710862e-15,1.5948702845850445e-13,5.657341262121918e-13,3.560671757441014e-12
central_xz_radius_25mm,0.3,971,3.57965370213314e-15,4.0115480381963664e-15,4.336808689942018e-15,3.58266847645416e-15,4.0115480381963664e-15,4.553649124439119e-15,2.14918179602649e-13,7.512355182370812e-13,4.304183676140383e-12
central_xz_radius_25mm,0.325,971,6.289712500114157e-16,9.75781955236954e-16,1.5178830414797062e-15,6.591189932216202e-16,1.0842021724855044e-15,1.734723475976807e-15,1.5291275923702995e-13,5.821902959723957e-13,3.37536221195478e-12
central_xz_radius_25mm,0.35,971,5.772846191521428e-15,6.5052130349130266e-15,7.589415207398531e-15,5.784458655572766e-15,6.5052130349130266e-15,7.806255641895632e-15,3.1824611283597963e-13,1.2347065592166472e-12,2.815113475662656e-12
central_xz_radius_25mm,0.375,971,1.4036565922054867e-15,1.734723475976807e-15,2.168404344971009e-15,1.4106910656212012e-15,1.734723475976807e-15,2.168404344971009e-15,1.9648632783744885e-13,6.986056177993305e-13,3.66799213225022e-12
central_xz_radius_25mm,0.4,971,5.7365572413609965e-15,6.5052130349130266e-15,6.938893903907228e-15,5.72215331960501e-15,6.5052130349130266e-15,6.938893903907228e-15,2.82786528831344e-13,1.0981580089719502e-12,4.6218247007345785e-12
central_xz_radius_25mm,0.425,971,4.956512300374e-15,5.637851296924623e-15,6.5052130349130266e-15,5.007205172290418e-15,5.854691731421724e-15,6.938893903907228e-15,3.0432298768174655e-13,1.1718270798155571e-12,4.1343355405842885e-12
central_xz_radius_25mm,0.45,971,4.354004069402653e-15,4.7704895589362195e-15,5.204170427930421e-15,4.346411304446009e-15,4.7704895589362195e-15,5.637851296924623e-15,2.283964764655046e-13,8.770939530222677e-13,3.4160620998591183e-12
central_xz_radius_25mm,0.475,971,9.51150132451135e-15,1.0625181290357943e-14,1.235990476633475e-14,9.631422347503052e-15,1.0842021724855044e-14,1.2576745200831851e-14,4.533200381042526e-13,1.6677574876666768e-12,6.0640559240709994e-12
central_xz_radius_25mm,0.5,971,2.039773973940803e-15,2.6020852139652106e-15,3.903127820947816e-15,2.107438908701484e-15,2.8189256484623115e-15,4.9873299934333204e-15,2.498755174623938e-13,1.0074927558889613e-12,4.076810000697151e-12
central_xz_radius_25mm,0.525,971,9.061741659138373e-15,9.974659986866641e-15,1.0408340855860843e-14,9.098142267606989e-15,9.974659986866641e-15,1.1275702593849246e-14,3.390192651154398e-13,1.3225189832155592e-12,7.079506758600473e-12
