time_s,mean_delta_w_mm,mean_abs_delta_w_mm,p95_abs_delta_w_mm,p99_abs_delta_w_mm,max_abs_delta_w_mm,min_delta_w_mm,max_delta_w_mm,mean_abs_delta_disp_mag_mm,p95_abs_delta_disp_mag_mm,max_abs_delta_disp_mag_mm,mean_delta_vector_mm,p95_delta_vector_mm,max_delta_vector_mm,mean_abs_delta_vm_kpa,p95_abs_delta_vm_kpa,max_abs_delta_vm_kpa
0.0,4.3010741554864285e-30,1.3972393074108558e-28,3.944304526105059e-28,5.9164567891575885e-28,1.8242408433235898e-27,-1.8242408433235898e-27,1.7749370367472766e-27,1.4020363466390921e-28,3.944304526105059e-28,1.873544649899903e-27,1.5299458334645058e-28,3.9582468427921618e-28,1.898154992137996e-27,1.0398271786504885e-25,3.4036112602648507e-25,3.2892690860910376e-24
0.025,-7.900464450983464e-17,1.5910156901460525e-16,5.266850866027234e-16,1.0221654794285997e-15,1.497554250745603e-15,-9.046311876675928e-16,1.497554250745603e-15,1.8799270487989325e-16,6.614480285108828e-16,1.7110065534536867e-15,3.2995903049920234e-16,7.88568253869903e-16,1.7654274424217233e-15,3.1141513139647744e-15,1.0295275743033013e-14,5.81188430714974e-14
0.05,-2.415310817358067e-16,2.867903540704949e-16,8.267041565201971e-16,1.4281653117065323e-15,2.4665599424045226e-15,-2.4665599424045226e-15,1.463672932855431e-15,3.219839863636112e-16,1.0028870095490916e-15,3.0357660829594124e-15,5.371814644842486e-16,1.3945584751519502e-15,3.31364831875414e-15,1.4213565827099867e-14,5.0839688015003037e-14,3.8468783714051824e-13
0.075,-3.512214293585958e-16,4.1449300258614954e-16,9.486769009248164e-16,1.45527036601867e-15,1.7889335846010823e-15,-1.7889335846010823e-15,1.6805133673525319e-15,4.593776472222006e-16,1.1926223897340549e-15,2.3310346708438345e-15,7.151646934249683e-16,1.5384893955322563e-15,2.6827243765727283e-15,1.998482235752773e-14,7.775611265969926e-14,8.196820999728516e-13
0.1,2.917318917642639e-16,4.3075704088537475e-16,1.1655173354219173e-15,1.7889335846010823e-15,2.7647155398380363e-15,-2.168404344971009e-15,2.7647155398380363e-15,5.377329440385081e-16,1.5178830414797062e-15,3.144186300207963e-15,9.362925475388415e-16,2.5211927926821264e-15,3.6478710768464564e-15,4.762739074425222e-14,2.0451444981972574e-13,2.300794221810065e-12
0.125,8.427335286994706e-16,8.448388190327518e-16,1.4094628242311558e-15,1.8973538018496328e-15,2.3310346708438345e-15,-5.658180087658726e-16,2.3310346708438345e-15,8.770338932324135e-16,1.6805133673525319e-15,2.710505431213761e-15,1.1056493503580715e-15,2.0034685630724074e-15,2.8392178298022093e-15,2.4814025358077645e-14,1.0566054697846959e-13,1.170405994344037e-12
0.15,5.259929332946378e-17,3.3248557459587914e-16,1.2170169386149689e-15,2.1141942363467336e-15,2.7647155398380363e-15,-2.710505431213761e-15,2.7647155398380363e-15,4.489743952687695e-16,1.6805133673525319e-15,3.903127820947816e-15,8.035658076916184e-16,2.195534040472566e-15,4.4259532694637066e-15,3.792643771597859e-14,1.4991314856160894e-13,1.8106902643921785e-12
0.175,-1.1854058478166825e-15,1.1877055757922094e-15,1.7889335846010823e-15,1.951563910473908e-15,2.3852447794681098e-15,-2.3852447794681098e-15,7.691059161069047e-16,1.2307947452462013e-15,1.951563910473908e-15,2.4936649967166602e-15,1.42583806595882e-15,2.1272573850018466e-15,2.6718018665306424e-15,4.478891663882943e-14,1.794148829503682e-13,2.483830030541867e-12
0.2,-5.010535120323404e-16,6.239313971853448e-16,1.3010426069826053e-15,1.951563910473908e-15,2.4936649967166602e-15,-2.4936649967166602e-15,2.3852447794681098e-15,7.242802173652701e-16,1.734723475976807e-15,3.3610267347050637e-15,9.687980563917406e-16,2.0374424759377436e-15,3.886906371903426e-15,4.5491240208989286e-14,2.0395702904352192e-13,1.7954562281374819e-12
0.225,1.0168239421587957e-15,1.0369985237283591e-15,1.951563910473908e-15,2.3852447794681098e-15,3.0357660829594124e-15,-1.0842021724855044e-15,3.0357660829594124e-15,1.0963578774990034e-15,2.168404344971009e-15,3.686287386450715e-15,1.3437729663306464e-15,2.4268116580588036e-15,4.127723567409508e-15,9.124515274103852e-14,4.0606984441637907e-13,2.8371687221806496e-12
0.25,1.062248598235164e-15,1.0922121093798564e-15,1.8431436932253575e-15,2.2768245622195593e-15,2.927345865710862e-15,-1.3010426069826053e-15,2.927345865710862e-15,1.1661263498760776e-15,2.0599841277224584e-15,3.686287386450715e-15,1.4161625474939461e-15,2.3750428073441226e-15,3.820178315924363e-15,4.806284013407898e-14,1.973717189684972e-13,1.6664216673234477e-12
0.275,-1.1028123132553898e-15,1.1208436109293943e-15,2.168404344971009e-15,3.144186300207963e-15,4.119968255444917e-15,-4.119968255444917e-15,1.3010426069826053e-15,1.1923385554746847e-15,2.3852447794681098e-15,5.095750210681871e-15,1.4231712391589204e-15,2.7087258401964667e-15,5.7592061723923444e-15,6.85360920756904e-14,2.6734880975709523e-13,3.560671757441014e-12
0.3,-2.4955713795768394e-15,2.4999294646616572e-15,4.0115480381963664e-15,4.336808689942018e-15,5.095750210681871e-15,-5.095750210681871e-15,1.3688052427629493e-15,2.6074043126841163e-15,4.228388472693467e-15,6.071532165918825e-15,2.8716177966151717e-15,4.489760237635548e-15,6.383053257138761e-15,8.979931076074334e-14,3.587501851143314e-13,4.304183676140383e-12
0.325,3.6593946491042483e-16,5.418697724959427e-16,1.3010426069826053e-15,2.168404344971009e-15,3.469446951953614e-15,-1.7618285302889447e-15,3.469446951953614e-15,6.810144895924575e-16,1.734723475976807e-15,4.119968255444917e-15,1.1099201695140939e-15,2.4925519913215707e-15,4.517608753759223e-15,6.451956178351202e-14,2.5982203055718803e-13,3.37536221195478e-12
0.35,4.097335266904431e-15,4.099923298970184e-15,6.288372600415926e-15,6.7220534694101275e-15,7.589415207398531e-15,-1.2739375526704677e-15,7.589415207398531e-15,4.2555885109113e-15,6.5052130349130266e-15,7.806255641895632e-15,4.456742210165936e-15,6.673996524864069e-15,8.281126854401591e-15,1.3602941581707922e-13,6.041091182851215e-13,2.815113475662656e-12
