roi,time_s,n_points,mean_abs_delta_w_mm,p95_abs_delta_w_mm,max_abs_delta_w_mm,mean_abs_delta_disp_mag_mm,p95_abs_delta_disp_mag_mm,max_abs_delta_disp_mag_mm,mean_abs_delta_vm_kpa,p95_abs_delta_vm_kpa,max_abs_delta_vm_kpa
central_xz_radius_25mm,0.0,971,3.004505932491927e-26,5.608307998055631e-26,3.865911473648721e-24,3.004505932491927e-26,5.608307998055631e-26,3.865911473648721e-24,1.8675959121747634e-23,3.676486983685282e-23,2.2206300614649387e-21
central_xz_radius_25mm,0.025,971,1.0886677153679069e-07,2.2491729820227064e-07,8.07120490001583e-06,1.0973774186683934e-07,2.4131684727939757e-07,8.03346894919066e-06,0.0003538829117198767,0.002407103680853153,0.010610930193286336
central_xz_radius_25mm,0.05,971,2.4458892473083977e-06,2.7742769002423568e-06,5.8175671414012e-05,2.413341762358772e-06,2.7045532615416353e-06,5.715153895760063e-05,0.0025801859401607345,0.017481835208001197,0.07824186966112692
central_xz_radius_25mm,0.075,971,8.692275139058036e-06,9.222735501313744e-06,0.0001410770579716547,8.569203575697126e-06,9.20905134560359e-06,0.0001365388406438981,0.006448864892854428,0.04332247319151918,0.19542996062487755
central_xz_radius_25mm,0.1,971,9.887404740349445e-06,1.0871764226881835e-05,0.00018139904074259165,9.826939915658336e-06,1.1281019209242625e-05,0.00017607862693239107,0.008065696362282377,0.05426187724796784,0.2475621954362609
central_xz_radius_25mm,0.125,971,1.2747792541606023e-05,1.341863008170541e-05,0.00017722128390707317,1.2690811555879762e-05,1.3533952820395751e-05,0.00017309120484663987,0.007802100402325343,0.05261358847338383,0.23636771940019186
central_xz_radius_25mm,0.15,971,1.5697560740369796e-05,1.6638576382481266e-05,0.0002008398563289643,1.5519793279910268e-05,1.6621621182026907e-05,0.0001955723780472829,0.00897991408449005,0.06172627224767244,0.27337121690092625
central_xz_radius_25mm,0.175,971,1.3099158716757982e-05,1.4025546028945991e-05,0.0002667069232716707,1.3104680475342363e-05,1.4433890705757308e-05,0.0002600240890587922,0.011906174991572302,0.08017427998924587,0.36260854309475293
central_xz_radius_25mm,0.2,971,1.7917571675796275e-05,1.9089229534325486e-05,0.0003358133447144574,1.7677761338839364e-05,1.9256490912142148e-05,0.00032645502934496983,0.015136935007719579,0.10206293013433076,0.46141215647108297
central_xz_radius_25mm,0.225,971,2.3408516577139436e-05,2.473036066837249e-05,0.00035832434302736967,2.3290529918106563e-05,2.507682691924376e-05,0.00034837073275867814,0.01623846593260521,0.10885338174536549,0.49448511786258426
