time_s,mean_delta_w_mm,mean_abs_delta_w_mm,p95_abs_delta_w_mm,p99_abs_delta_w_mm,max_abs_delta_w_mm,min_delta_w_mm,max_delta_w_mm,mean_abs_delta_disp_mag_mm,p95_abs_delta_disp_mag_mm,max_abs_delta_disp_mag_mm,mean_delta_vector_mm,p95_delta_vector_mm,max_delta_vector_mm,mean_abs_delta_vm_kpa,p95_abs_delta_vm_kpa,max_abs_delta_vm_kpa
0.0,1.1600987645602431e-17,1.9404804234535457e-16,9.167116961577843e-16,4.1013316235971525e-15,4.839794804194067e-14,-4.839794804194067e-14,1.2495565581056222e-14,1.9368457311989147e-16,9.148792573377299e-16,4.8379713125915383e-14,2.0812523817391843e-16,1.0038671853799665e-15,4.8452919114183e-14,1.3450952466799662e-13,6.145684922502523e-13,2.7580713656144152e-11
0.025,2.759654154304586e-08,1.8155170313061506e-06,9.30986572094201e-06,2.515361257980242e-05,6.887770313832852e-05,-3.538284515271754e-05,6.887770313832852e-05,2.3496300309855807e-06,1.2243360889579625e-05,7.46124540369253e-05,3.3744492037653782e-06,1.4861003434327178e-05,9.275190237908174e-05,0.00025424277188453856,0.0011390132240121265,0.010610930193286336
0.05,2.598868341857771e-06,6.60096808534176e-06,3.0395683751996285e-05,8.0264007887996e-05,0.00023732550637523583,-0.00010208498638007534,0.00023732550637523583,8.114292162831806e-06,3.811617389118935e-05,0.0002487344233394873,1.2309710111302739e-05,4.425718953148443e-05,0.0003543760584516249,0.0012809659483996563,0.0040618776951151705,0.07824186966112692
0.075,8.097379946624581e-06,1.4190431492487397e-05,5.619753785798477e-05,0.0001433403682984871,0.0004308514620013026,-0.00018511060721085548,0.0004308514620013026,1.6692084630020225e-05,7.065989497972938e-05,0.00045245044312159944,2.6102904787717454e-05,8.38692362799551e-05,0.0006582914988052018,0.0029018600061068655,0.008018918569940366,0.19542996062487755
0.1,9.518493444601524e-06,1.795719528938506e-05,7.322148594689811e-05,0.0001894735860548759,0.0005616674433651066,-0.00024293995928148645,0.0005616674433651066,2.1155321473591416e-05,9.207154892634018e-05,0.0005967663425590104,3.5282117743093045e-05,0.00010790008976301448,0.0008609017481233048,0.0036806052406095787,0.0102657310579018,0.2475621954362609
0.125,1.1526851163370967e-05,2.0494953069327056e-05,7.991745471142936e-05,0.00021139617396545893,0.0006207377797117615,-0.00026559135778641706,0.0006207377797117615,2.402877806706939e-05,0.00010288470296235003,0.0006587196694903485,3.895117185920123e-05,0.00011714984394321171,0.0009417938170798729,0.0036973865077428564,0.010922417249276138,0.23636771940019186
0.15,1.4142215918799371e-05,2.4461082921558876e-05,9.186854483329328e-05,0.00024431938294311857,0.0007158121399150981,-0.00030472257302623627,0.0007158121399150981,2.830847689913083e-05,0.00011750288334114756,0.0007495292125653469,4.203866545118758e-05,0.00013417335023648786,0.0010723688555982593,0.00424994793471495,0.012495741124754371,0.27337121690092625
0.175,1.2835495627539257e-05,2.660209016751329e-05,0.00011498001596355294,0.00030479266208089013,0.0008986743929199166,-0.00038585958239627347,0.0008986743929199166,3.205343548989895e-05,0.00014463186536383736,0.0009512321768030636,4.855051333318489e-05,0.00016772197695013298,0.0013652379892355685,0.005552330915292939,0.01602923865974774,0.36260854309475293
0.2,1.742678799640796e-05,3.366226471719051e-05,0.00014023536214099973,0.00036912951464218693,0.00108898407402912,-0.00046951652156908546,0.00108898407402912,4.0182269748572955e-05,0.00017916237270148306,0.0011551665393705628,6.37756911310044e-05,0.00020764197234273676,0.0016642061629146532,0.006963166252106345,0.019879055060782327,0.46141215647108297
0.225,2.123898013458156e-05,3.853816049430525e-05,0.00015171541509753143,0.0004026340663937789,0.0011876706270765632,-0.0005096973485675541,0.0011876706270765632,4.5241621659772836e-05,0.00019518394353610187,0.0012507831898999537,7.457793441556557e-05,0.00022536167583274292,0.0018041853703814335,0.0074938622017647035,0.02116653491944516,0.49448511786258426
