Time (s)	Displacement magnitude (m)	von Mises stress (N/m^2)
0.0000	4.0758E-16	2.6434E-11
0.025000	2.2612E-5	0.66720
0.050000	1.5150E-4	4.7183
0.075000	4.2718E-4	14.290
0.10000	8.2164E-4	28.566
0.12500	0.0012685	44.557
0.15000	0.0016742	59.028
0.17500	0.0019638	69.430
0.20000	0.0021186	74.746
0.22500	0.0021760	76.082
0.25000	0.0022061	76.636
0.27500	0.0022950	79.715
0.30000	0.0025194	87.586
0.32500	0.0028870	100.56
0.35000	0.0033359	116.67
0.37500	0.0037696	132.33
0.40000	0.0040991	143.94
0.42500	0.0042809	150.10
0.45000	0.0043378	151.94
0.47500	0.0043581	152.31
0.50000	0.0044405	154.67
0.52500	0.0046459	161.64
0.55000	0.0049812	173.71
0.57500	0.0054050	189.04
0.60000	0.0058424	204.69
0.62500	0.0062024	217.51
0.65000	0.0064276	225.40
0.67500	0.0065212	228.21
0.70000	0.0065422	228.44
0.72500	0.0065857	229.85
0.75000	0.0067446	235.36
0.77500	0.0070609	246.31
0.80000	0.0074886	261.50
0.82500	0.0079347	277.76
0.85000	0.0083103	291.25
0.87500	0.0085598	299.86
0.90000	0.0086754	303.76
0.92500	0.0087106	304.65
0.95000	0.0087561	305.61
0.97500	0.0088894	310.00
1.0000	0.0091546	319.62
1.0250	0.0095226	333.01
1.0500	0.0098500	345.15
1.0750	0.0099908	350.59
1.1000	0.0098839	346.56
1.1250	0.0095789	335.11
1.1500	0.0092089	321.50
1.1750	0.0089400	311.67
1.2000	0.0088918	309.75
1.2000	0.0088918	309.75
1.2050	0.0089144	310.55
1.2100	0.0089441	311.63
1.2150	0.0089829	313.06
1.2200	0.0090313	314.86
1.2250	0.0090841	316.82
1.2300	0.0091471	319.18
1.2350	0.0092123	321.62
1.2400	0.0092838	324.29
1.2450	0.0093568	327.01
1.2500	0.0094321	329.81
1.2550	0.0095170	332.86
1.2600	0.0096074	336.05
1.2650	0.0097327	340.18
1.2700	0.0098868	345.12
1.2750	0.010077	351.10
1.2800	0.010338	359.20
1.2850	0.010642	368.72
1.2900	0.010997	379.88
1.2950	0.011440	394.11
1.3000	0.011931	410.16
1.3050	0.012474	428.15
1.3100	0.013106	449.71
1.3150	0.013779	473.04
1.3200	0.014503	498.58
1.3250	0.015284	526.61
1.3300	0.016108	556.58
1.3350	0.016964	587.98
1.3400	0.017846	620.51
1.3450	0.018746	653.69
1.3500	0.019653	687.06
1.3550	0.020556	720.17
1.3600	0.021446	752.62
1.3650	0.022311	784.03
1.3700	0.023141	814.01
1.3750	0.023920	842.13
1.3800	0.024637	868.02
1.3850	0.025284	891.41
1.3900	0.025850	912.02
1.3950	0.026326	929.53
1.4000	0.026705	943.67
1.4050	0.026980	954.21
1.4100	0.027146	960.95
1.4150	0.027200	963.73
1.4200	0.027141	962.46
1.4250	0.026968	957.05
1.4300	0.026683	947.47
1.4350	0.026288	933.74
1.4400	0.025785	915.80
1.4450	0.025176	893.68
1.4500	0.024473	867.85
1.4550	0.023684	838.59
1.4600	0.022816	806.24
1.4650	0.021878	771.21
1.4700	0.020879	733.97
1.4750	0.019828	695.00
1.4800	0.018736	654.80
1.4850	0.017612	613.82
1.4900	0.016468	572.51
1.4950	0.015315	531.26
1.5000	0.014166	490.49
1.5050	0.013032	450.52
1.5100	0.011926	411.71
1.5150	0.010858	374.36
1.5200	0.0098395	338.76
1.5250	0.0088806	305.18
1.5300	0.0079878	273.83
1.5350	0.0071702	244.99
1.5400	0.0064308	218.79
1.5450	0.0057722	195.40
1.5500	0.0052000	175.08
1.5550	0.0047131	157.89
1.5600	0.0043047	143.65
1.5650	0.0039707	132.21
1.5700	0.0037058	123.39
1.5750	0.0035035	116.94
1.5800	0.0033561	112.56
1.5850	0.0032568	110.00
1.5900	0.0031963	108.90
1.5950	0.0031624	108.87
1.6000	0.0031460	109.60
1.6050	0.0031377	110.71
1.6100	0.0031283	111.81
1.6150	0.0031090	112.45
1.6200	0.0030696	112.17
1.6250	0.0030012	110.57
1.6300	0.0028989	107.46
1.6350	0.0027571	102.66
1.6400	0.0025641	95.735
1.6450	0.0023219	86.879
1.6500	0.0020303	76.207
