Time (s)	Displacement magnitude (m)	von Mises stress (N/m^2)
0.0000	6.8060E-16	1.3505E-7
0.025000	2.7266E-5	60.463
0.050000	2.0778E-4	301.49
0.075000	7.0616E-4	750.41
0.10000	0.0015559	1377.0
0.12500	0.0025964	2096.6
0.15000	0.0036100	2758.4
0.17500	0.0042979	3238.3
0.20000	0.0045325	3514.0
0.22500	0.0044518	3630.0
0.25000	0.0043702	3675.2
0.27500	0.0045486	3844.9
0.30000	0.0050859	4264.1
0.32500	0.0059242	4849.6
0.35000	0.0069102	5550.6
0.37500	0.0078298	6247.1
0.40000	0.0085181	6788.8
0.42500	0.0089424	7103.2
0.45000	0.0090657	7230.5
0.47500	0.0089813	7294.0
0.50000	0.0089848	7427.0
0.52500	0.0093221	7772.0
0.55000	0.010101	8341.3
0.57500	0.011144	9017.1
0.60000	0.012199	9713.6
0.62500	0.012983	10309
0.65000	0.013360	10684
0.67500	0.013408	10847
0.70000	0.013389	10911
0.72500	0.013501	11012
0.75000	0.013815	11291
0.77500	0.014416	11812
0.80000	0.015318	12502
0.82500	0.016355	13192
0.85000	0.017252	13802
0.87500	0.017835	14259
0.90000	0.018041	14452
0.92500	0.017945	14520
0.95000	0.017828	14616
0.97500	0.018066	14855
1.0000	0.018753	15296
1.0250	0.019650	15885
1.0500	0.020455	16377
1.0750	0.020858	16565
1.1000	0.020597	16417
1.1250	0.019811	15976
1.1500	0.018846	15389
1.1750	0.018159	14955
1.2000	0.018025	14888
1.2000	0.018025	14888
1.2050	0.018074	14924
1.2100	0.018141	14971
1.2150	0.018233	15030
1.2200	0.018354	15104
1.2250	0.018488	15184
1.2300	0.018655	15282
1.2350	0.018829	15384
1.2400	0.019023	15499
1.2450	0.019220	15617
1.2500	0.019424	15740
1.2550	0.019638	15895
1.2600	0.019856	16070
1.2650	0.020109	16337
1.2700	0.020391	16664
1.2750	0.020711	17062
1.2800	0.021115	17576
1.2850	0.021577	18157
1.2900	0.022109	18811
1.2950	0.022783	19587
1.3000	0.023550	20429
1.3050	0.024418	21341
1.3100	0.025496	22372
1.3150	0.026691	23458
1.3200	0.028037	24612
1.3250	0.029570	25843
1.3300	0.031266	27134
1.3350	0.033093	28471
1.3400	0.035040	29849
1.3450	0.037074	31253
1.3500	0.039167	32671
1.3550	0.041294	34089
1.3600	0.043432	35492
1.3650	0.045559	36864
1.3700	0.047654	38183
1.3750	0.049693	39424
1.3800	0.051646	40566
1.3850	0.053486	41591
1.3900	0.055178	42482
1.3950	0.056680	43229
1.4000	0.057950	43820
1.4050	0.058948	44246
1.4100	0.059641	44501
1.4150	0.060006	44583
1.4200	0.060032	44493
1.4250	0.059718	44230
1.4300	0.059073	43793
1.4350	0.058105	43186
1.4400	0.056815	42408
1.4450	0.055207	41462
1.4500	0.053318	40364
1.4550	0.051171	39125
1.4600	0.048803	37756
1.4650	0.046254	36262
1.4700	0.043573	34651
1.4750	0.040807	32931
1.4800	0.038002	31115
1.4850	0.035195	29220
1.4900	0.032420	27273
1.4950	0.029712	25312
1.5000	0.027095	23384
1.5050	0.024594	21523
1.5100	0.022228	19750
1.5150	0.020015	18078
1.5200	0.017967	16514
1.5250	0.016092	15071
1.5300	0.014394	13752
1.5350	0.012881	12557
1.5400	0.011548	11471
1.5450	0.010391	10473
1.5500	0.0094128	9552.4
1.5550	0.0086056	8707.8
1.5600	0.0079520	7947.4
1.5650	0.0074435	7287.5
1.5700	0.0070689	6740.0
1.5750	0.0068147	6305.9
1.5800	0.0066645	5971.2
1.5850	0.0066020	5714.8
1.5900	0.0066053	5516.6
1.5950	0.0066480	5360.9
1.6000	0.0067083	5236.3
1.6050	0.0067629	5128.2
1.6100	0.0067873	5024.1
1.6150	0.0067587	4914.7
1.6200	0.0066560	4789.1
1.6250	0.0065086	4632.7
1.6300	0.0063389	4431.5
1.6350	0.0061103	4170.4
1.6400	0.0057857	3827.5
1.6450	0.0053576	3408.9
1.6500	0.0048252	2918.5
1.6550	0.0042038	2356.4
1.6600	0.0035016	1713.9
1.6650	0.0027358	1006.3
1.6700	0.0018813	600.94
1.6750	0.0012645	798.06
1.6800	0.0020470	1448.4
1.6850	0.0029845	2318.4
1.6900	0.0039679	3200.7
1.6950	0.0049526	4087.7
1.7000	0.0059364	4972.2
1.7050	0.0069880	5843.7
1.7100	0.0083233	6690.4
1.7150	0.0096975	7491.7
1.7200	0.011049	8235.8
1.7250	0.012329	8888.0
1.7300	0.013496	9433.3
1.7350	0.014499	9847.4
1.7400	0.015278	10098
1.7450	0.015834	10189
1.7500	0.016095	10072
1.7550	0.016083	9769.6
1.7600	0.015775	9274.9
1.7650	0.015151	8593.0
1.7700	0.014240	7756.3
1.7750	0.012986	6743.7
1.7800	0.011456	5594.7
1.7850	0.0096309	4304.4
1.7900	0.0075316	2883.2
1.7950	0.0052037	1354.5
1.8000	0.0026385	1170.1
1.8050	0.0025172	2052.9
1.8100	0.0038118	3873.9
1.8150	0.0060726	5764.5
1.8200	0.0091286	7713.8
1.8250	0.012258	9717.7
1.8300	0.015407	11767
1.8350	0.018534	13837
1.8400	0.021589	15895
1.8450	0.024554	17915
1.8500	0.027392	19874
1.8550	0.030069	21739
1.8600	0.032547	23468
1.8650	0.034743	24994
1.8700	0.036633	26307
1.8750	0.038193	27399
1.8800	0.039402	28259
1.8850	0.040247	28881
1.8900	0.040724	29262
1.8950	0.040839	29398
1.9000	0.040597	29286
1.9000	0.040597	29286
1.9250	0.034354	25191
1.9500	0.022198	16957
1.9750	0.0085141	7972.3
2.0000	0.0033342	2727.8
2.0250	0.0051945	3681.9
2.0500	0.0092583	9111.6
2.0750	0.023620	17823
2.1000	0.037538	26337
2.1250	0.043264	29471
2.1500	0.037593	26138
2.1750	0.023111	18859
2.2000	0.0097218	9849.7
