Time (s)	Displacement magnitude (m)	von Mises stress (N/m^2)
0.0000	4.1130E-16	8.5869E-11
0.025000	2.1711E-5	1.8002
0.050000	1.3740E-4	12.264
0.075000	3.5142E-4	33.003
0.10000	5.9337E-4	56.616
0.12500	7.6989E-4	73.308
0.15000	8.3970E-4	79.599
0.17500	8.5058E-4	80.142
0.20000	9.0233E-4	84.680
0.22500	0.0010615	99.800
0.25000	0.0012999	122.76
0.27500	0.0015241	144.62
0.30000	0.0016569	157.15
0.32500	0.0016932	159.90
0.35000	0.0017087	161.03
0.37500	0.0018004	169.57
0.40000	0.0020001	188.54
0.42500	0.0022457	212.39
0.45000	0.0024384	231.12
0.47500	0.0025274	239.12
0.50000	0.0025434	240.01
0.52500	0.0025799	243.24
0.55000	0.0027170	256.20
0.57500	0.0029472	278.19
0.60000	0.0031824	301.14
0.62500	0.0033337	315.66
0.65000	0.0033853	319.89
0.67500	0.0033978	320.58
0.70000	0.0034683	327.11
0.72500	0.0036496	344.36
0.75000	0.0038957	368.14
0.77500	0.0041042	388.30
0.80000	0.0042103	398.29
0.82500	0.0042385	400.40
0.85000	0.0042648	402.21
0.87500	0.0043757	412.82
0.90000	0.0045871	433.28
0.92500	0.0048307	456.51
0.95000	0.0050078	473.64
0.97500	0.0050811	480.56
1.0000	0.0050978	481.24
1.0250	0.0051237	483.53
1.0500	0.0051574	487.63
1.0750	0.0051792	489.55
1.1000	0.0051698	488.20
1.1250	0.0051319	484.83
1.1500	0.0050990	481.63
1.1750	0.0051020	481.70
1.2000	0.0051368	485.14
1.2000	0.0051368	485.14
1.2050	0.0051447	485.93
1.2100	0.0051520	486.68
1.2150	0.0051591	487.39
1.2200	0.0051649	488.01
1.2250	0.0051702	488.57
1.2300	0.0051741	489.01
1.2350	0.0051771	489.35
1.2400	0.0051787	489.55
1.2450	0.0051792	489.62
1.2500	0.0051785	489.55
1.2550	0.0051835	489.88
1.2600	0.0051978	490.89
1.2650	0.0052364	493.78
1.2700	0.0053188	500.27
1.2750	0.0054441	510.49
1.2800	0.0056164	525.01
1.2850	0.0058395	544.30
1.2900	0.0061312	570.40
1.2950	0.0064815	602.57
1.3000	0.0068825	640.14
1.3050	0.0073311	682.89
1.3100	0.0078257	730.75
1.3150	0.0083656	783.71
1.3200	0.0089290	839.35
1.3250	0.0095077	896.75
1.3300	0.010094	954.96
1.3350	0.010673	1012.4
1.3400	0.011230	1067.2
1.3450	0.011757	1118.7
1.3500	0.012242	1165.8
1.3550	0.012670	1207.0
1.3600	0.013033	1241.6
1.3650	0.013323	1269.1
1.3700	0.013533	1288.7
1.3750	0.013659	1300.2
1.3800	0.013701	1303.7
1.3850	0.013656	1298.9
1.3900	0.013530	1286.3
1.3950	0.013330	1266.7
1.4000	0.013066	1240.7
1.4050	0.012743	1209.0
1.4100	0.012373	1172.6
1.4150	0.011972	1133.2
1.4200	0.011552	1091.8
1.4250	0.011126	1049.9
1.4300	0.010706	1008.7
1.4350	0.010308	969.73
1.4400	0.0099403	933.88
1.4450	0.0096118	902.00
1.4500	0.0093289	874.73
1.4550	0.0090962	852.47
1.4600	0.0089211	835.92
1.4650	0.0087982	824.53
1.4700	0.0087224	817.80
1.4750	0.0086881	815.17
1.4800	0.0086878	815.96
1.4850	0.0087140	819.48
1.4900	0.0087549	824.66
1.4950	0.0087990	830.40
1.5000	0.0088356	835.73
1.5050	0.0088547	839.60
1.5100	0.0088447	840.79
1.5150	0.0087928	837.90
1.5200	0.0086933	830.23
1.5250	0.0085391	816.94
1.5300	0.0083241	797.39
1.5350	0.0080439	771.04
1.5400	0.0076880	736.85
1.5450	0.0072657	695.82
1.5500	0.0067794	648.35
1.5550	0.0062338	595.03
1.5600	0.0056357	536.68
1.5650	0.0049899	473.87
1.5700	0.0043121	408.15
1.5750	0.0036154	340.80
1.5800	0.0029129	273.07
1.5850	0.0022176	206.24
1.5900	0.0015479	142.17
1.5950	9.1385E-4	82.233
1.6000	3.3224E-4	33.549
1.6050	2.4457E-4	34.262
1.6100	6.6390E-4	71.745
1.6150	0.0010429	107.84
1.6200	0.0013438	136.80
1.6250	0.0015645	158.14
1.6300	0.0017038	171.56
1.6350	0.0017659	177.40
1.6400	0.0017591	176.32
1.6450	0.0016909	168.97
1.6500	0.0015708	156.18
1.6550	0.0014089	138.96
1.6600	0.0012163	118.48
1.6650	0.0010070	96.271
1.6700	7.9288E-4	73.739
1.6750	5.8562E-4	52.590
1.6800	3.9621E-4	36.921
1.6850	2.3814E-4	31.402
1.6900	1.7055E-4	31.800
1.6950	1.7171E-4	32.879
1.7000	1.7476E-4	32.041
1.7050	1.5758E-4	28.572
1.7100	1.2428E-4	23.270
1.7150	1.1623E-4	19.027
1.7200	2.3375E-4	21.350
1.7250	4.0133E-4	36.472
1.7300	5.9472E-4	56.258
1.7350	8.0287E-4	77.553
1.7400	0.0010135	98.892
1.7450	0.0012134	118.95
1.7500	0.0013901	136.54
1.7550	0.0015313	150.58
1.7600	0.0016256	160.06
1.7650	0.0016606	163.89
1.7700	0.0016271	161.30
1.7750	0.0015199	151.84
1.7800	0.0013343	135.07
1.7850	0.0010682	110.77
1.7900	7.2203E-4	79.096
1.7950	3.2412E-4	44.235
1.8000	2.4811E-4	36.377
1.8050	7.7693E-4	70.178
1.8100	0.0013879	124.64
1.8150	0.0020405	186.98
1.8200	0.0027219	253.26
1.8250	0.0034172	321.43
1.8300	0.0041131	389.91
1.8350	0.0047974	457.28
1.8400	0.0054581	522.19
1.8450	0.0060833	583.30
1.8500	0.0066618	639.37
1.8550	0.0071832	689.42
1.8600	0.0076297	732.01
1.8650	0.0079843	765.79
1.8700	0.0082339	789.67
1.8750	0.0083626	802.21
1.8800	0.0083719	803.51
1.8850	0.0082526	792.59
1.8900	0.0080262	771.35
1.8950	0.0076948	739.80
1.9000	0.0072723	699.14
1.9000	0.0072723	699.14
1.9250	0.0043777	411.24
1.9500	0.0021570	189.56
1.9750	0.0024654	223.79
2.0000	0.0050297	474.10
2.0250	0.0077053	741.74
2.0500	0.0082144	791.47
2.0750	0.0060805	576.79
2.1000	0.0031320	289.27
2.1250	0.0019369	170.29
2.1500	0.0034507	315.57
2.1750	0.0063813	612.48
2.2000	0.0082885	798.43
