Time (s)	Displacement magnitude (m)	von Mises stress (N/m^2)
0.0000	6.1484E-16	5.4120E-8
0.025000	2.6363E-5	119.73
0.050000	2.0397E-4	530.51
0.075000	6.0456E-4	1197.5
0.10000	0.0010918	1930.9
0.12500	0.0014040	2484.9
0.15000	0.0014972	2765.6
0.17500	0.0015054	2872.8
0.20000	0.0015803	3066.8
0.22500	0.0018562	3581.2
0.25000	0.0023070	4342.1
0.27500	0.0027506	5010.2
0.30000	0.0029805	5456.8
0.32500	0.0030003	5630.9
0.35000	0.0030225	5742.7
0.37500	0.0031792	6078.2
0.40000	0.0035275	6692.9
0.42500	0.0040083	7440.7
0.45000	0.0043800	8068.8
0.47500	0.0045153	8377.7
0.50000	0.0045031	8478.5
0.52500	0.0045662	8670.6
0.55000	0.0048112	9115.3
0.57500	0.0052219	9830.8
0.60000	0.0056868	10548
0.62500	0.0059744	11032
0.65000	0.0060203	11273
0.67500	0.0060180	11365
0.70000	0.0061427	11612
0.72500	0.0064749	12213
0.75000	0.0069238	12976
0.77500	0.0073321	13596
0.80000	0.0075252	13976
0.82500	0.0075299	14129
0.85000	0.0075440	14279
0.87500	0.0077616	14648
0.90000	0.0081522	15293
0.92500	0.0085973	16072
0.95000	0.0089361	16626
0.97500	0.0090686	16883
1.0000	0.0090495	17010
1.0250	0.0090743	17113
1.0500	0.0091956	17171
1.0750	0.0092386	17225
1.1000	0.0091757	17212
1.1250	0.0091155	17123
1.1500	0.0090840	17020
1.1750	0.0090541	17000
1.2000	0.0091167	17126
1.2000	0.0091167	17126
1.2050	0.0091371	17159
1.2100	0.0091572	17187
1.2150	0.0091766	17212
1.2200	0.0091936	17227
1.2250	0.0092094	17238
1.2300	0.0092222	17240
1.2350	0.0092325	17239
1.2400	0.0092391	17233
1.2450	0.0092409	17225
1.2500	0.0092381	17217
1.2550	0.0092372	17262
1.2600	0.0092436	17380
1.2650	0.0092750	17658
1.2700	0.0093615	18119
1.2750	0.0095095	18718
1.2800	0.0097311	19457
1.2850	0.010038	20334
1.2900	0.010474	21379
1.2950	0.011035	22565
1.3000	0.011712	23871
1.3050	0.012504	25291
1.3100	0.013414	26823
1.3150	0.014448	28466
1.3200	0.015554	30168
1.3250	0.016713	31905
1.3300	0.017906	33656
1.3350	0.019105	35376
1.3400	0.020264	37014
1.3450	0.021358	38553
1.3500	0.022352	39956
1.3550	0.023203	41189
1.3600	0.023888	42237
1.3650	0.024391	43084
1.3700	0.024705	43716
1.3750	0.024838	44125
1.3800	0.024810	44308
1.3850	0.024638	44256
1.3900	0.024344	43982
1.3950	0.023948	43503
1.4000	0.023456	42834
1.4050	0.022864	41989
1.4100	0.022173	40986
1.4150	0.021407	39870
1.4200	0.020595	38668
1.4250	0.019770	37415
1.4300	0.018961	36148
1.4350	0.018196	34907
1.4400	0.017488	33728
1.4450	0.016849	32646
1.4500	0.016293	31695
1.4550	0.015831	30901
