Time (s)	Displacement magnitude (m)	von Mises stress (N/m^2)
0.0000	4.0760E-16	3.2882E-11
0.025000	2.2318E-5	0.86994
0.050000	1.4712E-4	6.1444
0.075000	4.0474E-4	18.203
0.10000	7.5477E-4	35.243
0.12500	0.0011176	52.782
0.15000	0.0014048	66.399
0.17500	0.0015655	73.773
0.20000	0.0016154	75.582
0.22500	0.0016305	75.681
0.25000	0.0017128	79.395
0.27500	0.0019275	89.504
0.30000	0.0022606	105.18
0.32500	0.0026324	123.14
0.35000	0.0029489	138.65
0.37500	0.0031464	147.82
0.40000	0.0032245	150.81
0.42500	0.0032426	151.16
0.45000	0.0032954	153.38
0.47500	0.0034645	161.17
0.50000	0.0037658	175.41
0.52500	0.0041376	193.37
0.55000	0.0044810	209.97
0.57500	0.0047186	221.19
0.60000	0.0048275	226.00
0.62500	0.0048541	226.70
0.65000	0.0048881	227.71
0.67500	0.0050161	233.53
0.70000	0.0052794	246.17
0.72500	0.0056397	263.40
0.75000	0.0060031	280.77
0.77500	0.0062777	294.03
0.80000	0.0064241	300.89
0.82500	0.0064688	302.20
0.85000	0.0064901	302.55
0.87500	0.0065817	306.83
0.90000	0.0068036	317.29
0.92500	0.0071426	333.31
0.95000	0.0075166	351.39
0.97500	0.0078266	366.40
1.0000	0.0080109	374.91
1.0250	0.0080548	376.79
1.0500	0.0079493	371.90
1.0750	0.0077587	362.43
1.1000	0.0075880	353.70
1.1250	0.0075277	350.92
1.1500	0.0076151	355.19
1.1750	0.0077981	364.00
1.2000	0.0079707	372.94
1.2000	0.0079707	372.94
1.2050	0.0079964	374.33
1.2100	0.0080171	375.46
1.2150	0.0080328	376.31
1.2200	0.0080448	376.95
1.2250	0.0080491	377.16
1.2300	0.0080512	377.23
1.2350	0.0080438	376.77
1.2400	0.0080337	376.17
1.2450	0.0080165	375.18
1.2500	0.0079976	374.08
1.2550	0.0079771	372.86
1.2600	0.0079692	372.06
1.2650	0.0079809	371.97
1.2700	0.0080257	373.14
1.2750	0.0081157	376.11
1.2800	0.0082705	381.81
1.2850	0.0084851	390.18
1.2900	0.0087633	401.50
1.2950	0.0091075	416.00
1.3000	0.0095193	433.89
1.3050	0.010013	456.05
1.3100	0.010576	482.01
1.3150	0.011197	511.25
1.3200	0.011879	543.90
1.3250	0.012612	579.51
1.3300	0.013389	617.64
1.3350	0.014200	657.72
1.3400	0.015036	699.15
1.3450	0.015885	741.28
1.3500	0.016735	783.35
1.3550	0.017570	824.67
1.3600	0.018379	864.60
1.3650	0.019149	902.53
1.3700	0.019867	937.84
