Time (s)	Displacement magnitude (m)	von Mises stress (N/m^2)
0.0000	6.1236E-16	7.2752E-9
0.025000	2.7647E-5	29.391
0.050000	2.0765E-4	145.53
0.075000	6.7962E-4	362.68
0.10000	0.0014367	656.76
0.12500	0.0022458	960.54
0.15000	0.0028256	1204.6
0.17500	0.0030962	1352.0
0.20000	0.0031274	1403.6
0.22500	0.0031060	1418.4
0.25000	0.0032614	1497.5
0.27500	0.0036779	1696.3
0.30000	0.0043231	1978.6
0.32500	0.0051078	2271.2
0.35000	0.0058231	2541.9
0.37500	0.0062016	2725.1
0.40000	0.0062659	2802.3
0.42500	0.0062413	2822.0
0.45000	0.0063132	2872.5
0.47500	0.0066431	3018.4
0.50000	0.0072500	3285.2
0.52500	0.0080226	3606.6
0.55000	0.0087451	3877.3
0.57500	0.0092397	4071.0
0.60000	0.0094130	4186.4
0.62500	0.0093899	4235.5
0.65000	0.0094056	4259.2
0.67500	0.0096317	4363.2
0.70000	0.010173	4594.9
0.72500	0.010922	4908.5
0.75000	0.011674	5213.2
0.77500	0.012254	5441.6
0.80000	0.012538	5558.6
0.82500	0.012532	5615.4
0.85000	0.012503	5660.9
0.87500	0.012688	5741.0
0.90000	0.013126	5916.2
0.92500	0.013798	6202.8
0.95000	0.014587	6532.3
0.97500	0.015252	6794.8
1.0000	0.015615	6946.1
1.0250	0.015667	6976.4
1.0500	0.015433	6895.2
1.0750	0.015031	6749.7
1.1000	0.014663	6614.0
1.1250	0.014496	6553.3
1.1500	0.014659	6627.4
1.1750	0.015084	6775.2
1.2000	0.015527	6913.9
1.2000	0.015527	6913.9
1.2050	0.015598	6935.9
1.2100	0.015655	6954.4
1.2150	0.015697	6969.1
1.2200	0.015728	6981.0
1.2250	0.015736	6986.0
1.2300	0.015736	6988.9
1.2350	0.015708	6982.6
1.2400	0.015673	6973.7
1.2450	0.015617	6958.2
1.2500	0.015554	6943.1
1.2550	0.015483	6928.5
1.2600	0.015424	6936.6
1.2650	0.015387	6972.9
1.2700	0.015393	7049.8
1.2750	0.015462	7169.2
1.2800	0.015627	7339.6
1.2850	0.015890	7556.7
1.2900	0.016265	7821.8
1.2950	0.016763	8135.7
1.3000	0.017397	8499.3
1.3050	0.018211	8923.8
1.3100	0.019198	9401.6
1.3150	0.020340	9924.7
1.3200	0.021653	10494
1.3250	0.023126	11104
1.3300	0.024747	11747
1.3350	0.026501	12417
1.3400	0.028362	13107
1.3450	0.030297	13808
1.3500	0.032270	14507
1.3550	0.034234	15193
1.3600	0.036151	15856
1.3650	0.037981	16485
1.3700	0.039684	17069
1.3750	0.041221	17601
1.3800	0.042556	18072
1.3850	0.043660	18473
1.3900	0.044510	18799
1.3950	0.045100	19046
1.4000	0.045429	19209
1.4050	0.045486	19275
1.4100	0.045316	19252
1.4150	0.044904	19134
1.4200	0.044248	18921
1.4250	0.043352	18613
1.4300	0.042227	18214
1.4350	0.040897	17730
1.4400	0.039384	17170
1.4450	0.037711	16540
1.4500	0.035905	15850
1.4550	0.034005	15111
1.4600	0.032045	14336
1.4650	0.030062	13538
1.4700	0.028088	12732
1.4750	0.026155	11932
1.4800	0.024292	11153
1.4850	0.022522	10411
1.4900	0.020862	9716.6
1.4950	0.019326	9076.6
1.5000	0.017923	8495.0
1.5050	0.016659	7976.7
1.5100	0.015539	7526.8
1.5150	0.014562	7147.8
1.5200	0.013730	6836.9
1.5250	0.013043	6586.0
1.5300	0.012498	6382.8
1.5350	0.012092	6213.3
1.5400	0.011831	6064.5
1.5450	0.011697	5928.0
1.5500	0.011674	5801.5
1.5550	0.011745	5688.8
1.5600	0.011888	5595.0
1.5650	0.012094	5520.3
1.5700	0.012356	5454.7
1.5750	0.012627	5385.6
1.5800	0.012868	5305.5
1.5850	0.013038	5206.6
1.5900	0.013087	5084.6
1.5950	0.012968	4931.1
1.6000	0.012643	4735.4
1.6050	0.012109	4494.9
1.6100	0.011370	4206.7
1.6150	0.010437	3866.9
1.6200	0.0093307	3470.4
1.6250	0.0080712	3014.1
1.6300	0.0066759	2500.1
1.6350	0.0051922	1934.5
1.6400	0.0036119	1324.2
1.6450	0.0019512	683.99
1.6500	4.8536E-4	361.03
1.6550	0.0017410	802.65
1.6600	0.0034931	1324.5
1.6650	0.0052226	1988.8
1.6700	0.0068916	2633.9
1.6750	0.0084550	3245.5
1.6800	0.0099030	3817.8
1.6850	0.011211	4338.3
1.6900	0.012367	4796.5
1.6950	0.013332	5189.4
1.7000	0.014079	5496.1
1.7050	0.014600	5713.3
1.7100	0.014875	5829.5
1.7150	0.014883	5829.6
1.7200	0.014649	5719.9
1.7250	0.014147	5486.9
1.7300	0.013398	5144.6
1.7350	0.012426	4707.4
1.7400	0.011225	4181.0
1.7450	0.0098446	3589.3
1.7500	0.0082875	3025.9
1.7550	0.0065784	2444.3
1.7600	0.0047508	1798.7
1.7650	0.0028107	1107.5
1.7700	8.2424E-4	495.99
1.7750	0.0015222	816.37
1.7800	0.0034769	1583.0
1.7850	0.0055386	2330.4
1.7900	0.0075870	3050.0
1.7950	0.0095695	3738.0
1.8000	0.011448	4391.3
1.8050	0.013183	5011.3
1.8100	0.014750	5604.7
1.8150	0.016115	6171.4
1.8200	0.017288	6708.2
1.8250	0.018235	7196.3
1.8300	0.018986	7627.3
1.8350	0.019563	7998.4
1.8400	0.019977	8307.8
1.8450	0.020259	8563.5
1.8500	0.020416	8766.0
1.8550	0.020455	8910.5
1.8600	0.020377	8983.7
1.8650	0.020196	8975.1
1.8700	0.019908	8887.9
1.8750	0.019515	8728.0
1.8800	0.019036	8502.9
1.8850	0.018501	8224.2
1.8900	0.017918	7914.9
1.8950	0.017297	7589.9
1.9000	0.016644	7259.7
1.9000	0.016644	7259.7
1.9250	0.013172	5783.3
1.9500	0.010215	4907.8
1.9750	0.0096900	5155.0
2.0000	0.012640	6131.2
2.0250	0.017424	7235.9
2.0500	0.020260	8294.4
2.0750	0.020210	8871.1
2.1000	0.017580	7974.0
2.1250	0.013774	6062.5
2.1500	0.010811	4878.6
2.1750	0.0097325	5044.5
2.2000	0.011666	5840.5
