Time (s)	w (m)	w-jump_z_t (m)	solid.disp (m)	solid.mises (N/m^2)
0.0000	-2.4964E-15	-2.4964E-15	2.4964E-15	1.0513E-9
0.025000	-2.2592E-5	-2.2592E-5	2.2642E-5	3.1195
0.050000	-1.5511E-4	-1.5511E-4	1.5564E-4	23.005
0.075000	-4.3742E-4	-4.3742E-4	4.3969E-4	70.970
0.10000	-8.2668E-4	-8.2668E-4	8.3314E-4	141.44
0.12500	-0.0012219	-0.0012219	0.0012342	213.60
0.15000	-0.0015348	-0.0015348	0.0015511	269.21
0.17500	-0.0017163	-0.0017163	0.0017329	298.98
0.20000	-0.0017703	-0.0017703	0.0017853	304.45
0.22500	-0.0017748	-0.0017748	0.0017895	302.22
0.25000	-0.0018632	-0.0018632	0.0018788	317.37
0.27500	-0.0021043	-0.0021043	0.0021216	358.87
0.30000	-0.0024690	-0.0024690	0.0024899	422.17
0.32500	-0.0028739	-0.0028739	0.0028995	494.87
0.35000	-0.0032227	-0.0032227	0.0032527	558.94
0.37500	-0.0034413	-0.0034413	0.0034740	597.07
0.40000	-0.0035249	-0.0035249	0.0035571	607.84
0.42500	-0.0035428	-0.0035428	0.0035730	607.18
0.45000	-0.0035944	-0.0035944	0.0036243	614.15
0.47500	-0.0037755	-0.0037755	0.0038074	645.43
0.50000	-0.0041114	-0.0041114	0.0041469	704.72
0.52500	-0.0045252	-0.0045252	0.0045655	779.05
0.55000	-0.0048979	-0.0048979	0.0049422	845.50
0.57500	-0.0051533	-0.0051533	0.0052003	890.36
0.60000	-0.0052757	-0.0052757	0.0053236	910.30
0.62500	-0.0053083	-0.0053083	0.0053553	913.00
0.65000	-0.0053368	-0.0053368	0.0053826	914.27
0.67500	-0.0054697	-0.0054697	0.0055161	935.65
0.70000	-0.0057620	-0.0057620	0.0058114	987.95
0.72500	-0.0061636	-0.0061636	0.0062177	1059.8
0.75000	-0.0065616	-0.0065616	0.0066211	1131.1
0.77500	-0.0068605	-0.0068605	0.0069230	1184.4
0.80000	-0.0070193	-0.0070193	0.0070821	1210.8
0.82500	-0.0070642	-0.0070642	0.0071265	1214.8
0.85000	-0.0070889	-0.0070889	0.0071507	1216.3
0.87500	-0.0071882	-0.0071882	0.0072501	1232.7
0.90000	-0.0074225	-0.0074225	0.0074866	1273.0
0.92500	-0.0077955	-0.0077955	0.0078634	1338.3
0.95000	-0.0082174	-0.0082174	0.0082902	1414.7
0.97500	-0.0085564	-0.0085564	0.0086340	1476.4
1.0000	-0.0087491	-0.0087491	0.0088285	1508.9
1.0250	-0.0087996	-0.0087996	0.0088778	1515.8
1.0500	-0.0086923	-0.0086923	0.0087691	1497.1
1.0750	-0.0084770	-0.0084770	0.0085522	1458.1
1.1000	-0.0082773	-0.0082773	0.0083502	1420.4
1.1250	-0.0082193	-0.0082193	0.0082898	1409.3
1.1500	-0.0083191	-0.0083191	0.0083897	1426.0
1.1750	-0.0085143	-0.0085143	0.0085888	1462.4
1.2000	-0.0087063	-0.0087063	0.0087858	1502.0
1.2250	-0.0088032	-0.0088032	0.0088837	1521.1
1.2500	-0.0087377	-0.0087377	0.0088154	1504.8
1.2750	-0.0085442	-0.0085442	0.0086188	1467.6
1.3000	-0.0083353	-0.0083353	0.0084075	1431.0
1.3250	-0.0082208	-0.0082208	0.0082925	1410.8
1.3500	-0.0082653	-0.0082653	0.0083374	1417.7
1.3750	-0.0084504	-0.0084504	0.0085234	1450.7
1.4000	-0.0086651	-0.0086651	0.0087413	1491.5
1.4250	-0.0087847	-0.0087847	0.0088648	1515.7
1.4500	-0.0087671	-0.0087671	0.0088473	1513.6
1.4750	-0.0086168	-0.0086168	0.0086931	1483.5
1.5000	-0.0083965	-0.0083965	0.0084691	1440.7
1.5250	-0.0082362	-0.0082362	0.0083064	1410.7
1.5500	-0.0082355	-0.0082355	0.0083068	1412.7
1.5750	-0.0083861	-0.0083861	0.0084603	1441.6
1.6000	-0.0086011	-0.0086011	0.0086772	1479.9
1.6250	-0.0087643	-0.0087643	0.0088422	1509.6
1.6500	-0.0087922	-0.0087922	0.0088715	1516.7
1.6750	-0.0086703	-0.0086703	0.0087485	1495.2
1.7000	-0.0084594	-0.0084594	0.0085341	1453.8
1.7000	-0.0084594	-0.0084594	0.0085341	1453.8
1.7020	-0.0084426	-0.0084426	0.0085170	1450.5
1.7040	-0.0084258	-0.0084258	0.0084999	1447.3
1.7060	-0.0084090	-0.0084090	0.0084828	1444.0
1.7080	-0.0083922	-0.0083922	0.0084658	1440.7
1.7100	-0.0083771	-0.0083771	0.0084504	1437.9
1.7120	-0.0083621	-0.0083621	0.0084351	1435.0
1.7140	-0.0083470	-0.0083470	0.0084198	1432.1
1.7160	-0.0083320	-0.0083320	0.0084045	1429.2
1.7180	-0.0083194	-0.0083194	0.0083917	1426.9
1.7200	-0.0083069	-0.0083069	0.0083789	1424.5
1.7220	-0.0082944	-0.0082944	0.0083662	1422.2
1.7240	-0.0082819	-0.0082819	0.0083534	1419.8
1.7260	-0.0082726	-0.0082726	0.0083439	1418.1
1.7280	-0.0082633	-0.0082633	0.0083344	1416.3
1.7300	-0.0082540	-0.0082540	0.0083248	1414.6
1.7320	-0.0082446	-0.0082446	0.0083153	1412.8
1.7340	-0.0082391	-0.0082391	0.0083097	1411.8
1.7360	-0.0082336	-0.0082336	0.0083040	1410.7
1.7380	-0.0082281	-0.0082281	0.0082983	1409.7
1.7400	-0.0082226	-0.0082226	0.0082926	1408.7
1.7420	-0.0082213	-0.0082213	0.0082913	1408.4
1.7440	-0.0082200	-0.0082200	0.0082899	1408.2
1.7460	-0.0082187	-0.0082187	0.0082885	1407.9
1.7480	-0.0082174	-0.0082174	0.0082871	1407.7
1.7500	-0.0082205	-0.0082205	0.0082902	1408.3
1.7520	-0.0082235	-0.0082236	0.0082932	1408.9
1.7540	-0.0082266	-0.0082269	0.0082963	1409.5
1.7560	-0.0082296	-0.0082308	0.0082994	1410.1
1.7580	-0.0082362	-0.0082389	0.0083060	1411.7
1.7600	-0.0082427	-0.0082481	0.0083127	1413.2
1.7620	-0.0082494	-0.0082587	0.0083195	1414.9
1.7640	-0.0082580	-0.0082727	0.0083284	1417.4
1.7660	-0.0082667	-0.0082885	0.0083374	1419.9
1.7680	-0.0082761	-0.0083071	0.0083472	1423.0
1.7700	-0.0082860	-0.0083282	0.0083575	1426.4
1.7720	-0.0082960	-0.0083519	0.0083681	1430.0
1.7740	-0.0083063	-0.0083786	0.0083792	1434.5
1.7760	-0.0083167	-0.0084081	0.0083903	1439.0
1.7780	-0.0083268	-0.0084404	0.0084016	1444.3
1.7800	-0.0083368	-0.0084759	0.0084129	1449.7
1.7820	-0.0083460	-0.0085139	0.0084238	1456.0
1.7840	-0.0083550	-0.0085553	0.0084347	1462.5
1.7860	-0.0083628	-0.0085994	0.0084449	1469.7
1.7880	-0.0083700	-0.0086468	0.0084548	1477.3
1.7900	-0.0083754	-0.0086966	0.0084635	1485.5
1.7920	-0.0083802	-0.0087500	0.0084719	1494.0
1.7940	-0.0083823	-0.0088054	0.0084785	1503.3
1.7960	-0.0083829	-0.0088638	0.0084840	1513.0
1.7980	-0.0083818	-0.0089254	0.0084886	1523.1
1.8000	-0.0083772	-0.0089884	0.0084906	1533.9
1.8020	-0.0083706	-0.0090545	0.0084916	1545.1
1.8040	-0.0083613	-0.0091232	0.0084910	1556.7
1.8060	-0.0083477	-0.0091930	0.0084875	1568.9
1.8080	-0.0083316	-0.0092659	0.0084828	1581.5
1.8100	-0.0083115	-0.0093404	0.0084756	1594.5
1.8120	-0.0082865	-0.0094158	0.0084654	1608.0
1.8140	-0.0082585	-0.0094940	0.0084535	1621.8
1.8160	-0.0082245	-0.0095724	0.0084378	1636.1
1.8180	-0.0081853	-0.0096517	0.0084190	1650.6
1.8200	-0.0081423	-0.0097334	0.0083982	1665.4
1.8220	-0.0080910	-0.0098133	0.0083722	1680.3
1.8240	-0.0080343	-0.0098942	0.0083431	1695.4
1.8260	-0.0079730	-0.0099771	0.0083120	1710.5
1.8280	-0.0079009	-0.010056	0.0082738	1725.6
1.8300	-0.0078234	-0.010136	0.0082332	1740.6
1.8320	-0.0077395	-0.010217	0.0081893	1755.6
1.8340	-0.0076442	-0.010293	0.0081386	1770.2
1.8360	-0.0075431	-0.010370	0.0080855	1784.7
1.8380	-0.0074332	-0.010446	0.0080279	1798.9
1.8400	-0.0073122	-0.010518	0.0079645	1812.6
1.8420	-0.0071848	-0.010590	0.0078987	1826.1
1.8440	-0.0070463	-0.010659	0.0078276	1839.2
1.8460	-0.0068973	-0.010725	0.0077518	1851.8
1.8480	-0.0067414	-0.010791	0.0076741	1864.0
1.8500	-0.0065721	-0.010851	0.0075903	1875.6
1.8520	-0.0063933	-0.010910	0.0075035	1886.8
1.8540	-0.0062072	-0.010968	0.0074156	1897.5
1.8560	-0.0060054	-0.011019	0.0073211	1907.5
1.8580	-0.0057952	-0.011069	0.0072256	1917.1
1.8600	-0.0055765	-0.011118	0.0071292	1926.2
1.8620	-0.0053416	-0.011159	0.0070274	1934.4
1.8640	-0.0050989	-0.011200	0.0069261	1942.1
1.8660	-0.0048455	-0.011238	0.0068240	1949.3
