Time (s)	abs(w-jump_z_t) (m)	solid.disp (m)	solid.mises (N/m^2)
0.0000	3.5929E-15	3.5930E-15	4.3686E-8
0.025000	2.6328E-5	2.6328E-5	29.399
0.050000	2.0753E-4	2.0753E-4	146.34
0.075000	6.7617E-4	6.7617E-4	362.00
0.10000	0.0014318	0.0014318	656.41
0.12500	0.0022306	0.0022306	961.58
0.15000	0.0028142	0.0028142	1205.6
0.17500	0.0030909	0.0030909	1352.8
0.20000	0.0031125	0.0031125	1404.8
0.22500	0.0030877	0.0030877	1419.0
0.25000	0.0032498	0.0032498	1498.0
0.27500	0.0036638	0.0036638	1696.7
0.30000	0.0043076	0.0043076	1979.0
0.32500	0.0050862	0.0050862	2271.3
0.35000	0.0057844	0.0057844	2543.6
0.37500	0.0061739	0.0061739	2726.4
0.40000	0.0062521	0.0062521	2803.5
0.42500	0.0062184	0.0062184	2824.2
0.45000	0.0062772	0.0062772	2873.2
0.47500	0.0066101	0.0066101	3018.8
0.50000	0.0072292	0.0072292	3288.0
0.52500	0.0079957	0.0079957	3607.7
0.55000	0.0087031	0.0087031	3878.6
0.57500	0.0091926	0.0091926	4073.5
0.60000	0.0093755	0.0093755	4190.6
0.62500	0.0093652	0.0093652	4237.7
0.65000	0.0093710	0.0093710	4260.5
0.67500	0.0095805	0.0095805	4365.3
0.70000	0.010126	0.010126	4597.8
0.72500	0.010883	0.010883	4911.6
0.75000	0.011637	0.011637	5216.1
0.77500	0.012202	0.012202	5444.0
0.80000	0.012471	0.012471	5561.5
0.82500	0.012479	0.012479	5619.9
0.85000	0.012467	0.012467	5663.5
0.87500	0.012636	0.012636	5742.5
0.90000	0.013061	0.013061	5916.6
0.92500	0.013734	0.013734	6207.5
0.95000	0.014537	0.014537	6536.9
0.97500	0.015196	0.015196	6796.7
1.0000	0.015542	0.015542	6947.7
1.0250	0.015596	0.015596	6983.2
1.0500	0.015372	0.015372	6898.8
1.0750	0.014981	0.014981	6755.2
1.1000	0.014599	0.014599	6614.3
1.1250	0.014439	0.014439	6557.3
1.1500	0.014594	0.014594	6633.1
1.1750	0.015013	0.015013	6776.6
1.2000	0.015475	0.015475	6917.2
1.2250	0.015682	0.015682	6991.8
1.2500	0.015473	0.015473	6944.0
1.2750	0.015054	0.015054	6790.8
1.3000	0.014679	0.014679	6639.6
1.3250	0.014484	0.014484	6575.5
1.3500	0.014541	0.014541	6601.4
1.3750	0.014876	0.014876	6726.8
1.4000	0.015322	0.015322	6880.9
1.4250	0.015613	0.015613	6971.8
1.4500	0.015607	0.015607	6965.5
1.4750	0.015247	0.015247	6863.3
1.5000	0.014756	0.014756	6686.6
1.5250	0.014457	0.014457	6559.2
1.5500	0.014503	0.014503	6580.3
1.5750	0.014796	0.014796	6699.1
1.6000	0.015203	0.015203	6838.8
1.6250	0.015533	0.015533	6948.2
1.6500	0.015607	0.015607	6975.1
1.6750	0.015394	0.015394	6896.1
1.7000	0.014941	0.014941	6748.4
1.7000	0.014941	0.014941	6748.4
1.7020	0.014902	0.014902	6735.5
1.7040	0.014863	0.014863	6722.6
1.7060	0.014824	0.014824	6709.7
1.7080	0.014785	0.014785	6696.8
1.7100	0.014751	0.014751	6684.8
1.7120	0.014717	0.014717	6672.8
1.7140	0.014682	0.014682	6660.8
1.7160	0.014648	0.014648	6648.7
1.7180	0.014620	0.014620	6638.6
1.7200	0.014593	0.014593	6628.4
1.7220	0.014565	0.014565	6618.2
1.7240	0.014538	0.014538	6608.0
1.7260	0.014519	0.014519	6600.3
1.7280	0.014499	0.014499	6592.7
1.7300	0.014480	0.014480	6585.0
1.7320	0.014461	0.014461	6577.3
1.7340	0.014450	0.014450	6572.4
1.7360	0.014440	0.014440	6567.5
1.7380	0.014430	0.014430	6562.6
1.7400	0.014419	0.014419	6557.7
1.7420	0.014419	0.014419	6555.9
1.7440	0.014418	0.014418	6554.0
1.7460	0.014417	0.014417	6552.1
1.7480	0.014416	0.014416	6550.2
1.7500	0.014424	0.014424	6551.8
1.7520	0.014433	0.014433	6553.4
1.7540	0.014442	0.014441	6555.0
1.7560	0.014451	0.014450	6556.6
1.7580	0.014469	0.014466	6565.4
1.7600	0.014487	0.014482	6574.2
1.7620	0.014508	0.014498	6583.6
1.7640	0.014534	0.014519	6600.7
1.7660	0.014562	0.014540	6617.7
1.7680	0.014595	0.014564	6637.3
1.7700	0.014631	0.014589	6658.1
1.7720	0.014670	0.014614	6680.5
1.7740	0.014715	0.014642	6707.9
1.7760	0.014762	0.014670	6735.5
1.7780	0.014814	0.014701	6767.9
1.7800	0.014870	0.014731	6800.3
1.7820	0.014932	0.014764	6835.4
1.7840	0.014997	0.014796	6871.0
1.7860	0.015067	0.014830	6911.5
1.7880	0.015142	0.014865	6954.3
1.7900	0.015222	0.014901	6997.2
1.7920	0.015307	0.014937	7040.4
1.7940	0.015397	0.014974	7086.8
1.7960	0.015492	0.015011	7134.1
1.7980	0.015592	0.015048	7182.3
1.8000	0.015697	0.015085	7232.0
1.8020	0.015807	0.015123	7282.9
1.8040	0.015922	0.015160	7335.5
1.8060	0.016042	0.015196	7388.3
1.8080	0.016167	0.015232	7441.7
1.8100	0.016296	0.015267	7496.6
1.8120	0.016430	0.015301	7551.1
1.8140	0.016569	0.015334	7605.6
1.8160	0.016712	0.015364	7661.0
1.8180	0.016859	0.015392	7716.4
1.8200	0.017009	0.015418	7771.9
1.8220	0.017162	0.015440	7827.7
1.8240	0.017318	0.015458	7883.4
1.8260	0.017477	0.015473	7938.9
1.8280	0.017634	0.015479	7995.1
1.8300	0.017794	0.015481	8050.9
1.8320	0.017955	0.015478	8106.1
1.8340	0.018112	0.015464	8160.7
1.8360	0.018271	0.015444	8214.7
1.8380	0.018428	0.015416	8268.0
1.8400	0.018581	0.015376	8320.1
1.8420	0.018734	0.015329	8371.5
1.8440	0.018882	0.015270	8421.8
1.8460	0.019026	0.015198	8470.6
1.8480	0.019168	0.015119	8518.4
1.8500	0.019303	0.015023	8564.3
1.8520	0.019433	0.014916	8608.8
1.8540	0.019561	0.014800	8652.2
1.8560	0.019678	0.014664	8692.4
1.8580	0.019792	0.014518	8730.8
1.8600	0.019902	0.014361	8767.4
1.8620	0.020000	0.014182	8800.7
1.8640	0.020094	0.013994	8832.2
1.8660	0.020183	0.013791	8861.3
1.8680	0.020258	0.013566	8887.1
1.8700	0.020329	0.013330	8911.0
1.8720	0.020389	0.013075	8931.9
1.8740	0.020437	0.012801	8949.5
1.8760	0.020481	0.012514	8965.2
1.8780	0.020511	0.012205	8977.0
1.8800	0.020533	0.011880	8985.6
1.8820	0.020551	0.011543	8992.0
1.8840	0.020554	0.011183	8994.5
1.8860	0.020551	0.010809	8994.5
1.8880	0.020544	0.010424	8992.4
1.8900	0.020520	0.010507	8985.4
1.8920	0.020492	0.010902	8976.7
1.8940	0.020457	0.011303	8965.6
1.8960	0.020407	0.011716	8950.7
1.8980	0.020350	0.012134	8930.8
1.9000	0.020277	0.012563	8902.4
1.9020	0.020211	0.012991	8875.0
1.9040	0.020141	0.013427	8847.5
