Time (s)	w (m)	w-jump_z_t (m)
0.0000	-3.5929E-15	-3.5929E-15
0.025000	-2.6328E-5	-2.6328E-5
0.050000	-2.0753E-4	-2.0753E-4
0.075000	-6.7617E-4	-6.7617E-4
0.10000	-0.0014318	-0.0014318
0.12500	-0.0022306	-0.0022306
0.15000	-0.0028142	-0.0028142
0.17500	-0.0030909	-0.0030909
0.20000	-0.0031125	-0.0031125
0.22500	-0.0030877	-0.0030877
0.25000	-0.0032498	-0.0032498
0.27500	-0.0036638	-0.0036638
0.30000	-0.0043076	-0.0043076
0.32500	-0.0050862	-0.0050862
0.35000	-0.0057844	-0.0057844
0.37500	-0.0061739	-0.0061739
0.40000	-0.0062521	-0.0062521
0.42500	-0.0062184	-0.0062184
0.45000	-0.0062772	-0.0062772
0.47500	-0.0066101	-0.0066101
0.50000	-0.0072292	-0.0072292
0.52500	-0.0079957	-0.0079957
0.55000	-0.0087031	-0.0087031
0.57500	-0.0091926	-0.0091926
0.60000	-0.0093755	-0.0093755
0.62500	-0.0093652	-0.0093652
0.65000	-0.0093710	-0.0093710
0.67500	-0.0095805	-0.0095805
0.70000	-0.010126	-0.010126
0.72500	-0.010883	-0.010883
0.75000	-0.011637	-0.011637
0.77500	-0.012202	-0.012202
0.80000	-0.012471	-0.012471
0.82500	-0.012479	-0.012479
0.85000	-0.012467	-0.012467
0.87500	-0.012636	-0.012636
0.90000	-0.013061	-0.013061
0.92500	-0.013734	-0.013734
0.95000	-0.014537	-0.014537
0.97500	-0.015196	-0.015196
1.0000	-0.015542	-0.015542
1.0250	-0.015596	-0.015596
1.0500	-0.015372	-0.015372
1.0750	-0.014981	-0.014981
1.1000	-0.014599	-0.014599
1.1250	-0.014439	-0.014439
1.1500	-0.014594	-0.014594
1.1750	-0.015013	-0.015013
1.2000	-0.015475	-0.015475
1.2250	-0.015682	-0.015682
1.2500	-0.015473	-0.015473
1.2750	-0.015054	-0.015054
1.3000	-0.014679	-0.014679
1.3250	-0.014484	-0.014484
1.3500	-0.014541	-0.014541
1.3750	-0.014876	-0.014876
1.4000	-0.015322	-0.015322
1.4250	-0.015613	-0.015613
1.4500	-0.015607	-0.015607
1.4750	-0.015247	-0.015247
1.5000	-0.014756	-0.014756
1.5250	-0.014457	-0.014457
1.5500	-0.014503	-0.014503
1.5750	-0.014796	-0.014796
1.6000	-0.015203	-0.015203
