Time (s)	w/1 (m)	(w-jump_z_t)/1 (m)	solid.disp/1 (m)
0.0000	-4.1783E-16	-4.1783E-16	4.1783E-16
0.025000	-2.6341E-5	-2.6341E-5	2.6341E-5
0.050000	-2.0476E-4	-2.0476E-4	2.0476E-4
0.075000	-6.7521E-4	-6.7521E-4	6.7522E-4
0.10000	-0.0014172	-0.0014172	0.0014172
0.12500	-0.0022016	-0.0022016	0.0022017
0.15000	-0.0027766	-0.0027766	0.0027767
0.17500	-0.0030500	-0.0030500	0.0030502
0.20000	-0.0030798	-0.0030798	0.0030799
0.22500	-0.0030584	-0.0030584	0.0030585
0.25000	-0.0032136	-0.0032136	0.0032136
0.27500	-0.0036211	-0.0036211	0.0036212
0.30000	-0.0042590	-0.0042590	0.0042592
0.32500	-0.0050226	-0.0050226	0.0050227
0.35000	-0.0057083	-0.0057083	0.0057085
0.37500	-0.0060999	-0.0060999	0.0061002
0.40000	-0.0061820	-0.0061820	0.0061822
0.42500	-0.0061528	-0.0061528	0.0061530
0.45000	-0.0062143	-0.0062143	0.0062144
0.47500	-0.0065383	-0.0065383	0.0065385
0.50000	-0.0071400	-0.0071400	0.0071402
0.52500	-0.0078933	-0.0078933	0.0078935
0.55000	-0.0085969	-0.0085969	0.0085972
0.57500	-0.0090837	-0.0090837	0.0090840
0.60000	-0.0092757	-0.0092757	0.0092760
0.62500	-0.0092647	-0.0092647	0.0092650
0.65000	-0.0092720	-0.0092720	0.0092723
0.67500	-0.0094821	-0.0094821	0.0094823
0.70000	-0.010005	-0.010005	0.010005
0.72500	-0.010746	-0.010746	0.010746
0.75000	-0.011490	-0.011490	0.011491
0.77500	-0.012056	-0.012056	0.012057
0.80000	-0.012333	-0.012333	0.012334
0.82500	-0.012352	-0.012352	0.012352
0.85000	-0.012332	-0.012332	0.012332
0.87500	-0.012494	-0.012494	0.012494
0.90000	-0.012911	-0.012911	0.012911
0.92500	-0.013568	-0.013568	0.013569
0.95000	-0.014346	-0.014346	0.014347
0.97500	-0.015009	-0.015009	0.015009
1.0000	-0.015366	-0.015366	0.015367
1.0250	-0.015427	-0.015427	0.015427
1.0500	-0.015216	-0.015216	0.015216
1.0750	-0.014814	-0.014814	0.014815
1.1000	-0.014424	-0.014424	0.014424
1.1250	-0.014268	-0.014268	0.014268
1.1500	-0.014423	-0.014423	0.014424
1.1750	-0.014827	-0.014827	0.014828
1.2000	-0.015285	-0.015285	0.015285
1.2000	-0.015285	-0.015285	0.015285
1.2050	-0.015355	-0.015355	0.015355
1.2100	-0.015414	-0.015414	0.015415
1.2150	-0.015461	-0.015461	0.015462
1.2200	-0.015488	-0.015488	0.015489
1.2250	-0.015507	-0.015507	0.015507
1.2300	-0.015498	-0.015498	0.015498
1.2350	-0.015481	-0.015481	0.015482
1.2400	-0.015440	-0.015440	0.015441
1.2450	-0.015389	-0.015389	0.015390
1.2500	-0.015324	-0.015324	0.015324
1.2550	-0.015247	-0.015249	0.015248
1.2600	-0.015165	-0.015176	0.015166
1.2606	-0.015155	-0.015169	0.015156
