Time (s)	w/1 (m)	(w-jump_z_t)/1 (m)	solid.disp/1 (m)	solid.mises/1 (N/m^2)
0.0000	-4.1535E-16	-4.1535E-16	4.1535E-16	1.7967E-10
0.025000	-2.2598E-5	-2.2598E-5	2.2649E-5	3.1207
0.050000	-1.5386E-4	-1.5386E-4	1.5439E-4	22.776
0.075000	-4.3810E-4	-4.3810E-4	4.4039E-4	71.105
0.10000	-8.2649E-4	-8.2649E-4	8.3296E-4	141.40
0.12500	-0.0012220	-0.0012220	0.0012343	213.61
0.15000	-0.0015346	-0.0015346	0.0015510	269.18
0.17500	-0.0017162	-0.0017162	0.0017328	298.97
0.20000	-0.0017713	-0.0017713	0.0017863	304.67
0.22500	-0.0017766	-0.0017766	0.0017913	302.53
0.25000	-0.0018631	-0.0018631	0.0018786	317.28
0.27500	-0.0021026	-0.0021026	0.0021198	358.62
0.30000	-0.0024677	-0.0024677	0.0024886	421.99
0.32500	-0.0028718	-0.0028718	0.0028974	494.44
0.35000	-0.0032208	-0.0032208	0.0032508	558.51
0.37500	-0.0034419	-0.0034419	0.0034747	597.25
0.40000	-0.0035274	-0.0035274	0.0035597	608.37
0.42500	-0.0035456	-0.0035456	0.0035758	607.69
0.45000	-0.0035962	-0.0035962	0.0036260	614.39
0.47500	-0.0037757	-0.0037757	0.0038077	645.51
0.50000	-0.0041087	-0.0041087	0.0041442	704.27
0.52500	-0.0045209	-0.0045209	0.0045611	778.17
0.55000	-0.0048960	-0.0048960	0.0049404	845.24
0.57500	-0.0051547	-0.0051547	0.0052016	890.52
0.60000	-0.0052795	-0.0052795	0.0053274	911.05
0.62500	-0.0053126	-0.0053126	0.0053597	913.78
0.65000	-0.0053422	-0.0053422	0.0053880	915.37
0.67500	-0.0054716	-0.0054716	0.0055180	935.97
0.70000	-0.0057586	-0.0057586	0.0058079	987.19
0.72500	-0.0061575	-0.0061575	0.0062116	1058.8
0.75000	-0.0065586	-0.0065586	0.0066180	1130.5
0.77500	-0.0068602	-0.0068602	0.0069228	1184.2
0.80000	-0.0070228	-0.0070228	0.0070856	1211.5
0.82500	-0.0070710	-0.0070710	0.0071333	1216.3
0.85000	-0.0070940	-0.0070940	0.0071559	1217.1
0.87500	-0.0071913	-0.0071913	0.0072533	1233.1
0.90000	-0.0074202	-0.0074202	0.0074842	1272.7
0.92500	-0.0077873	-0.0077873	0.0078552	1336.9
0.95000	-0.0082084	-0.0082084	0.0082810	1412.8
0.97500	-0.0085551	-0.0085551	0.0086325	1476.1
1.0000	-0.0087531	-0.0087531	0.0088327	1509.9
1.0250	-0.0088052	-0.0088052	0.0088837	1516.8
1.0500	-0.0087001	-0.0087001	0.0087769	1498.6
1.0750	-0.0084821	-0.0084821	0.0085573	1459.2
1.1000	-0.0082782	-0.0082782	0.0083511	1420.3
1.1250	-0.0082131	-0.0082131	0.0082836	1408.0
1.1500	-0.0083108	-0.0083108	0.0083814	1425.0
1.1750	-0.0085080	-0.0085080	0.0085823	1461.2
1.2000	-0.0087081	-0.0087081	0.0087873	1501.7
1.2000	-0.0087081	-0.0087081	0.0087873	1501.7
1.2050	-0.0087384	-0.0087384	0.0088183	1508.1
1.2100	-0.0087648	-0.0087648	0.0088453	1513.6
1.2150	-0.0087861	-0.0087861	0.0088669	1518.0
1.2200	-0.0088001	-0.0088001	0.0088810	1520.8
1.2250	-0.0088107	-0.0088107	0.0088915	1522.7
1.2300	-0.0088100	-0.0088100	0.0088905	1522.1
1.2350	-0.0088064	-0.0088064	0.0088864	1520.9
1.2400	-0.0087922	-0.0087922	0.0088716	1517.4
1.2450	-0.0087733	-0.0087733	0.0088520	1513.1
1.2500	-0.0087473	-0.0087473	0.0088253	1507.3
1.2550	-0.0087149	-0.0087163	0.0087922	1500.7
1.2600	-0.0086788	-0.0086901	0.0087554	1493.8
1.2606	-0.0086745	-0.0086879	0.0087510	1492.9
