Time (s)	abs(w-jump_z_t)/1 (m)	solid.disp/1 (m)	solid.mises/1 (N/m^2)
0.0000	6.0004E-16	6.0004E-16	7.2752E-9
0.025000	2.6352E-5	2.6352E-5	29.391
0.050000	2.0513E-4	2.0513E-4	145.53
0.075000	6.7814E-4	6.7814E-4	362.53
0.10000	0.0014315	0.0014315	656.29
0.12500	0.0022307	0.0022307	961.63
0.15000	0.0028141	0.0028141	1205.5
0.17500	0.0030912	0.0030912	1352.7
0.20000	0.0031148	0.0031148	1405.6
0.22500	0.0030902	0.0030902	1420.4
0.25000	0.0032490	0.0032490	1497.9
0.27500	0.0036619	0.0036619	1695.1
0.30000	0.0043063	0.0043063	1977.9
0.32500	0.0050807	0.0050807	2270.8
0.35000	0.0057789	0.0057789	2541.5
0.37500	0.0061768	0.0061768	2726.6
0.40000	0.0062580	0.0062580	2806.1
0.42500	0.0062239	0.0062239	2825.8
0.45000	0.0062793	0.0062793	2874.6
0.47500	0.0066101	0.0066101	3019.3
0.50000	0.0072250	0.0072250	3284.9
0.52500	0.0079879	0.0079879	3604.9
0.55000	0.0086982	0.0086982	3878.2
0.57500	0.0091933	0.0091933	4074.5
0.60000	0.0093870	0.0093870	4191.2
0.62500	0.0093734	0.0093734	4241.8
0.65000	0.0093802	0.0093802	4265.4
0.67500	0.0095868	0.0095868	4366.8
0.70000	0.010116	0.010116	4594.1
0.72500	0.010874	0.010874	4908.0
0.75000	0.011630	0.011630	5212.8
0.77500	0.012200	0.012200	5444.9
0.80000	0.012479	0.012479	5565.7
0.82500	0.012497	0.012497	5621.3
0.85000	0.012475	0.012475	5667.8
0.87500	0.012639	0.012639	5746.0
0.90000	0.013057	0.013057	5916.1
0.92500	0.013723	0.013723	6199.3
0.95000	0.014514	0.014514	6530.8
0.97500	0.015191	0.015191	6795.9
1.0000	0.015551	0.015551	6951.0
1.0250	0.015608	0.015608	6987.2
1.0500	0.015393	0.015393	6905.4
1.0750	0.014988	0.014988	6755.6
1.1000	0.014593	0.014593	6616.9
1.1250	0.014430	0.014430	6554.8
1.1500	0.014585	0.014585	6623.7
1.1750	0.014998	0.014998	6773.9
1.2000	0.015470	0.015470	6917.7
1.2000	0.015470	0.015470	6917.7
1.2050	0.015542	0.015542	6940.1
1.2100	0.015603	0.015603	6960.0
1.2150	0.015651	0.015651	6976.8
1.2200	0.015678	0.015678	6988.4
1.2250	0.015696	0.015696	6997.5
1.2300	0.015686	0.015686	6997.8
1.2350	0.015669	0.015669	6995.6
1.2400	0.015626	0.015626	6984.8
1.2450	0.015573	0.015573	6970.3
1.2500	0.015505	0.015505	6950.1
1.2550	0.015427	0.015425	6928.6
1.2600	0.015352	0.015340	6906.2
1.2606	0.015343	0.015330	6903.5
