"time_s","avg_displacement_mm","avg_vm_kpa"
"0","0","0"
"0.025","0.020405","0.001817"
"0.05","0.117593","0.012465"
"0.075","0.261135","0.028537"
"0.1","0.364787","0.040183"
"0.125","0.395423","0.042943"
"0.15","0.412453","0.044292"
"0.175","0.49391","0.053293"
"0.2","0.636579","0.069274"
"0.225","0.752727","0.082063"
"0.25","0.78968","0.085885"
"0.275","0.802366","0.086735"
"0.3","0.875421","0.094519"
"0.325","1.011605","0.109869"
"0.35","1.135135","0.123698"
"0.375","1.185711","0.128826"
"0.4","1.195924","0.129428"
"0.425","1.25452","0.135777"
"0.45","1.387009","0.150455"
"0.475","1.518874","0.165188"
"0.5","1.577904","0.171566"
"0.525","1.589824","0.172304"
"0.55","1.638786","0.177266"
"0.575","1.760263","0.190972"
"0.6","1.897236","0.206237"
"0.625","1.973712","0.214515"
"0.65","1.986679","0.215381"
"0.675","2.022137","0.219078"
"0.7","2.134632","0.231291"
"0.725","2.27629","0.247361"
"0.75","2.363451","0.256866"
"0.775","2.384464","0.258768"
"0.8","2.411592","0.261075"
"0.825","2.506596","0.271814"
"0.85","2.650942","0.287832"
"0.875","2.754143","0.299309"
"0.9","2.782246","0.301904"
"0.925","2.798586","0.303361"
"0.95","2.884877","0.312531"
"0.975","3.025365","0.328454"
"1","3.138723","0.341082"
"1.025","3.159818","0.343402"
"1.05","3.076722","0.333781"
"1.075","3.002405","0.325186"
"1.1","3.033161","0.328694"
"1.125","3.127633","0.339599"
"1.15","3.161202","0.343859"
"1.175","3.094706","0.335756"
"1.2","3.012115","0.326272"
"1.2","3.012115","0.326272"
"1.205","3.003601","0.325223"
"1.21","3.001378","0.324908"
"1.215","3.001235","0.324836"
"1.22","3.008937","0.325766"
"1.225","3.018","0.32687"
"1.23","3.033224","0.328764"
"1.235","3.049706","0.330796"
"1.24","3.069179","0.333154"
"1.245","3.088947","0.335484"
"1.25","3.109037","0.337784"
"1.255","3.132744","0.340214"
"1.26","3.163246","0.343074"
"1.265","3.207653","0.346962"
"1.27","3.280487","0.353494"
"1.275","3.380766","0.363061"
"1.28","3.509567","0.376046"
"1.285","3.667572","0.392713"
