"time_s","max_displacement_mm","max_vm_kpa"
"0","0","0"
"0.025","0.026354","0.012095"
"0.05","0.195981","0.062307"
"0.075","0.493106","0.139762"
"0.1","0.7226","0.195641"
"0.125","0.740765","0.212723"
"0.15","0.742934","0.221098"
"0.175","0.913007","0.264555"
"0.2","1.201698","0.341033"
"0.225","1.422091","0.403568"
"0.25","1.497046","0.424519"
"0.275","1.488841","0.430721"
"0.3","1.602698","0.46769"
"0.325","1.897279","0.542605"
"0.35","2.162766","0.609592"
"0.375","2.225186","0.636151"
"0.4","2.21676","0.641446"
"0.425","2.335183","0.671699"
"0.45","2.587884","0.743776"
"0.475","2.863018","0.815034"
"0.5","2.980045","0.847521"
"0.525","2.964759","0.851938"
"0.55","3.025598","0.87745"
"0.575","3.298199","0.944299"
"0.6","3.579781","1.018913"
"0.625","3.70499","1.05795"
"0.65","3.709405","1.065522"
"0.675","3.768344","1.083377"
"0.7","3.977792","1.145357"
"0.725","4.276109","1.220963"
"0.75","4.456763","1.268348"
"0.775","4.457864","1.277646"
"0.8","4.478384","1.293196"
"0.825","4.686668","1.344296"
"0.85","4.978409","1.422823"
"0.875","5.1703","1.475846"
"0.9","5.209682","1.492733"
"0.925","5.22839","1.500286"
"0.95","5.369264","1.54769"
"0.975","5.670312","1.622122"
"1","5.906744","1.683461"
"1.025","5.932271","1.693503"
"1.05","5.756254","1.650837"
"1.075","5.601752","1.610954"
"1.1","5.644547","1.625348"
"1.125","5.861654","1.677533"
"1.15","5.968052","1.695167"
"1.175","5.796205","1.661228"
"1.2","5.597028","1.614136"
"1.2","5.597028","1.614136"
"1.205","5.577152","1.609982"
"1.21","5.572525","1.60917"
"1.215","5.574955","1.609904"
"1.22","5.597274","1.614175"
"1.225","5.623545","1.61913"
"1.23","5.665224","1.626835"
"1.235","5.708039","1.635001"
"1.24","5.754773","1.644756"
"1.245","5.799384","1.654904"
"1.25","5.840877","1.665627"
"1.255","5.882728","1.678758"
"1.26","5.931682","1.698562"
"1.265","6.002958","1.732543"
"1.27","6.111846","1.783982"
"1.275","6.280028","1.852655"
"1.28","6.524348","1.940478"
"1.285","6.852328","2.04681"
"1.29","7.270644","2.170889"
"1.295","7.779048","2.311871"
"1.3","8.368869","2.468251"
"1.305","9.023299","2.637786"
"1.31","9.71989","2.817774"
"1.315","10.435458","3.004599"
"1.32","11.14916","3.191877"
"1.325","11.845233","3.371005"
"1.33","12.507964","3.534507"
"1.335","13.110503","3.673654"
"1.34","13.614298","3.780561"
"1.345","13.984046","3.853956"
"1.35","14.190856","3.897686"
"1.355","14.233234","3.919179"
"1.36","14.146026","3.923849"
"1.365","13.952497","3.910374"
"1.37","13.67298","3.877237"
"1.375","13.335195","3.825499"
"1.38","12.974201","3.759529"
"1.385","12.629892","3.685467"
"1.39","12.321067","3.608939"
"1.395","12.059179","3.534863"
"1.4","11.853206","3.469289"
"1.405","11.71515","3.420583"
"1.41","11.649671","3.393936"
"1.415","11.658283","3.389545"
"1.42","11.739943","3.405556"
"1.425","11.882672","3.43759"
"1.43","12.077538","3.479635"
"1.435","12.307589","3.524406"
"1.44","12.550764","3.569286"
"1.445","12.777331","3.612616"
"1.45","12.960635","3.650909"
"1.455","13.071612","3.677669"
