Time (s)	Displacement magnitude (m)	von Mises stress (N/m^2)
0.0000	4.0760E-16	3.2869E-11
0.025000	2.2317E-5	0.86901
0.050000	1.4708E-4	6.1307
0.075000	4.0437E-4	18.129
0.10000	7.5315E-4	35.061
0.12500	0.0011154	52.536
0.15000	0.0013999	65.967
0.17500	0.0015577	73.153
0.20000	0.0016070	74.962
0.22500	0.0016231	75.121
0.25000	0.0017059	78.814
0.27500	0.0019209	88.935
0.30000	0.0022560	104.71
0.32500	0.0026268	122.48
0.35000	0.0029382	137.68
0.37500	0.0031317	146.74
0.40000	0.0032088	149.59
0.42500	0.0032269	149.90
0.45000	0.0032808	152.28
0.47500	0.0034545	160.22
0.50000	0.0037587	174.54
0.52500	0.0041283	192.46
0.55000	0.0044694	208.79
0.57500	0.0047032	219.69
0.60000	0.0048043	224.28
0.62500	0.0048281	224.88
0.65000	0.0048679	226.02
0.67500	0.0050030	232.15
0.70000	0.0052672	244.93
0.72500	0.0056267	262.08
0.75000	0.0059893	279.32
0.77500	0.0062584	292.22
0.80000	0.0063966	298.55
0.82500	0.0064342	299.69
0.85000	0.0064568	300.23
0.87500	0.0065577	304.76
0.90000	0.0067883	315.48
0.92500	0.0071288	331.68
0.95000	0.0074962	349.58
0.97500	0.0077991	364.09
1.0000	0.0079796	372.15
1.0250	0.0080187	373.78
1.0500	0.0079082	368.92
1.0750	0.0077212	359.78
1.1000	0.0075664	351.63
1.1250	0.0075199	349.31
1.1500	0.0076034	353.59
1.1750	0.0077729	362.01
1.2000	0.0079395	370.45
1.2000	0.0079395	370.45
1.2050	0.0079636	371.68
1.2100	0.0079843	372.73
1.2150	0.0080005	373.54
1.2200	0.0080104	374.01
1.2250	0.0080175	374.32
1.2300	0.0080152	374.14
1.2350	0.0080106	373.83
1.2400	0.0079973	373.07
1.2450	0.0079802	372.12
1.2500	0.0079573	370.90
1.2550	0.0079361	369.70
1.2600	0.0079230	368.75
1.2650	0.0079306	368.55
1.2700	0.0079785	369.88
1.2750	0.0080768	373.24
1.2800	0.0082289	378.89
1.2850	0.0084405	387.16
1.2900	0.0087157	398.35
1.2950	0.0090587	412.75
1.3000	0.0094880	431.47
1.3050	0.0099849	453.73
1.3100	0.010547	479.50
1.3150	0.011169	508.62
1.3200	0.011853	541.20
1.3250	0.012589	576.75
1.3300	0.013368	614.83
1.3350	0.014183	654.91
1.3400	0.015021	696.27
1.3450	0.015869	738.13
1.3500	0.016716	779.87
1.3550	0.017547	820.85
1.3600	0.018352	860.46
1.3650	0.019116	898.09
1.3700	0.019828	933.12
1.3750	0.020477	964.97
