Time (s)	Displacement magnitude (m)	von Mises stress (N/m^2)
0.0000	4.0760E-16	3.2869E-11
0.025000	2.2317E-5	0.86908
0.050000	1.4708E-4	6.1310
0.075000	4.0435E-4	18.130
0.10000	7.5308E-4	35.062
0.12500	0.0011152	52.535
0.15000	0.0013997	65.962
0.17500	0.0015573	73.142
0.20000	0.0016065	74.947
0.22500	0.0016226	75.108
0.25000	0.0017055	78.806
0.27500	0.0019206	88.934
0.30000	0.0022558	104.71
0.32500	0.0026265	122.48
0.35000	0.0029376	137.67
0.37500	0.0031310	146.73
0.40000	0.0032078	149.57
0.42500	0.0032259	149.87
0.45000	0.0032800	152.26
0.47500	0.0034540	160.22
0.50000	0.0037582	174.55
0.52500	0.0041278	192.46
0.55000	0.0044688	208.78
0.57500	0.0047022	219.67
0.60000	0.0048029	224.24
0.62500	0.0048266	224.84
0.65000	0.0048667	225.99
0.67500	0.0050021	232.14
0.70000	0.0052666	244.93
0.72500	0.0056261	262.09
0.75000	0.0059885	279.32
0.77500	0.0062573	292.20
0.80000	0.0063949	298.50
0.82500	0.0064322	299.64
0.85000	0.0064550	300.17
0.87500	0.0065564	304.73
0.90000	0.0067874	315.48
0.92500	0.0071280	331.68
0.95000	0.0074952	349.59
0.97500	0.0077977	364.07
1.0000	0.0079778	372.10
1.0250	0.0080163	373.71
1.0500	0.0079057	368.86
1.0750	0.0077193	359.73
1.1000	0.0075652	351.61
1.1250	0.0075193	349.32
1.1500	0.0076026	353.60
1.1750	0.0077717	362.01
1.2000	0.0079379	370.41
1.2000	0.0079379	370.41
1.2050	0.0079619	371.64
1.2100	0.0079825	372.68
1.2150	0.0079986	373.49
1.2200	0.0080085	373.95
1.2250	0.0080154	374.26
1.2300	0.0080130	374.07
1.2350	0.0080083	373.75
1.2400	0.0079949	372.99
1.2450	0.0079777	372.05
1.2500	0.0079547	370.82
1.2550	0.0079335	369.62
1.2600	0.0079204	368.68
1.2650	0.0079280	368.48
1.2700	0.0079759	369.81
1.2750	0.0080743	373.18
1.2800	0.0082266	378.84
1.2850	0.0084383	387.11
1.2900	0.0087137	398.30
1.2950	0.0090569	412.71
1.3000	0.0094864	431.44
1.3050	0.0099834	453.71
1.3100	0.010546	479.50
1.3150	0.011168	508.62
1.3200	0.011852	541.21
1.3250	0.012588	576.77
1.3300	0.013367	614.85
1.3350	0.014182	654.94
1.3400	0.015020	696.30
1.3450	0.015868	738.16
1.3500	0.016714	779.90
1.3550	0.017546	820.87
1.3600	0.018350	860.48
1.3650	0.019114	898.10
1.3700	0.019826	933.13
1.3750	0.020474	964.96
1.3800	0.021046	993.02
1.3850	0.021532	1016.8
1.3900	0.021924	1035.9
1.3950	0.022202	1049.4
1.4000	0.022376	1057.8
1.4050	0.022437	1060.6
1.4100	0.022382	1057.9
1.4150	0.022214	1049.6
1.4200	0.021932	1035.8
1.4250	0.021543	1016.6
1.4300	0.021049	992.37
1.4350	0.020460	963.40
1.4400	0.019784	930.15
1.4450	0.019032	893.15
1.4500	0.018215	853.00
1.4550	0.017348	810.42
1.4600	0.016442	766.17
1.4650	0.015514	721.04
1.4700	0.014579	675.79
1.4750	0.013651	631.18
1.4800	0.012745	587.88
1.4850	0.011875	546.51
1.4900	0.011052	507.59
1.4950	0.010287	471.56
1.5000	0.0095876	438.76
1.5050	0.0089609	409.43
1.5100	0.0084105	383.75
1.5150	0.0079383	361.76
1.5200	0.0075440	343.45
1.5250	0.0072252	328.69
1.5300	0.0069773	317.32
1.5350	0.0067940	309.06
1.5400	0.0066665	303.54
1.5450	0.0065872	300.43
1.5500	0.0065441	299.19
1.5550	0.0065268	299.35
1.5600	0.0065241	300.44
1.5650	0.0065248	301.99
1.5700	0.0065163	303.45
1.5750	0.0064879	304.27
1.5800	0.0064298	303.91
1.5850	0.0063331	301.82
1.5900	0.0061899	297.47
1.5950	0.0059938	290.38
1.6000	0.0057398	280.15
1.6050	0.0054220	266.36
1.6100	0.0050361	248.72
1.6150	0.0045861	227.47
1.6200	0.0040732	202.71
1.6250	0.0035002	174.65
1.6300	0.0028712	143.57
1.6350	0.0021917	109.84
1.6400	0.0014687	73.931
1.6450	7.1101E-4	36.629
1.6500	1.2401E-4	9.0771
1.6550	8.9171E-4	44.069
1.6600	0.0016950	83.254
1.6650	0.0024886	121.84
1.6700	0.0032561	158.94
1.6750	0.0039850	193.99
1.6800	0.0046598	226.33
1.6850	0.0052631	255.22
1.6900	0.0057877	280.42
1.6950	0.0062218	301.43
1.7000	0.0065467	317.38
1.7050	0.0067646	328.38
1.7100	0.0068706	334.15
1.7150	0.0068492	333.85
1.7200	0.0067116	327.90
1.7250	0.0064604	316.31
1.7300	0.0060902	298.70
1.7350	0.0056137	275.65
1.7400	0.0050408	247.67
1.7450	0.0043743	214.95
1.7500	0.0036262	178.19
1.7550	0.0028108	138.19
1.7600	0.0019372	95.511
1.7650	0.0010187	50.992
1.7700	1.3995E-4	11.945
1.7750	8.9951E-4	44.248
1.7800	0.0018652	90.008
1.7850	0.0028187	135.64
1.7900	0.0037474	180.04
1.7950	0.0046335	222.34
1.8000	0.0054698	262.22
1.8050	0.0062478	299.31
1.8100	0.0069538	332.98
1.8150	0.0075867	363.18
1.8200	0.0081454	389.85
1.8250	0.0086235	412.66
1.8300	0.0090238	431.66
1.8350	0.0093522	447.07
1.8400	0.0096095	458.84
1.8450	0.0098008	467.10
1.8500	0.0099371	472.35
1.8550	0.010022	474.78
1.8600	0.010051	474.34
1.8650	0.010025	471.34
1.8700	0.0099430	465.92
1.8750	0.0098010	458.04
1.8800	0.0096081	448.19
1.8850	0.0093684	436.60
1.8900	0.0090842	423.36
1.8950	0.0087662	408.87
1.9000	0.0084229	393.36
1.9000	0.0084229	393.36
1.9250	0.0066549	310.61
1.9500	0.0055905	254.63
1.9750	0.0057430	259.77
2.0000	0.0069817	323.13
2.0250	0.0086132	404.96
2.0500	0.0097899	463.36
2.0750	0.0098927	468.33
2.1000	0.0088142	413.80
2.1250	0.0071254	328.70
2.1500	0.0057770	263.24
2.1750	0.0055437	254.85
2.2000	0.0065709	301.58
