Time (s)	Displacement magnitude (m)	von Mises stress (N/m^2)
0.0000	6.1236E-16	7.2752E-9
0.025000	2.7629E-5	29.385
0.050000	2.0734E-4	145.44
0.075000	6.7625E-4	362.07
0.10000	0.0014237	653.31
0.12500	0.0022251	952.85
0.15000	0.0027915	1192.1
0.17500	0.0030535	1338.6
0.20000	0.0030874	1388.8
0.22500	0.0030670	1403.2
0.25000	0.0032206	1488.4
0.27500	0.0036362	1686.5
0.30000	0.0042828	1958.2
0.32500	0.0050540	2254.4
0.35000	0.0057518	2524.3
0.37500	0.0061307	2699.0
0.40000	0.0061813	2771.4
0.42500	0.0061491	2791.9
0.45000	0.0062327	2843.0
0.47500	0.0065735	3004.9
0.50000	0.0071858	3268.7
0.52500	0.0079467	3566.7
0.55000	0.0086456	3842.8
0.57500	0.0091248	4046.1
0.60000	0.0093008	4152.0
0.62500	0.0092739	4184.4
0.65000	0.0092740	4212.4
0.67500	0.0095118	4332.3
0.70000	0.010084	4574.1
0.72500	0.010833	4878.0
0.75000	0.011557	5162.0
0.77500	0.012097	5383.7
0.80000	0.012361	5522.6
0.82500	0.012382	5567.3
0.85000	0.012360	5595.5
0.87500	0.012522	5679.4
0.90000	0.012960	5877.0
0.92500	0.013667	6176.2
0.95000	0.014477	6482.8
0.97500	0.015087	6722.2
1.0000	0.015385	6876.5
1.0250	0.015437	6921.1
1.0500	0.015254	6833.8
1.0750	0.014878	6678.4
1.1000	0.014483	6546.1
1.1250	0.014318	6523.2
1.1500	0.014531	6596.7
1.1750	0.014976	6717.2
1.2000	0.015356	6841.9
1.2000	0.015356	6841.9
1.2050	0.015406	6864.1
1.2100	0.015447	6884.3
1.2150	0.015476	6901.8
1.2200	0.015488	6914.0
1.2250	0.015493	6923.8
1.2300	0.015475	6924.3
1.2350	0.015452	6922.3
1.2400	0.015410	6910.8
1.2450	0.015362	6895.3
1.2500	0.015303	6873.7
1.2550	0.015244	6858.7
1.2600	0.015194	6859.5
1.2650	0.015170	6894.0
1.2700	0.015197	6975.3
1.2750	0.015293	7100.5
1.2800	0.015468	7270.0
1.2850	0.015735	7486.4
1.2900	0.016106	7750.9
1.2950	0.016596	8065.3
1.3000	0.017255	8442.7
1.3050	0.018062	8869.9
1.3100	0.019025	9345.7
1.3150	0.020144	9867.2
1.3200	0.021436	10435
1.3250	0.022893	11043
1.3300	0.024502	11685
1.3350	0.026247	12355
1.3400	0.028098	13045
1.3450	0.030012	13741
1.3500	0.031951	14432
