Time (s)	Displacement magnitude (m)	von Mises stress (N/m^2)
0.0000	6.1236E-16	7.2752E-9
0.025000	2.7629E-5	29.386
0.050000	2.0739E-4	145.45
0.075000	6.7645E-4	362.10
0.10000	0.0014243	653.54
0.12500	0.0022265	953.32
0.15000	0.0027938	1192.7
0.17500	0.0030560	1339.4
0.20000	0.0030899	1389.8
0.22500	0.0030696	1404.1
0.25000	0.0032231	1489.0
0.27500	0.0036384	1687.0
0.30000	0.0042851	1959.2
0.32500	0.0050569	2255.1
0.35000	0.0057554	2525.5
0.37500	0.0061354	2700.6
0.40000	0.0061868	2773.2
0.42500	0.0061548	2793.9
0.45000	0.0062376	2844.6
0.47500	0.0065778	3005.7
0.50000	0.0071893	3270.2
0.52500	0.0079511	3568.4
0.55000	0.0086513	3844.3
0.57500	0.0091316	4048.0
0.60000	0.0093089	4154.5
0.62500	0.0092819	4187.5
0.65000	0.0092824	4215.1
0.67500	0.0095185	4334.0
0.70000	0.010089	4575.3
0.72500	0.010838	4880.4
0.75000	0.011564	5164.7
0.77500	0.012106	5386.0
0.80000	0.012372	5525.3
0.82500	0.012392	5571.3
0.85000	0.012371	5599.2
0.87500	0.012532	5682.9
0.90000	0.012968	5878.5
0.92500	0.013674	6177.7
0.95000	0.014483	6486.5
0.97500	0.015098	6725.7
1.0000	0.015399	6879.7
1.0250	0.015450	6925.2
1.0500	0.015266	6838.5
1.0750	0.014890	6683.0
1.1000	0.014494	6548.7
1.1250	0.014326	6524.6
1.1500	0.014537	6598.9
1.1750	0.014984	6721.1
1.2000	0.015369	6845.4
1.2000	0.015369	6845.4
1.2050	0.015420	6867.4
1.2100	0.015461	6887.5
1.2150	0.015490	6904.9
1.2200	0.015503	6917.2
1.2250	0.015508	6927.1
1.2300	0.015491	6927.8
1.2350	0.015468	6926.0
1.2400	0.015426	6914.9
1.2450	0.015376	6899.7
1.2500	0.015317	6878.5
1.2550	0.015257	6863.8
1.2600	0.015207	6864.8
1.2650	0.015181	6899.4
1.2700	0.015208	6980.6
1.2750	0.015304	7105.6
1.2800	0.015479	7274.9
1.2850	0.015746	7490.8
1.2900	0.016117	7755.0
1.2950	0.016607	8069.0
1.3000	0.017267	8446.1
1.3050	0.018074	8873.1
1.3100	0.019037	9348.7
1.3150	0.020156	9870.1
1.3200	0.021449	10438
1.3250	0.022906	11046
1.3300	0.024515	11687
1.3350	0.026261	12358
1.3400	0.028112	13048
1.3450	0.030026	13745
1.3500	0.031966	14436
1.3550	0.033899	15112
1.3600	0.035791	15763
1.3650	0.037604	16378
1.3700	0.039297	16950
1.3750	0.040828	17467
1.3800	0.042159	17922
1.3850	0.043255	18309
1.3900	0.044094	18622
1.3950	0.044642	18851
1.4000	0.044941	19002
1.4050	0.044994	19069
1.4100	0.044810	19048
1.4150	0.044388	18939
1.4200	0.043721	18738
1.4250	0.042815	18442
1.4300	0.041681	18053
1.4350	0.040342	17574
1.4400	0.038823	17010
1.4450	0.037151	16372
1.4500	0.035354	15672
1.4550	0.033466	14921
1.4600	0.031523	14138
1.4650	0.029566	13339
1.4700	0.027626	12540
1.4750	0.025731	11757
1.4800	0.023909	11003
1.4850	0.022185	10291
1.4900	0.020570	9629.1
1.4950	0.019079	9022.9
1.5000	0.017720	8476.6
1.5050	0.016499	7992.9
1.5100	0.015417	7571.2
1.5150	0.014477	7206.8
