Time (s)	Displacement magnitude (m)	von Mises stress (N/m^2)
0.0000	6.1236E-16	7.2752E-9
0.025000	2.7637E-5	29.392
0.050000	2.0781E-4	145.53
0.075000	6.8012E-4	362.52
0.10000	0.0014370	656.23
0.12500	0.0022539	961.39
0.15000	0.0028357	1205.1
0.17500	0.0031066	1352.1
0.20000	0.0031374	1405.3
0.22500	0.0031172	1420.0
0.25000	0.0032702	1497.2
0.27500	0.0036836	1695.8
0.30000	0.0043308	1976.8
0.32500	0.0051158	2269.8
0.35000	0.0058301	2541.6
0.37500	0.0062224	2726.0
0.40000	0.0062920	2804.7
0.42500	0.0062634	2825.2
0.45000	0.0063281	2873.5
0.47500	0.0066602	3018.8
0.50000	0.0072683	3285.2
0.52500	0.0080372	3603.5
0.55000	0.0087619	3876.1
0.57500	0.0092679	4073.7
0.60000	0.0094528	4191.7
0.62500	0.0094284	4239.9
0.65000	0.0094399	4263.3
0.67500	0.0096579	4365.7
0.70000	0.010192	4593.7
0.72500	0.010947	4907.6
0.75000	0.011702	5211.9
0.77500	0.012286	5441.6
0.80000	0.012575	5563.9
0.82500	0.012584	5622.0
0.85000	0.012552	5666.2
0.87500	0.012724	5743.1
0.90000	0.013150	5914.0
0.92500	0.013819	6199.5
0.95000	0.014618	6529.5
0.97500	0.015290	6794.3
1.0000	0.015659	6947.9
1.0250	0.015723	6984.8
1.0500	0.015499	6904.0
1.0750	0.015086	6755.7
1.1000	0.014699	6613.5
1.1250	0.014524	6551.9
1.1500	0.014681	6624.2
1.1750	0.015114	6772.7
1.2000	0.015578	6915.2
1.2000	0.015578	6915.2
1.2050	0.015648	6937.7
1.2100	0.015707	6957.7
1.2150	0.015753	6974.6
1.2200	0.015780	6986.2
1.2250	0.015798	6995.3
1.2300	0.015788	6995.6
1.2350	0.015772	6993.6
1.2400	0.015731	6983.0
1.2450	0.015680	6968.6
1.2500	0.015613	6948.5
1.2550	0.015542	6934.9
1.2600	0.015477	6936.6
1.2650	0.015434	6971.0
1.2700	0.015443	7052.5
1.2750	0.015522	7176.4
1.2800	0.015680	7344.1
1.2850	0.015933	7557.8
1.2900	0.016294	7819.3
1.2950	0.016787	8133.3
1.3000	0.017448	8507.3
1.3050	0.018261	8931.1
1.3100	0.019228	9402.5
1.3150	0.020369	9924.5
1.3200	0.021678	10492
1.3250	0.023150	11098
1.3300	0.024773	11739
1.3350	0.026531	12409
1.3400	0.028406	13101
1.3450	0.030349	13801
1.3500	0.032324	14499
1.3550	0.034292	15185
1.3600	0.036216	15849
1.3650	0.038054	16480
1.3700	0.039769	17068
1.3750	0.041322	17605
1.3800	0.042675	18080
1.3850	0.043795	18485
1.3900	0.044653	18812
1.3950	0.045231	19052
1.4000	0.045556	19207
1.4050	0.045637	19273
1.4100	0.045477	19249
1.4150	0.045071	19134
1.4200	0.044416	18927
1.4250	0.043517	18628
1.4300	0.042391	18239
1.4350	0.041063	17764
1.4400	0.039554	17210
1.4450	0.037874	16579
1.4500	0.036060	15888
1.4550	0.034148	15147
1.4600	0.032179	14369
1.4650	0.030189	13568
1.4700	0.028209	12756
1.4750	0.026270	11949
1.4800	0.024401	11165
1.4850	0.022626	10419
1.4900	0.020959	9724.0
1.4950	0.019415	9084.1
1.5000	0.018000	8503.4
1.5050	0.016722	7986.7
1.5100	0.015586	7538.7
1.5150	0.014594	7160.6
1.5200	0.013749	6848.3
1.5250	0.013050	6592.1
1.5300	0.012493	6378.3
1.5350	0.012077	6194.0
1.5400	0.011797	6030.6
1.5450	0.011643	5884.9
1.5500	0.011606	5756.9
1.5550	0.011670	5647.6
1.5600	0.011817	5557.8
1.5650	0.012030	5485.4
1.5700	0.012283	5422.0
1.5750	0.012549	5356.4
1.5800	0.012791	5281.3
