Time (s)	Displacement magnitude (m)	von Mises stress (N/m^2)
0.0000	6.1236E-16	7.2752E-9
0.025000	2.7640E-5	29.391
0.050000	2.0765E-4	145.53
0.075000	6.7960E-4	362.51
0.10000	0.0014368	656.57
0.12500	0.0022487	960.84
0.15000	0.0028315	1205.2
0.17500	0.0031038	1353.4
0.20000	0.0031354	1406.1
0.22500	0.0031135	1419.8
0.25000	0.0032677	1498.6
0.27500	0.0036828	1696.6
0.30000	0.0043268	1977.9
0.32500	0.0051104	2270.8
0.35000	0.0058306	2542.9
0.37500	0.0062175	2727.3
0.40000	0.0062830	2805.7
0.42500	0.0062575	2826.1
0.45000	0.0063266	2875.4
0.47500	0.0066531	3019.1
0.50000	0.0072565	3284.4
0.52500	0.0080289	3605.7
0.55000	0.0087539	3878.2
0.57500	0.0092568	4073.7
0.60000	0.0094402	4190.5
0.62500	0.0094164	4241.8
0.65000	0.0094272	4264.6
0.67500	0.0096475	4365.1
0.70000	0.010183	4594.1
0.72500	0.010932	4908.1
0.75000	0.011685	5211.9
0.77500	0.012273	5444.4
0.80000	0.012568	5566.1
0.82500	0.012572	5621.3
0.85000	0.012534	5667.5
0.87500	0.012709	5746.3
0.90000	0.013143	5917.8
0.92500	0.013809	6199.8
0.95000	0.014600	6531.0
0.97500	0.015273	6797.4
1.0000	0.015648	6952.0
1.0250	0.015710	6986.5
1.0500	0.015481	6904.1
1.0750	0.015066	6755.3
1.1000	0.014680	6616.8
1.1250	0.014508	6553.5
1.1500	0.014670	6623.4
1.1750	0.015099	6774.5
1.2000	0.015552	6917.5
1.2000	0.015552	6917.5
1.2050	0.015625	6940.5
1.2100	0.015685	6960.2
1.2150	0.015730	6976.3
1.2200	0.015764	6989.4
1.2250	0.015775	6995.6
1.2300	0.015779	6999.5
1.2350	0.015754	6993.7
1.2400	0.015721	6985.1
1.2450	0.015667	6969.4
1.2500	0.015604	6953.9
1.2550	0.015534	6938.7
1.2600	0.015474	6946.1
1.2650	0.015436	6981.6
1.2700	0.015440	7057.8
1.2750	0.015506	7177.4
1.2800	0.015669	7347.5
1.2850	0.015928	7563.9
1.2900	0.016297	7828.1
1.2950	0.016790	8140.7
1.3000	0.017418	8502.7
1.3050	0.018236	8928.5
1.3100	0.019209	9402.2
1.3150	0.020354	9925.7
1.3200	0.021666	10494
1.3250	0.023139	11103
1.3300	0.024759	11745
