Time (s)	Displacement magnitude (m)	von Mises stress (N/m^2)
0.0000	4.0759E-16	8.7235E-11
0.025000	2.1556E-5	1.8486
0.050000	1.3648E-4	12.322
0.075000	3.4342E-4	32.478
0.10000	5.7484E-4	55.309
0.12500	7.4247E-4	71.346
0.15000	8.0879E-4	77.285
0.17500	8.2057E-4	77.900
0.20000	8.7401E-4	82.651
0.22500	0.0010326	97.978
0.25000	0.0012659	120.58
0.27500	0.0014784	141.33
0.30000	0.0015983	152.94
0.32500	0.0016304	155.27
0.35000	0.0016498	156.55
0.37500	0.0017474	165.99
0.40000	0.0019477	185.29
0.42500	0.0021843	208.24
0.45000	0.0023608	225.61
0.47500	0.0024356	232.41
0.50000	0.0024505	233.06
0.52500	0.0024958	237.15
0.55000	0.0026415	251.19
0.57500	0.0028701	273.37
0.60000	0.0030912	294.90
0.62500	0.0032222	307.47
0.65000	0.0032587	310.63
0.67500	0.0032770	311.63
0.70000	0.0033651	319.78
0.72500	0.0035520	338.16
0.75000	0.0037897	361.34
0.77500	0.0039805	379.55
0.80000	0.0040636	387.48
0.82500	0.0040776	388.38
0.85000	0.0041184	391.63
0.87500	0.0042546	404.59
0.90000	0.0044744	426.21
0.92500	0.0046993	448.19
0.95000	0.0048459	462.05
0.97500	0.0048912	465.99
1.0000	0.0049020	466.65
1.0250	0.0049575	471.83
1.0500	0.0050262	479.01
1.0750	0.0050536	481.90
1.1000	0.0050188	478.13
1.1250	0.0049481	471.07
1.1500	0.0049003	466.39
1.1750	0.0049192	468.29
1.2000	0.0049895	475.28
1.2000	0.0049895	475.28
1.2050	0.0050049	476.79
1.2100	0.0050184	478.12
1.2150	0.0050307	479.33
1.2200	0.0050411	480.34
1.2250	0.0050482	481.05
1.2300	0.0050535	481.59
1.2350	0.0050553	481.79
1.2400	0.0050542	481.74
1.2450	0.0050513	481.51
1.2500	0.0050445	480.90
1.2550	0.0050405	480.49
1.2600	0.0050470	480.85
1.2650	0.0050788	483.22
1.2700	0.0051470	488.57
1.2750	0.0052603	497.81
1.2800	0.0054251	511.73
1.2850	0.0056457	530.93
1.2900	0.0059241	555.85
1.2950	0.0062600	586.69
1.3000	0.0066511	623.38
1.3050	0.0070932	665.61
1.3100	0.0075798	712.86
1.3150	0.0081035	764.44
1.3200	0.0086543	819.31
1.3250	0.0092208	876.11
1.3300	0.0097913	933.41
1.3350	0.010354	989.76
1.3400	0.010895	1043.8
1.3450	0.011405	1094.3
1.3500	0.011869	1140.2
1.3550	0.012279	1180.3
1.3600	0.012625	1213.8
1.3650	0.012899	1240.1
1.3700	0.013095	1258.5
1.3750	0.013210	1268.9
1.3800	0.013242	1271.2
1.3850	0.013193	1265.6
1.3900	0.013067	1252.5
1.3950	0.012869	1232.6
1.4000	0.012607	1206.5
1.4050	0.012291	1175.1
1.4100	0.011933	1139.7
