Time (s)	Displacement magnitude (m)	von Mises stress (N/m^2)
0.0000	6.1237E-16	4.4246E-8
0.025000	2.7704E-5	119.12
0.050000	2.1008E-4	532.91
0.075000	6.1457E-4	1183.0
0.10000	0.0011126	1883.0
0.12500	0.0014398	2400.5
0.15000	0.0015150	2674.4
0.17500	0.0015149	2803.6
0.20000	0.0016042	3009.5
0.22500	0.0019016	3501.9
0.25000	0.0023616	4236.9
0.27500	0.0028001	4912.2
0.30000	0.0030362	5290.0
0.32500	0.0030421	5456.6
0.35000	0.0030406	5592.3
0.37500	0.0032445	5949.7
0.40000	0.0036217	6572.4
0.42500	0.0040924	7268.5
0.45000	0.0044613	7845.6
0.47500	0.0045832	8150.2
0.50000	0.0045559	8247.4
0.52500	0.0046198	8427.8
0.55000	0.0049176	8939.5
0.57500	0.0053675	9628.5
0.60000	0.0057953	10316
0.62500	0.0060659	10735
0.65000	0.0061127	10914
0.67500	0.0060829	11065
0.70000	0.0062397	11380
0.72500	0.0066320	11931
0.75000	0.0071104	12686
0.77500	0.0074610	13305
0.80000	0.0076181	13575
0.82500	0.0076327	13700
0.85000	0.0076537	13890
0.87500	0.0078981	14349
0.90000	0.0083729	15032
0.92500	0.0088244	15697
0.95000	0.0090820	16180
0.97500	0.0091481	16416
1.0000	0.0091481	16501
1.0250	0.0092403	16647
1.0500	0.0094017	16841
1.0750	0.0094911	16913
1.1000	0.0093931	16810
1.1250	0.0092123	16644
1.1500	0.0091462	16481
1.1750	0.0091860	16543
1.2000	0.0093167	16750
1.2000	0.0093167	16750
1.2050	0.0093479	16791
1.2100	0.0093772	16826
1.2150	0.0094045	16856
1.2200	0.0094286	16880
1.2250	0.0094472	16897
1.2300	0.0094625	16909
1.2350	0.0094712	16912
1.2400	0.0094739	16908
1.2450	0.0094727	16900
1.2500	0.0094620	16882
1.2550	0.0094523	16896
1.2600	0.0094507	17000
1.2650	0.0094758	17263
1.2700	0.0095442	17682
1.2750	0.0096724	18255
1.2800	0.0098771	18984
1.2850	0.010176	19861
1.2900	0.010585	20880
1.2950	0.011121	22036
1.3000	0.011791	23321
1.3050	0.012594	24728
1.3100	0.013524	26244
1.3150	0.014567	27851
1.3200	0.015705	29528
1.3250	0.016910	31245
1.3300	0.018158	32961
1.3350	0.019416	34623
1.3400	0.020649	36193
1.3450	0.021818	37645
1.3500	0.022880	38957
1.3550	0.023794	40106
1.3600	0.024527	41071
1.3650	0.025056	41838
1.3700	0.025375	42398
1.3750	0.025490	42751
1.3800	0.025421	42897
1.3850	0.025192	42839
1.3900	0.024824	42580
1.3950	0.024336	42129
1.4000	0.023747	41500
1.4050	0.023077	40714
1.4100	0.022345	39791
1.4150	0.021568	38757
1.4200	0.020763	37636
1.4250	0.019947	36462
1.4300	0.019142	35277
1.4350	0.018376	34118
1.4400	0.017671	33019
1.4450	0.017047	32013
1.4500	0.016513	31120
1.4550	0.016078	30355
1.4600	0.015750	29725
1.4650	0.015529	29230
1.4700	0.015414	28867
1.4750	0.015397	28635
1.4800	0.015466	28537
1.4850	0.015601	28573
1.4900	0.015778	28697
1.4950	0.015973	28831
1.5000	0.016161	28895
1.5050	0.016318	28834
1.5100	0.016421	28620
1.5150	0.016447	28238
1.5200	0.016374	27681
1.5250	0.016179	26950
1.5300	0.015842	26052
1.5350	0.015347	24990
1.5400	0.014683	23760
1.5450	0.013849	22364
1.5500	0.012847	20806
1.5550	0.011693	19099
1.5600	0.010407	17265
1.5650	0.0090242	15329
1.5700	0.0075850	13323
1.5750	0.0061355	11283
1.5800	0.0047622	9240.8
1.5850	0.0034888	7232.3
1.5900	0.0022877	5289.9
1.5950	0.0012057	3461.0
1.6000	5.2687E-4	1795.3
1.6050	9.2655E-4	792.35
1.6100	0.0017163	1033.7
1.6150	0.0023666	2051.7
1.6200	0.0028692	2876.9
1.6250	0.0032227	3505.4
1.6300	0.0034573	3951.4
1.6350	0.0035630	4220.9
1.6400	0.0035238	4312.5
1.6450	0.0033521	4268.0
1.6500	0.0030539	4102.2
1.6550	0.0026516	3832.1
