Time (s)	Displacement magnitude (m)	von Mises stress (N/m^2)
0.0000	4.0759E-16	3.9321E-10
0.025000	2.0064E-5	5.8969
0.050000	1.0670E-4	32.151
0.075000	2.1578E-4	66.336
0.10000	2.7335E-4	83.801
0.12500	2.8626E-4	87.017
0.15000	3.2853E-4	99.928
0.17500	4.2905E-4	130.91
0.20000	5.2704E-4	161.27
0.22500	5.6494E-4	172.57
0.25000	5.7665E-4	175.54
0.27500	6.4094E-4	195.32
0.30000	7.5358E-4	230.10
0.32500	8.3109E-4	254.10
0.35000	8.4845E-4	258.82
0.37500	8.7462E-4	266.39
0.40000	9.6408E-4	294.14
0.42500	0.0010711	327.10
0.45000	0.0011243	343.41
0.47500	0.0011373	346.88
0.50000	0.0011834	360.52
0.52500	0.0012862	392.67
0.55000	0.0013831	422.52
0.57500	0.0014145	431.58
0.60000	0.0014274	435.33
0.62500	0.0014994	457.19
0.65000	0.0016113	491.86
0.67500	0.0016827	513.97
0.70000	0.0016983	518.10
0.72500	0.0017298	527.32
0.75000	0.0018217	555.83
0.77500	0.0019257	588.01
0.80000	0.0019765	603.35
0.82500	0.0019911	607.32
0.85000	0.0020373	621.31
0.87500	0.0021396	652.90
0.90000	0.0022348	682.33
0.92500	0.0022708	693.12
0.95000	0.0022858	697.10
0.97500	0.0023497	716.66
1.0000	0.0024588	750.50
1.0250	0.0025183	769.08
1.0500	0.0024559	749.81
1.0750	0.0023701	722.41
1.1000	0.0023919	729.16
1.1250	0.0024853	759.07
1.1500	0.0025100	766.68
1.1750	0.0024272	740.42
1.2000	0.0023626	720.10
1.2000	0.0023626	720.10
1.2050	0.0023651	720.90
1.2100	0.0023704	722.60
1.2150	0.0023834	726.71
1.2200	0.0023978	731.26
1.2250	0.0024174	737.47
1.2300	0.0024372	743.72
1.2350	0.0024579	750.22
1.2400	0.0024780	756.56
1.2450	0.0024935	761.43
1.2500	0.0025089	766.27
1.2550	0.0025221	770.28
1.2600	0.0025441	776.69
1.2650	0.0025839	788.17
1.2700	0.0026515	807.68
1.2750	0.0027528	837.09
1.2800	0.0028905	877.58
1.2850	0.0030649	929.53
1.2900	0.0032733	992.41
1.2950	0.0035106	1064.9
1.3000	0.0037697	1144.8
1.3050	0.0040417	1229.5
1.3100	0.0043167	1315.9
1.3150	0.0045845	1400.4
1.3200	0.0048349	1479.7
1.3250	0.0050585	1550.3
1.3300	0.0052475	1609.6
1.3350	0.0053964	1655.6
1.3400	0.0055020	1687.4
1.3450	0.0055635	1705.0
1.3500	0.0055834	1709.2
1.3550	0.0055661	1701.9
1.3600	0.0055183	1685.2
1.3650	0.0054487	1662.3
1.3700	0.0053668	1636.0
1.3750	0.0052826	1609.3
1.3800	0.0052053	1585.1
1.3850	0.0051435	1565.9
1.3900	0.0051038	1553.6
1.3950	0.0050908	1549.6
1.4000	0.0051061	1554.3
1.4050	0.0051489	1567.6
1.4100	0.0052156	1588.5
1.4150	0.0053002	1615.0
1.4200	0.0053950	1645.1
1.4250	0.0054912	1675.8
1.4300	0.0055793	1704.3
1.4350	0.0056497	1727.4
1.4400	0.0056937	1742.3
1.4450	0.0057038	1746.6
1.4500	0.0056739	1738.3
1.4550	0.0056003	1716.0
1.4600	0.0054817	1679.3
1.4650	0.0053196	1628.7
1.4700	0.0051184	1565.8
1.4750	0.0048850	1492.8
1.4800	0.0046286	1412.7
1.4850	0.0043596	1329.1
1.4900	0.0040892	1245.3
1.4950	0.0038282	1164.8
1.5000	0.0035870	1090.7
1.5050	0.0033740	1025.4
1.5100	0.0031954	970.87
1.5150	0.0030542	927.80
1.5200	0.0029503	896.13
1.5250	0.0028799	874.82
1.5300	0.0028361	861.98
1.5350	0.0028099	854.95
1.5400	0.0027910	850.59
1.5450	0.0027685	845.50
1.5500	0.0027321	836.34
1.5550	0.0026730	820.08
1.5600	0.0025838	794.29
1.5650	0.0024599	757.30
1.5700	0.0022990	708.36
1.5750	0.0021019	647.70
1.5800	0.0018718	576.38
1.5850	0.0016146	496.29
1.5900	0.0013380	409.98
1.5950	0.0010516	320.50
1.6000	7.6458E-4	230.96
1.6050	4.9026E-4	145.80
1.6100	2.3785E-4	68.836
1.6150	7.5107E-5	28.446
