Time (s)	Displacement magnitude (m)	von Mises stress (N/m^2)
0.0000	6.1237E-16	2.5019E-7
0.025000	2.7315E-5	361.00
0.050000	1.8119E-4	1386.8
0.075000	4.1921E-4	2581.9
0.10000	5.4604E-4	3319.4
0.12500	5.2386E-4	3630.4
0.15000	5.8653E-4	4186.1
0.17500	8.1367E-4	5334.4
0.20000	0.0010227	6465.4
0.22500	0.0010617	6990.2
0.25000	0.0010631	7250.2
0.27500	0.0011976	8103.1
0.30000	0.0014244	9304.2
0.32500	0.0015791	10237
0.35000	0.0016040	10598
0.37500	0.0016195	11002
0.40000	0.0017940	12025
0.42500	0.0020432	13260
0.45000	0.0021356	13922
0.47500	0.0021179	14216
0.50000	0.0021983	14851
0.52500	0.0024363	16006
0.55000	0.0026213	17089
0.57500	0.0026559	17606
0.60000	0.0026750	17862
0.62500	0.0028059	18751
0.65000	0.0030316	20001
0.67500	0.0031954	20841
0.70000	0.0031943	21187
0.72500	0.0032182	21653
0.75000	0.0034211	22706
0.77500	0.0036519	23878
0.80000	0.0037285	24565
0.82500	0.0037237	24839
0.85000	0.0038148	25476
0.87500	0.0040333	26653
0.90000	0.0042155	27700
0.92500	0.0042788	28241
0.95000	0.0042901	28570
0.97500	0.0043956	29340
1.0000	0.0046263	30554
1.0250	0.0047802	31166
1.0500	0.0046394	30523
1.0750	0.0044131	29712
1.1000	0.0044569	29934
1.1250	0.0047113	30823
1.1500	0.0047703	31042
1.1750	0.0045442	30289
1.2000	0.0043965	29628
1.2000	0.0043965	29628
1.2050	0.0044066	29645
1.2100	0.0044234	29692
1.2150	0.0044584	29819
1.2200	0.0044961	29960
1.2250	0.0045443	30158
1.2300	0.0045922	30356
1.2350	0.0046389	30564
1.2400	0.0046843	30768
1.2450	0.0047176	30923
1.2500	0.0047505	31081
1.2550	0.0047737	31321
1.2600	0.0048028	31845
1.2650	0.0048500	32721
1.2700	0.0049313	33968
1.2750	0.0050616	35562
1.2800	0.0052550	37481
1.2850	0.0055249	39695
1.2900	0.0058794	42169
1.2950	0.0063165	44857
1.3000	0.0068253	47701
1.3050	0.0073885	50630
1.3100	0.0079831	53572
1.3150	0.0085825	56442
1.3200	0.0091605	59147
1.3250	0.0096931	61590
1.3300	0.010159	63699
1.3350	0.010536	65423
1.3400	0.010805	66736
1.3450	0.010949	67636
1.3500	0.010974	68137
1.3550	0.010875	68259
1.3600	0.010664	68053
1.3650	0.010380	67608
1.3700	0.010074	67003
1.3750	0.0097873	66305
1.3800	0.0095395	65605
1.3850	0.0093479	65012
1.3900	0.0092255	64610
1.3950	0.0091823	64448
1.4000	0.0092249	64559
1.4050	0.0093536	64948
1.4100	0.0095649	65573
1.4150	0.0098408	66364
1.4200	0.010145	67244
1.4250	0.010456	68120
1.4300	0.010737	68876
1.4350	0.010961	69411
1.4400	0.011103	69671
1.4450	0.011144	69631
1.4500	0.011073	69244
1.4550	0.010888	68404
1.4600	0.010596	67004
1.4650	0.010206	65021
1.4700	0.0097359	62550
1.4750	0.0092066	59757
1.4800	0.0086438	56815
1.4850	0.0080726	53867
1.4900	0.0075148	51009
1.4950	0.0069927	48300
1.5000	0.0065258	45784
1.5050	0.0061320	43503
1.5100	0.0058186	41496
1.5150	0.0055868	39774
1.5200	0.0054284	38322
1.5250	0.0053274	37115
1.5300	0.0052703	36121
1.5350	0.0052401	35287
1.5400	0.0052232	34543
1.5450	0.0052071	33803
1.5500	0.0051778	32970
1.5550	0.0051162	31942
1.5600	0.0050037	30642
1.5650	0.0048228	29034
1.5700	0.0045634	27111
1.5750	0.0042184	24870
1.5800	0.0037910	22319
1.5850	0.0032933	19495
1.5900	0.0027409	16467
1.5950	0.0021507	13325
1.6000	0.0015397	10158
1.6050	9.2872E-4	7084.3
1.6100	3.7598E-4	4195.7
1.6150	2.4802E-4	1591.7
1.6200	6.9459E-4	1120.6
1.6250	0.0010414	2490.1
1.6300	0.0012671	3759.2
1.6350	0.0013508	4485.1
1.6400	0.0013083	4759.3
1.6450	0.0011495	4675.1
1.6500	9.2310E-4	4408.4
1.6550	6.9297E-4	4034.1
1.6600	5.2575E-4	3623.5
1.6650	4.3623E-4	3218.4
1.6700	4.4335E-4	2881.9
1.6750	4.7046E-4	2724.6
1.6800	5.1515E-4	2824.6
1.6850	5.5139E-4	3221.9
1.6900	5.7450E-4	3929.4
1.6950	6.0008E-4	4881.3
1.7000	6.6129E-4	6026.1
1.7050	9.3437E-4	7242.5
1.7100	0.0012957	8412.5
1.7150	0.0016514	9429.2
1.7200	0.0019635	10165
1.7250	0.0022022	10582
1.7300	0.0023374	10653
1.7350	0.0023509	10399
1.7400	0.0022353	9836.6
1.7450	0.0019893	8924.1
1.7500	0.0016364	7655.8
1.7550	0.0011887	5933.6
1.7600	7.1453E-4	3830.4
1.7650	3.1710E-4	1364.1
1.7700	3.9783E-4	1336.2
1.7750	9.2784E-4	4147.1
1.7800	0.0014168	6982.0
1.7850	0.0018475	9717.6
1.7900	0.0022081	12217
1.7950	0.0024942	14347
1.8000	0.0027184	16079
1.8050	0.0028848	17461
1.8100	0.0030002	18542
1.8150	0.0030693	19349
1.8200	0.0031067	19959
1.8250	0.0031244	20443
1.8300	0.0031370	20913
1.8350	0.0031717	21515
1.8400	0.0032379	22372
1.8450	0.0033364	23598
1.8500	0.0034835	25312
1.8550	0.0036867	27324
1.8600	0.0039676	29303
1.8650	0.0043251	31101
1.8700	0.0047366	32646
1.8750	0.0051532	33938
1.8800	0.0055387	34979
1.8850	0.0058721	35744
1.8900	0.0061186	36220
1.8950	0.0062602	36385
1.9000	0.0062877	36178
1.9000	0.0062877	36178
1.9250	0.0045657	29437
1.9500	0.0030910	24488
1.9750	0.0041232	28292
2.0000	0.0062455	36143
2.0250	0.0055443	34639
2.0500	0.0034952	25791
2.0750	0.0033430	25059
2.1000	0.0051177	32265
2.1250	0.0060181	36669
2.1500	0.0049126	31012
2.1750	0.0030792	24384
2.2000	0.0037200	27018
