"time_s","avg_displacement_mm","avg_vm_kpa"
"0","0","0"
"0.025","0.017844","0.006884"
"0.05","0.07856","0.031948"
"0.075","0.118127","0.047895"
"0.1","0.124553","0.050079"
"0.125","0.169533","0.068383"
"0.15","0.22763","0.092274"
"0.175","0.241772","0.097557"
"0.2","0.263781","0.10636"
"0.225","0.326562","0.132016"
"0.25","0.360243","0.145786"
"0.275","0.368242","0.148385"
"0.3","0.417593","0.168709"
"0.325","0.472782","0.191224"
"0.35","0.484176","0.195535"
"0.375","0.510283","0.205834"
"0.4","0.571656","0.231169"
"0.425","0.604758","0.244394"
"0.45","0.613481","0.247612"
"0.475","0.662753","0.2676"
"0.5","0.717297","0.290128"
"0.525","0.729539","0.294517"
"0.55","0.754308","0.304523"
"0.575","0.817456","0.330349"
"0.6","0.849375","0.343323"
"0.625","0.858666","0.346533"
"0.65","0.907596","0.366625"
"0.675","0.962231","0.388941"
"0.7","0.974108","0.393442"
"0.725","1.000439","0.403814"
"0.75","1.062009","0.429283"
"0.775","1.094187","0.442058"
"0.8","1.103106","0.445406"
"0.825","1.15327","0.465756"
"0.85","1.207469","0.488109"
"0.875","1.218962","0.492259"
"0.9","1.24502","0.502701"
"0.925","1.307449","0.528321"
"0.95","1.338618","0.540922"
"0.975","1.348667","0.544459"
"1","1.398155","0.56483"
"1.025","1.434366","0.579946"
"1.05","1.385642","0.559513"
"1.075","1.371644","0.553582"
"1.1","1.426868","0.576865"
"1.125","1.41652","0.572433"
"1.15","1.364414","0.550626"
"1.175","1.399029","0.56504"
"1.2","1.434573","0.580158"
"1.2","1.434573","0.580158"
"1.205","1.429696","0.578056"
"1.21","1.421145","0.574401"
"1.215","1.410481","0.569852"
"1.22","1.397566","0.56441"
"1.225","1.385443","0.559327"
"1.23","1.374526","0.554788"
"1.235","1.368004","0.552103"
"1.24","1.363903","0.55043"
"1.245","1.366118","0.551368"
"1.25","1.373885","0.5545"
"1.255","1.386547","0.559568"
"1.26","1.415142","0.570649"
"1.265","1.466248","0.59026"
"1.27","1.546088","0.621224"
"1.275","1.655935","0.66477"
"1.28","1.79088","0.719418"
"1.285","1.94441","0.782663"
"1.29","2.107789","0.8507"
"1.295","2.270997","0.918923"
"1.3","2.423847","0.982571"
"1.305","2.557146","1.037455"
"1.31","2.663772","1.080628"
"1.315","2.739527","1.110677"
"1.32","2.783697","1.127617"
"1.325","2.799219","1.13277"
"1.33","2.792751","1.128934"
"1.335","2.771904","1.119368"
"1.34","2.749554","1.109323"
"1.345","2.73552","1.102774"
"1.35","2.738233","1.103311"
"1.355","2.763723","1.113535"
"1.36","2.818109","1.135863"
"1.365","2.896493","1.168109"
"1.37","2.992914","1.207779"
"1.375","3.098604","1.251269"
"1.38","3.203011","1.294357"
"1.385","3.292993","1.331853"
"1.39","3.359313","1.359964"
"1.395","3.396342","1.376182"
"1.4","3.401142","1.378928"
"1.405","3.373839","1.367851"
"1.41","3.315226","1.343021"
"1.415","3.233111","1.307869"
"1.42","3.137082","1.26682"
"1.425","3.03666","1.224326"
"1.43","2.941705","1.184832"
"1.435","2.862671","1.152769"
"1.44","2.807226","1.131015"
"1.445","2.776963","1.119739"
"1.45","2.770872","1.11812"
"1.455","2.784284","1.124105"
"1.46","2.809576","1.134754"
"1.465","2.835361","1.14571"
"1.47","2.850224","1.152498"
"1.475","2.844613","1.151324"
"1.48","2.811231","1.139121"
"1.485","2.74516","1.113444"
"1.49","2.643779","1.072601"
"1.495","2.514984","1.019707"
"1.5","2.365776","0.9578"
"1.505","2.20501","0.890826"
"1.51","2.042403","0.823163"
"1.515","1.889597","0.760035"
"1.52","1.754431","0.704773"
"1.525","1.642761","0.659713"
"1.53","1.557814","0.625999"
"1.535","1.499729","0.603491"
"1.54","1.467515","0.591618"
"1.545","1.450854","0.586031"
"1.55","1.439961","0.582647"
"1.555","1.424299","0.577151"
"1.56","1.393734","0.56545"
"1.565","1.33716","0.543034"
"1.57","1.251368","0.508575"
"1.575","1.137268","0.462377"
"1.58","0.998399","0.405825"
"1.585","0.841227","0.341563"
"1.59","0.674574","0.273162"
"1.595","0.510361","0.205439"
"1.6","0.35837","0.142549"
"1.605","0.23125","0.090295"
"1.61","0.132119","0.051331"
"1.615","0.064544","0.028673"
"1.62","0.029632","0.017475"
"1.625","0.018317","0.010075"
"1.63","0.027973","0.011462"
"1.635","0.049046","0.02178"
"1.64","0.069757","0.031329"
"1.645","0.079706","0.035629"
"1.65","0.070363","0.031569"
"1.655","0.036513","0.017709"
"1.66","0.026942","0.011393"
"1.665","0.112287","0.04408"
"1.67","0.214883","0.08571"
"1.675","0.32373","0.130261"
"1.68","0.427029","0.173083"
"1.685","0.513705","0.209626"
"1.69","0.574716","0.235908"
"1.695","0.603893","0.248945"
"1.7","0.59504","0.245633"
"1.705","0.557474","0.229808"
"1.71","0.492603","0.202083"
"1.715","0.40722","0.165548"
"1.72","0.310084","0.124314"
"1.725","0.212127","0.08354"
"1.73","0.124598","0.048419"
"1.735","0.054834","0.022783"
"1.74","0.016726","0.012655"
"1.745","0.018323","0.010878"
"1.75","0.012463","0.00743"
"1.755","0.010673","0.005084"
"1.76","0.039185","0.016374"
"1.765","0.065269","0.027723"
"1.77","0.076263","0.033219"
"1.775","0.062817","0.028988"
"1.78","0.02683","0.016917"
"1.785","0.063127","0.026369"
"1.79","0.173089","0.067346"
"1.795","0.309815","0.122655"
"1.8","0.464639","0.186061"
"1.805","0.6275","0.253322"
"1.81","0.787258","0.319692"
"1.815","0.933924","0.380673"
"1.82","1.05951","0.432556"
"1.825","1.158827","0.472862"
"1.83","1.230132","0.500774"
"1.835","1.275355","0.517339"
"1.84","1.299947","0.525319"
"1.845","1.312345","0.528761"
"1.85","1.32376","0.532574"
"1.855","1.342176","0.540057"
"1.86","1.36677","0.55091"
"1.865","1.394767","0.563567"
"1.87","1.423118","0.576163"
"1.875","1.449392","0.587378"
"1.88","1.470084","0.595635"
"1.885","1.481935","0.599867"
"1.89","1.482657","0.599556"
"1.895","1.471713","0.594797"
"1.9","1.450571","0.586271"
"1.9","1.450571","0.586271"
"1.925","1.321106","0.532263"
"1.95","1.392101","0.562333"
"1.975","1.48104","0.600144"
"2","1.364736","0.54996"
"2.025","1.337332","0.539557"
