"time_s","max_displacement_mm","max_vm_kpa"
"0","0","0"
"0.025","0.025879","0.331158"
"0.05","0.137756","1.185022"
"0.075","0.205321","1.784013"
"0.1","0.211997","1.967067"
"0.125","0.289553","2.631919"
"0.15","0.39703","3.45481"
"0.175","0.413663","3.749076"
"0.2","0.451712","4.110829"
"0.225","0.562302","5.003259"
"0.25","0.62462","5.526116"
"0.275","0.627324","5.731763"
"0.3","0.719311","6.445544"
"0.325","0.815978","7.246943"
"0.35","0.83334","7.478604"
"0.375","0.872323","7.920606"
"0.4","0.988218","8.781177"
"0.425","1.040773","9.301745"
"0.45","1.05305","9.508818"
"0.475","1.138033","10.231905"
"0.5","1.239849","11.011228"
"0.525","1.251573","11.274218"
"0.55","1.296059","11.678044"
"0.575","1.407409","12.577965"
"0.6","1.465099","13.067209"
"0.625","1.471515","13.301912"
"0.65","1.56207","13.99879"
"0.675","1.658347","14.800246"
"0.7","1.675689","15.03797"
"0.725","1.715725","15.479765"
"0.75","1.831706","16.343164"
"0.775","1.882788","16.855428"
"0.8","1.895125","17.058438"
"0.825","1.981934","17.805759"
"0.85","2.082985","18.564253"
"0.875","2.094101","18.827979"
"0.9","2.139353","19.245808"
"0.925","2.250828","20.134174"
"0.95","2.306456","20.620624"
"0.975","2.31452","20.855632"
"1","2.406199","21.567442"
"1.025","2.474675","22.024871"
"1.05","2.381628","21.414177"
"1.075","2.351003","21.242856"
"1.1","2.462265","21.930854"
"1.125","2.440156","21.806192"
"1.15","2.339774","21.143648"
"1.175","2.404499","21.593269"
"1.2","2.478158","22.020133"
"1.2","2.478158","22.020133"
"1.205","2.467265","21.970597"
"1.21","2.44915","21.871468"
"1.215","2.426899","21.74362"
"1.22","2.401353","21.575512"
"1.225","2.377936","21.415937"
"1.23","2.357764","21.269372"
"1.235","2.346414","21.184909"
"1.24","2.339651","21.134063"
"1.245","2.344062","21.169237"
"1.25","2.357142","21.302777"
"1.255","2.377862","21.523024"
"1.26","2.42095","22.11408"
"1.265","2.49608","23.128751"
"1.27","2.616636","24.506351"
"1.275","2.792452","26.20833"
"1.28","3.022149","28.167553"
"1.285","3.29782","30.32056"
"1.29","3.603088","32.580207"
"1.295","3.916296","34.827602"
"1.3","4.21389","36.935386"
"1.305","4.47193","38.792575"
"1.31","4.668747","40.325869"
"1.315","4.790889","41.497828"
"1.32","4.839845","42.295308"
"1.325","4.832272","42.733757"
"1.33","4.793508","42.879939"
"1.335","4.746978","42.813752"
"1.34","4.708377","42.690657"
"1.345","4.684171","42.633634"
"1.35","4.683226","42.758019"
"1.355","4.7198","43.15453"
"1.36","4.812497","43.917272"
"1.365","4.951912","45.008921"
"1.37","5.12422","46.362771"
"1.375","5.31432","47.840946"
"1.38","5.5079","49.274727"
"1.385","5.685501","50.465481"
"1.39","5.825916","51.271407"
"1.395","5.912513","51.629797"
"1.4","5.933592","51.577258"
"1.405","5.884013","51.211699"
"1.41","5.761953","50.57431"
"1.415","5.58568","49.658544"
"1.42","5.381875","48.47006"
"1.425","5.178249","47.103094"
"1.43","4.999545","45.752343"
"1.435","4.867161","44.6328"
"1.44","4.789691","43.84288"
"1.445","4.758475","43.365824"
"1.45","4.762293","43.175655"
"1.455","4.789651","43.206058"
"1.46","4.829994","43.357638"
"1.465","4.872132","43.51204"
"1.47","4.905152","43.540742"
"1.475","4.915427","43.303614"
"1.48","4.88525","42.695382"
"1.485","4.79478","41.663325"
"1.49","4.626336","40.172444"
"1.495","4.39132","38.31576"
"1.5","4.106273","36.193702"
"1.505","3.794873","33.935744"
"1.51","3.482751","31.671288"
"1.515","3.197026","29.550241"
"1.52","2.951889","27.65882"
"1.525","2.758918","26.04286"
"1.53","2.624555","24.716177"
"1.535","2.546844","23.672342"
"1.54","2.517436","22.917063"
"1.545","2.509276","22.385678"
"1.55","2.501057","22.011795"
"1.555","2.476731","21.654961"
"1.56","2.424128","21.101054"
"1.565","2.328243","20.110422"
"1.57","2.184416","18.676125"
"1.575","1.993736","16.911968"
"1.58","1.760176","14.912584"
"1.585","1.489586","12.729024"
"1.59","1.189149","10.423901"
"1.595","0.877234","8.14857"
"1.6","0.577444","6.050115"
"1.605","0.344408","4.268712"
"1.61","0.206636","2.789338"
"1.615","0.129982","1.659774"
"1.62","0.082069","0.949614"
"1.625","0.045942","0.620626"
"1.63","0.05637","0.596854"
"1.635","0.109652","0.717498"
"1.64","0.155641","0.819793"
"1.645","0.179415","0.838055"
"1.65","0.1626","0.610589"
"1.655","0.092365","0.274591"
"1.66","0.045748","0.916279"
"1.665","0.18333","2.141768"
"1.67","0.357261","3.532115"
"1.675","0.541849","4.954207"
"1.68","0.728799","6.287416"
"1.685","0.901285","7.398552"
"1.69","1.035719","8.160295"
"1.695","1.110744","8.507075"
"1.7","1.106177","8.409461"
"1.705","1.037038","7.97489"
"1.71","0.903225","7.184832"
"1.715","0.719505","6.091571"
"1.72","0.512069","4.825111"
"1.725","0.328847","3.563859"
"1.73","0.19576","2.411964"
"1.735","0.101412","1.406432"
"1.74","0.053397","0.633251"
"1.745","0.053324","0.248321"
"1.75","0.040864","0.160525"
"1.755","0.024773","0.29903"
"1.76","0.074976","0.593479"
"1.765","0.123671","0.83089"
"1.77","0.154523","0.813355"
"1.775","0.144815","0.442341"
"1.78","0.07964","0.470004"
"1.785","0.102867","1.751191"
"1.79","0.247298","3.419169"
"1.795","0.481526","5.31539"
"1.8","0.765658","7.346239"
"1.805","1.074358","9.481639"
"1.81","1.384425","11.677851"
"1.815","1.667885","13.816404"
"1.82","1.900074","15.737318"
"1.825","2.06733","17.31917"
"1.83","2.168827","18.509829"
"1.835","2.21595","19.308348"
"1.84","2.229227","19.802973"
"1.845","2.231533","20.191228"
"1.85","2.243978","20.648497"
"1.855","2.280188","21.091829"
"1.86","2.338136","21.337992"
"1.865","2.404457","21.516209"
"1.87","2.465863","21.766543"
"1.875","2.515999","22.103534"
"1.88","2.550171","22.453084"
"1.885","2.567792","22.681019"
"1.89","2.567767","22.699812"
"1.895","2.547014","22.51594"
"1.9","2.504327","22.205293"
"1.9","2.504327","22.205293"
"1.925","2.271771","20.64364"
"1.95","2.388154","21.342167"
"1.975","2.573361","22.534644"
"2","2.332098","21.337148"
"2.025","2.294132","20.91201"
"2.05","2.539006","22.386492"
"2.075","2.449784","21.910462"
"2.1","2.252921","20.676467"
"2.125","2.448337","21.747072"
"2.15","2.551903","22.303058"
"2.175","2.28666","20.883705"
"2.2","2.348204","21.091513"
