"time_s","avg_displacement_mm","avg_vm_kpa"
"0","0","0"
"0.025","0.020017","0.005829"
"0.05","0.109122","0.032808"
"0.075","0.223285","0.068432"
"0.1","0.286564","0.087529"
"0.125","0.298868","0.09068"
"0.15","0.338448","0.102612"
"0.175","0.441801","0.134373"
"0.2","0.547891","0.167151"
"0.225","0.590525","0.179837"
"0.25","0.59963","0.182135"
"0.275","0.662006","0.201044"
"0.3","0.778003","0.236847"
"0.325","0.864597","0.263584"
"0.35","0.887677","0.270004"
"0.375","0.90908","0.276162"
"0.4","0.992847","0.301953"
"0.425","1.107982","0.337286"
"0.45","1.174624","0.357863"
"0.475","1.186791","0.360887"
"0.5","1.223603","0.371735"
"0.525","1.326946","0.403853"
"0.55","1.434905","0.436881"
"0.575","1.476674","0.449501"
"0.6","1.487157","0.452227"
"0.625","1.548766","0.470721"
"0.65","1.66139","0.505709"
"0.675","1.75123","0.533243"
"0.7","1.777216","0.540745"
"0.725","1.794897","0.54564"
"0.75","1.876699","0.570779"
"0.775","1.994536","0.607184"
"0.8","2.060667","0.627223"
"0.825","2.076498","0.631732"
"0.85","2.111421","0.641973"
"0.875","2.208026","0.671579"
"0.9","2.316631","0.705358"
"0.925","2.369791","0.721278"
"0.95","2.382694","0.724556"
"0.975","2.429636","0.738948"
"1","2.536986","0.771861"
"1.025","2.617919","0.797117"
"1.05","2.566669","0.781621"
"1.075","2.465714","0.7493"
"1.1","2.465457","0.74934"
"1.125","2.567532","0.781744"
"1.15","2.616565","0.796767"
"1.175","2.537319","0.772148"
"1.2","2.450735","0.744709"
"1.2","2.450735","0.744709"
"1.205","2.448432","0.74396"
"1.21","2.450177","0.744505"
"1.215","2.457597","0.746864"
"1.22","2.471612","0.751321"
"1.225","2.488302","0.756626"
"1.23","2.509887","0.763464"
"1.235","2.532289","0.770538"
"1.24","2.555519","0.77785"
"1.245","2.576318","0.784355"
"1.25","2.596798","0.790705"
"1.255","2.617616","0.796988"
"1.26","2.648584","0.806077"
"1.265","2.690516","0.818236"
"1.27","2.762251","0.838947"
"1.275","2.870237","0.870348"
"1.28","3.012788","0.912245"
"1.285","3.189711","0.964873"
