"time_s","max_displacement_mm","max_vm_kpa"
"0","0","0"
"0.025","0.02585","0.363112"
"0.05","0.178346","1.419758"
"0.075","0.414569","2.683305"
"0.1","0.545285","3.486967"
"0.125","0.522201","3.784483"
"0.15","0.584939","4.321448"
"0.175","0.80198","5.511907"
"0.2","1.007084","6.738657"
"0.225","1.064259","7.297647"
"0.25","1.068814","7.559922"
"0.275","1.179566","8.378597"
"0.3","1.399346","9.626806"
"0.325","1.580134","10.679989"
"0.35","1.607023","11.083827"
"0.375","1.605685","11.429485"
"0.4","1.780177","12.432378"
"0.425","2.014758","13.758583"
"0.45","2.129531","14.546064"
"0.475","2.122598","14.82073"
"0.5","2.188484","15.424088"
"0.525","2.389755","16.513598"
"0.55","2.592353","17.799823"
"0.575","2.676432","18.374229"
"0.6","2.667074","18.621426"
"0.625","2.756599","19.409342"
"0.65","3.007786","20.687236"
"0.675","3.175483","21.729478"
"0.7","3.195209","22.145705"
"0.725","3.208935","22.515585"
"0.75","3.377284","23.451724"
"0.775","3.599492","24.801531"
"0.8","3.720854","25.610586"
"0.825","3.743467","25.923957"
"0.85","3.779237","26.455013"
"0.875","3.959198","27.560449"
"0.9","4.200887","28.782846"
"0.925","4.281135","29.499512"
"0.95","4.266784","29.776305"
"0.975","4.359829","30.399403"
"1","4.574118","31.642527"
"1.025","4.736532","32.436244"
"1.05","4.643478","31.884997"
"1.075","4.41933","30.962072"
"1.1","4.389556","30.937475"
"1.125","4.636809","31.891825"
"1.15","4.766999","32.440219"
"1.175","4.563534","31.649084"
"1.2","4.359343","30.741126"
"1.2","4.359343","30.741126"
"1.205","4.359176","30.72291"
"1.21","4.36898","30.74924"
"1.215","4.392766","30.838038"
"1.22","4.430251","30.994403"
"1.225","4.472859","31.177011"
"1.23","4.522985","31.402529"
"1.235","4.572983","31.63064"
"1.24","4.622848","31.861389"
"1.245","4.66545","32.058469"
"1.25","4.705268","32.276758"
"1.255","4.739408","32.593026"
"1.26","4.781554","33.177748"
"1.265","4.833759","34.014737"
"1.27","4.921193","35.316088"
"1.275","5.061933","36.987265"
"1.28","5.262719","38.971962"
"1.285","5.532015","41.245527"
"1.29","5.874844","43.775437"
"1.295","6.292273","46.522206"
"1.3","6.786815","49.45083"
"1.305","7.335879","52.469362"
"1.31","7.910421","55.491876"
"1.315","8.489164","58.448392"
"1.32","9.052286","61.271378"
"1.325","9.574463","63.858382"
"1.33","10.034377","66.133215"
"1.335","10.411546","68.033879"
"1.34","10.681637","69.492677"
"1.345","10.83733","70.517624"
"1.35","10.874748","71.124507"
"1.355","10.797611","71.342174"
"1.36","10.6215","71.210082"
"1.365","10.372182","70.774211"
"1.37","10.087705","70.116696"
"1.375","9.802519","69.335518"
"1.38","9.554464","68.541276"
"1.385","9.371274","67.84952"
"1.39","9.263354","67.332605"
"1.395","9.230314","67.029627"
"1.4","9.272745","67.000356"
"1.405","9.37602","67.236193"
"1.41","9.536936","67.734689"
"1.415","9.75106","68.453059"
"1.42","10.003013","69.325298"
"1.425","10.261878","70.24597"
"1.43","10.504467","71.116864"
"1.435","10.706348","71.823122"
"1.44","10.842466","72.263948"
"1.445","10.897359","72.381945"
"1.45","10.859632","72.107215"
"1.455","10.71655","71.29555"
"1.46","10.482281","69.918466"
"1.465","10.165","67.988926"
"1.47","9.771749","65.550397"
"1.475","9.305845","62.676764"
"1.48","8.796877","59.629171"
"1.485","8.261685","56.564795"
"1.49","7.718895","53.592896"
"1.495","7.190801","50.767688"
"1.5","6.695315","48.085414"
"1.505","6.247818","45.578302"
"1.51","5.864932","43.323657"
"1.515","5.552382","41.356167"
"1.52","5.305898","39.641918"
"1.525","5.123505","38.144766"
"1.53","5.008519","36.867201"
"1.535","4.946555","35.79113"
"1.54","4.924545","34.898077"
"1.545","4.927462","34.129177"
"1.55","4.934055","33.363332"
"1.555","4.921517","32.466722"
"1.56","4.871352","31.350649"
"1.565","4.76247","29.957041"
"1.57","4.572445","28.252568"
"1.575","4.297056","26.240628"
"1.58","3.931412","23.89029"
"1.585","3.467591","21.168588"
"1.59","2.918562","18.146702"
"1.595","2.306361","14.92924"
"1.6","1.656404","11.610424"
"1.605","1.009219","8.305928"
"1.61","0.572832","5.121197"
"1.615","0.298371","2.183988"
"1.62","0.600338","0.887067"
"1.625","0.924986","2.506761"
"1.63","1.135","4.109436"
"1.635","1.239753","5.205189"
"1.64","1.254327","5.832855"
"1.645","1.194294","6.056433"
"1.65","1.076066","5.946054"
"1.655","0.919687","5.562883"
"1.66","0.740735","4.980542"
"1.665","0.588112","4.306827"
"1.67","0.519297","3.66458"
"1.675","0.46576","3.187902"
"1.68","0.40775","3.017318"
"1.685","0.355469","3.245065"
"1.69","0.338027","3.852129"
"1.695","0.379346","4.708117"
"1.7","0.5061","5.657905"
"1.705","0.732195","6.605175"
"1.71","1.012333","7.508329"
"1.715","1.30376","8.327287"
"1.72","1.571725","9.03871"
"1.725","1.786057","9.61967"
"1.73","1.931322","10.044289"
"1.735","1.998187","10.267841"
"1.74","1.979099","10.212579"
"1.745","1.870792","9.771723"
"1.75","1.674035","8.830408"
"1.755","1.391524","7.338318"
"1.76","1.029952","5.342988"
"1.765","0.60416","2.939682"
"1.77","0.148769","0.381617"
"1.775","0.436971","2.859333"
"1.78","0.896851","5.968749"
"1.785","1.39195","9.037734"
"1.79","1.871034","11.910555"
"1.795","2.319742","14.49565"
"1.8","2.723817","16.730655"
"1.805","3.066787","18.584523"
"1.81","3.335804","20.073895"
"1.815","3.521626","21.246462"
"1.82","3.6197","22.151563"
"1.825","3.634083","22.849194"
"1.83","3.581558","23.441812"
"1.835","3.492374","24.07405"
"1.84","3.408958","24.876705"
"1.845","3.373769","25.916963"
"1.85","3.443878","27.218255"
"1.855","3.605952","28.672718"
"1.86","3.840837","30.056595"
"1.865","4.160853","31.344542"
"1.87","4.521435","32.548481"
"1.875","4.888228","33.684146"
"1.88","5.233376","34.748561"
"1.885","5.529534","35.662815"
"1.89","5.753007","36.313858"
"1.895","5.887898","36.615403"
"1.9","5.926216","36.542111"
"1.9","5.926216","36.542111"
"1.925","4.657133","31.736253"
"1.95","3.342721","26.95515"
"1.975","4.183534","28.710902"
"2","5.550155","35.767919"
"2.025","5.295275","36.117647"
"2.05","4.183478","28.417869"
"2.075","3.448972","27.153722"
"2.1","4.410154","31.573598"
"2.125","5.824005","36.42557"
"2.15","5.189658","34.014942"
"2.175","3.410049","27.287099"
"2.2","3.709767","27.346378"
