% Model,STAGE6~1.MPH
% Version,COMSOL 6.4.0.378
% Date,"Jun 8 2026, 16:17"
% Table,Table 5 - Volume Integration 2
% Time (s),tumor_mask (m^3),tumor mask volume (m^3),tumor disp integral (m^3)
0,4.18102352395752E-6,4.18102352395752E-6,1.7469466897558962E-18
0.025,4.18102352395752E-6,4.18102352395752E-6,1.0760697223202424E-7
0.05,4.18102352395752E-6,4.18102352395752E-6,7.216118804012265E-7
0.07500000000000001,4.18102352395752E-6,4.18102352395752E-6,1.6484788368862811E-6
0.1,4.18102352395752E-6,4.18102352395752E-6,2.1612553454019744E-6
0.125,4.18102352395752E-6,4.18102352395752E-6,2.087192853935091E-6
0.15000000000000002,4.18102352395752E-6,4.18102352395752E-6,2.348367409706091E-6
0.17500000000000002,4.18102352395752E-6,4.18102352395752E-6,3.2038291337648354E-6
0.2,4.18102352395752E-6,4.18102352395752E-6,3.999911867517409E-6
0.225,4.18102352395752E-6,4.18102352395752E-6,4.249013808208284E-6
0.25,4.18102352395752E-6,4.18102352395752E-6,4.276555277922899E-6
0.275,4.18102352395752E-6,4.18102352395752E-6,4.706090365295707E-6
0.30000000000000004,4.18102352395752E-6,4.18102352395752E-6,5.591269380568604E-6
0.325,4.18102352395752E-6,4.18102352395752E-6,6.293585588662202E-6
0.35000000000000003,4.18102352395752E-6,4.18102352395752E-6,6.397925240804508E-6
0.375,4.18102352395752E-6,4.18102352395752E-6,6.438584032726062E-6
0.4,4.18102352395752E-6,4.18102352395752E-6,7.101910057709416E-6
0.42500000000000004,4.18102352395752E-6,4.18102352395752E-6,8.028278294257901E-6
0.45,4.18102352395752E-6,4.18102352395752E-6,8.49141776474411E-6
0.47500000000000003,4.18102352395752E-6,4.18102352395752E-6,8.483901004884198E-6
0.5,4.18102352395752E-6,4.18102352395752E-6,8.7360272576952E-6
0.525,4.18102352395752E-6,4.18102352395752E-6,9.536997131478377E-6
0.55,4.18102352395752E-6,4.18102352395752E-6,1.0347667114422087E-5
0.5750000000000001,4.18102352395752E-6,4.18102352395752E-6,1.0663186546880898E-5
0.6000000000000001,4.18102352395752E-6,4.18102352395752E-6,1.0651991512519097E-5
0.625,4.18102352395752E-6,4.18102352395752E-6,1.1023751343649829E-5
0.65,4.18102352395752E-6,4.18102352395752E-6,1.1984720404087762E-5
0.675,4.18102352395752E-6,4.18102352395752E-6,1.2673120876581402E-5
0.7000000000000001,4.18102352395752E-6,4.18102352395752E-6,1.27433734421113E-5
0.7250000000000001,4.18102352395752E-6,4.18102352395752E-6,1.2822718604788937E-5
0.75,4.18102352395752E-6,4.18102352395752E-6,1.348294685075334E-5
0.775,4.18102352395752E-6,4.18102352395752E-6,1.4354457489270712E-5
0.8,4.18102352395752E-6,4.18102352395752E-6,1.4846132899743812E-5
0.8250000000000001,4.18102352395752E-6,4.18102352395752E-6,1.4937887983877504E-5
0.8500000000000001,4.18102352395752E-6,4.18102352395752E-6,1.5090792698272097E-5
0.875,4.18102352395752E-6,4.18102352395752E-6,1.581554954748282E-5
0.9,4.18102352395752E-6,4.18102352395752E-6,1.6744825457544702E-5
0.925,4.18102352395752E-6,4.18102352395752E-6,1.7075444329838627E-5
0.9500000000000001,4.18102352395752E-6,4.18102352395752E-6,1.704313497823675E-5
0.9750000000000001,4.18102352395752E-6,4.18102352395752E-6,1.7409061820024847E-5
1,4.18102352395752E-6,4.18102352395752E-6,1.8251481628079126E-5
1.0250000000000001,4.18102352395752E-6,4.18102352395752E-6,1.888279444948244E-5
1.05,4.18102352395752E-6,4.18102352395752E-6,1.8528994922838685E-5
1.075,4.18102352395752E-6,4.18102352395752E-6,1.7645774063593274E-5
1.1,4.18102352395752E-6,4.18102352395752E-6,1.753548089747838E-5
1.125,4.18102352395752E-6,4.18102352395752E-6,1.8510688331965347E-5
1.1500000000000001,4.18102352395752E-6,4.18102352395752E-6,1.8989132600296263E-5
1.175,4.18102352395752E-6,4.18102352395752E-6,1.8204789349466616E-5
1.2000000000000002,4.18102352395752E-6,4.18102352395752E-6,1.7440074961329135E-5
1.2,4.18102352395752E-6,4.18102352395752E-6,1.744007496132914E-5
1.2049999999999998,4.18102352395752E-6,4.18102352395752E-6,1.743854358752524E-5
1.21,4.18102352395752E-6,4.18102352395752E-6,1.747320303565317E-5
1.2149999999999999,4.18102352395752E-6,4.18102352395752E-6,1.7558613881534172E-5
1.22,4.18102352395752E-6,4.18102352395752E-6,1.7695517878598277E-5
1.2249999999999999,4.18102352395752E-6,4.18102352395752E-6,1.7852240528114127E-5
1.23,4.18102352395752E-6,4.18102352395752E-6,1.8040506699650598E-5
1.2349999999999999,4.18102352395752E-6,4.18102352395752E-6,1.8230666513586764E-5
1.24,4.18102352395752E-6,4.18102352395752E-6,1.8422752857499918E-5
1.2449999999999999,4.18102352395752E-6,4.18102352395752E-6,1.859054454253697E-5
1.25,4.18102352395752E-6,4.18102352395752E-6,1.8749660804497123E-5
