% Model,STAGE6~1.MPH
% Version,COMSOL 6.4.0.378
% Date,"Jun 8 2026, 14:21"
% Table,Table 4 - Volume Maximum 1
% Time (s),Displacement magnitude (mm),von Mises stress (N/m^2)
0,6.149718810243009E-13,3.049296232718299E-7
0.025,0.025850293797180162,363.11228186601824
0.05,0.178345954288794,1419.7575792169425
0.07500000000000001,0.4145688268134124,2683.3046155039665
0.1,0.5452853007792992,3486.966524324307
0.125,0.5222008208732102,3784.482762104089
0.15000000000000002,0.5849394483903428,4321.448308489766
0.17500000000000002,0.8019800065546759,5511.906741794404
0.2,1.007083728101221,6738.656808365058
0.225,1.0642591019968106,7297.647029779688
0.25,1.0688139504846228,7559.921755459444
0.275,1.179565987946543,8378.597154954254
0.30000000000000004,1.399345751766814,9626.806090047263
0.325,1.580133989686099,10679.988579664465
0.35000000000000003,1.6070229338286877,11083.826796356238
0.375,1.6056848270465776,11429.48506387348
0.4,1.7801773977128734,12432.378497893082
0.42500000000000004,2.0147581175781117,13758.583211198575
0.45,2.129531434104863,14546.0638635174
0.47500000000000003,2.1225980445018857,14820.729696876544
0.5,2.1884837694075134,15424.0881782087
0.525,2.389755497970776,16513.59797082475
0.55,2.5923529377554524,17799.823186145015
0.5750000000000001,2.6764318268962772,18374.228892697804
0.6000000000000001,2.6670744763648693,18621.42550276921
0.625,2.7565986740875728,19409.34215602155
0.65,3.007785837438661,20687.23594018853
0.675,3.1754829271720566,21729.47806816598
0.7000000000000001,3.1952087540832856,22145.704650996642
0.7250000000000001,3.2089345881057922,22515.585143654316
0.75,3.3772839441381874,23451.724243931905
0.775,3.599491753817035,24801.531412743923
0.8,3.7208537362577667,25610.586176424134
0.8250000000000001,3.743466928624112,25923.956788540687
0.8500000000000001,3.7792365709356974,26455.01275290758
0.875,3.9591976469828736,27560.449467853818
0.9,4.200887396258809,28782.84649516411
0.925,4.2811351036958625,29499.51192677646
0.9500000000000001,4.266783958862542,29776.304641641003
0.9750000000000001,4.359829366032051,30399.40255802934
1,4.5741184401224935,31642.526635660954
1.0250000000000001,4.736531901860585,32436.243678563864
1.05,4.643478212237598,31884.997176369037
1.075,4.419329932753263,30962.072311919248
1.1,4.389556434158207,30937.47509262989
1.125,4.636808756881717,31891.82489011481
1.1500000000000001,4.766999185356965,32440.219166723018
1.175,4.563533553933706,31649.08433139628
1.2000000000000002,4.359342893577288,30741.12583065682
1.2,4.3593428935772875,30741.125830656816
1.2049999999999998,4.3591761822322725,30722.910165322493
1.21,4.368980031652763,30749.240271735172
1.2149999999999999,4.392765752676599,30838.0375825754
1.22,4.430250637841014,30994.402612859736
1.2249999999999999,4.472858800506845,31177.011189501238
1.23,4.522985402813828,31402.52890640472
1.2349999999999999,4.572982514947308,31630.639833276557
1.24,4.6228479050676174,31861.388793492722
1.2449999999999999,4.665450165081946,32058.469224927063
1.25,4.7052677124354405,32276.758493708992
1.255,4.739407713481577,32593.026248058948
1.26,4.781553540434949,33177.74820344354
1.265,4.833758855032319,34014.73712366347
1.27,4.921193196207635,35316.08841889779
1.275,5.061933145079655,36987.26520886604
1.28,5.262719079427664,38971.96217547136
1.285,5.532014593936174,41245.52670515227
1.29,5.87484397654879,43775.43744863634
1.295,6.292272669057462,46522.20643008096
1.3,6.786815160347025,49450.830145010856
1.305,7.335878875273151,52469.36249049531
1.31,7.91042129966052,55491.87559178871
1.315,8.489163651394755,58448.392371827984
1.3199999999999998,9.052286305389327,61271.377558244785
1.325,9.574462638827681,63858.38223282424
1.33,10.034376774289239,66133.21466986358
1.335,10.411546045275234,68033.87886846227
1.3399999999999999,10.681637106921947,69492.6773145697
1.345,10.837330425473462,70517.62383100626
1.3499999999999999,10.874747564649939,71124.50650317835
1.355,10.797610746230347,71342.17371628326
1.3599999999999999,10.621499932435656,71210.08180167047
1.365,10.372181650066809,70774.21143337539
1.3699999999999999,10.087704955546453,70116.69617397309
1.375,9.802519375427025,69335.51761946543
1.38,9.55446370361989,68541.27590485719
1.385,9.371274212073093,67849.51950108535
1.39,9.263354172265135,67332.60544217093
1.395,9.23031420091081,67029.6274436482
1.4,9.272744750591324,67000.35635036729
1.405,9.376019857006497,67236.19300976809
1.41,9.536936458288285,67734.68907144385
1.415,9.751059612983704,68453.05889647843
1.42,10.003013041576985,69325.29793296747
1.425,10.261877791806619,70245.97013154294
1.43,10.504467220221532,71116.86377519742
1.435,10.706347726047802,71823.12166139352
1.44,10.842465957097609,72263.94831938155
1.4449999999999998,10.897358953731171,72381.94539761374
1.45,10.859632207987174,72107.21521191324
1.455,10.716550158097013,71295.54983623886
1.46,10.482281115230702,69918.46578080251
1.4649999999999999,10.16499989559513,67988.92617388975
1.47,9.771749385277849,65550.39716959771
1.475,9.305845215831036,62676.76433111282
1.48,8.796876688768585,59629.17098714112
1.4849999999999999,8.261685014813613,56564.79471450164
1.49,7.718894534434586,53592.89578919424
1.4949999999999999,7.190801412632173,50767.68830511211
1.5,6.6953150192151725,48085.4138449926
1.505,6.247817693145704,45578.30177831713
1.51,5.864932319048533,43323.65657507346
1.515,5.552381862307391,41356.16702054953
1.52,5.305898125636247,39641.91773661301
1.525,5.123505029170276,38144.766052179315
1.53,5.008518527993889,36867.200958535825
1.535,4.946555304911914,35791.12966173022
1.54,4.924545360202311,34898.07700046116
1.545,4.927462455435881,34129.177001305674
1.55,4.934054682725206,33363.332312873965
1.555,4.92151679428896,32466.72167111624
1.56,4.871352177325337,31350.648985341628
1.565,4.762470246210123,29957.040684927175
1.5699999999999998,4.572444937362994,28252.568437156744
1.575,4.297055920479244,26240.628029690582
1.58,3.9314121105833433,23890.2896170766
1.585,3.4675912080240154,21168.587564964568
1.5899999999999999,2.918562273573249,18146.70243123955
1.595,2.306360855142456,14929.23997498669
1.6,1.6564042616576438,11610.423807636282
1.605,1.0092186659348756,8305.928095280726
1.6099999999999999,0.5728317455388163,5121.197317696635
1.615,0.29837105645717577,2183.988185662372
1.6199999999999999,0.6003379984716918,887.0672791821997
1.625,0.9249856585403683,2506.761330909674
1.63,1.134999603342749,4109.4358676713355
1.635,1.2397526115784654,5205.18910164201
1.64,1.2543271193419296,5832.854524099941
1.645,1.1942936666687272,6056.433371279483
1.65,1.0760658984339595,5946.05350652075
1.655,0.9196872921312289,5562.883018005738
1.66,0.7407349060211738,4980.542427009116
1.665,0.5881115213853916,4306.827264069825
1.67,0.5192971398538266,3664.5803454196243
1.675,0.4657599710479886,3187.902494967152
1.68,0.4077499726378428,3017.317628649165
1.685,0.3554687590463172,3245.0653642291372
1.69,0.3380268228316759,3852.1288776125675
1.6949999999999998,0.379346386552124,4708.116962285268
1.7,0.5060995837149865,5657.904710021609
1.705,0.7321947650656554,6605.174532954836
1.71,1.0123327544094651,7508.329024448347
1.7149999999999999,1.3037600078199674,8327.28670383839
1.72,1.5717245298068683,9038.710266115177
1.725,1.7860573629331487,9619.670093053111
1.73,1.9313221081698912,10044.289332006014
1.7349999999999999,1.9981866798563184,10267.840589950581
1.74,1.979099003352961,10212.578525742108
1.745,1.8707921213543897,9771.722513372846
1.75,1.674034993544225,8830.407938093567
1.755,1.391523841817968,7338.317840005688
1.76,1.0299517577791,5342.988220495181
1.7650000000000001,0.6041598658766404,2939.682174889458
1.77,0.14876911113246016,381.6168727125528
1.775,0.43697104518049557,2859.3328393570177
1.7799999999999998,0.8968508657639905,5968.749453890982
1.785,1.391949563175984,9037.734437294652
1.79,1.8710337132658361,11910.55450400639
1.795,2.319741576485221,14495.649865481548
1.7999999999999998,2.723816567327327,16730.6550797453
1.805,3.066787349848636,18584.522926866535
1.81,3.335804083113193,20073.895063483564
1.815,3.521626227650514,21246.46208919649
1.8199999999999998,3.6196999520685824,22151.56254928015
1.825,3.634082602698368,22849.194164635643
1.83,3.581557770348936,23441.812456111482
1.835,3.4923736212648255,24074.050426784008
1.8399999999999999,3.4089577856590516,24876.7054530792
1.845,3.3737690301008465,25916.962575821486
1.85,3.4438778311366764,27218.25482116135
1.855,3.6059516462661914,28672.71755225715
1.8599999999999999,3.840836663274837,30056.594802485455
1.865,4.160853380141566,31344.5423876667
1.87,4.5214353312366695,32548.48051119611
1.875,4.888227957633685,33684.14610787194
1.88,5.23337641934123,34748.56071245576
1.885,5.529533821148936,35662.81545846087
1.8900000000000001,5.75300675879389,36313.85797034814
1.895,5.887898153935781,36615.40343714319
1.9,5.926216040523223,36542.11060245025
1.9000000000000001,5.926216040523221,36542.11060245021
1.925,4.657133379077161,31736.25286050713
1.9500000000000002,3.3427206103045988,26955.149711190865
1.975,4.183534400672875,28710.901881423386
2,5.550154826683906,35767.91856405236
2.0250000000000004,5.295275094630344,36117.646755145295
2.0500000000000003,4.183478297676458,28417.869330383914
2.075,3.448971757637598,27153.722139655267
2.1,4.410153873774811,31573.59770109945
2.125,5.824004872077416,36425.57002395613
2.1500000000000004,5.189657910665688,34014.94219083401
2.1750000000000003,3.4100487848781422,27287.099235306894
2.2,3.7097667596953903,27346.377831220463
