% Model,STAGE6~1.MPH
% Version,COMSOL 6.4.0.378
% Date,"Jun 9 2026, 09:09"
% Table,Table 3 - Volume Maximum 1
% Time (s),Displacement magnitude (mm),von Mises stress (N/m^2)
0,6.149718810243006E-13,3.0492962327183005E-7
0.025,0.0258502937971806,363.11228186601284
0.05,0.17834595428879407,1419.757579216938
0.07500000000000001,0.41456882681341156,2683.304615503956
0.1,0.5452853007793013,3486.966524324281
0.125,0.5222008208732121,3784.4827621040968
0.15000000000000002,0.5849394483903392,4321.448308489777
0.17500000000000002,0.8019800065546735,5511.906741794397
0.2,1.007083728101223,6738.656808365039
0.225,1.064259101996816,7297.647029779705
0.25,1.0688139504846248,7559.921755459464
0.275,1.179565987946539,8378.597154954254
0.30000000000000004,1.3993457517668133,9626.806090047248
0.325,1.5801339896860995,10679.988579664454
0.35000000000000003,1.6070229338286888,11083.82679635622
0.375,1.6056848270465807,11429.485063873517
0.4,1.7801773977128728,12432.378497893083
0.42500000000000004,2.014758117578107,13758.58321119853
0.45,2.1295314341048637,14546.0638635174
0.47500000000000003,2.1225980445018737,14820.729696876497
0.5,2.188483769407514,15424.088178208738
0.525,2.3897554979707785,16513.597970824783
0.55,2.5923529377554453,17799.823186144913
0.5750000000000001,2.676431826896278,18374.228892697836
0.6000000000000001,2.6670744763648613,18621.425502769143
0.625,2.7565986740875745,19409.342156021572
0.65,3.0077858374386626,20687.235940188504
0.675,3.175482927172048,21729.478068165914
0.7000000000000001,3.195208754083295,22145.704650996693
0.7250000000000001,3.208934588105765,22515.585143654258
0.75,3.3772839441381795,23451.724243931876
0.775,3.5994917538170395,24801.531412743872
0.8,3.7208537362577783,25610.586176424218
0.8250000000000001,3.743466928624117,25923.95678854068
0.8500000000000001,3.77923657093569,26455.012752907525
0.875,3.9591976469828545,27560.44946785378
0.9,4.20088739625876,28782.846495164034
0.925,4.281135103695895,29499.51192677647
0.9500000000000001,4.266783958862578,29776.304641641207
0.9750000000000001,4.359829366032026,30399.40255802928
1,4.574118440122475,31642.526635660775
1.0250000000000001,4.736531901860656,32436.24367856414
1.05,4.643478212237609,31884.997176369056
1.075,4.419329932753227,30962.07231191905
1.1,4.3895564341580835,30937.4750926295
1.125,4.636808756881688,31891.824890114738
1.1500000000000001,4.766999185356905,32440.21916672292
1.175,4.563533553933715,31649.08433139629
1.2000000000000002,4.359342893577149,30741.125830656147
1.2,4.359342893577149,30741.12583065618
1.2049999999999998,4.359176182232264,30722.910165322442
1.21,4.368980031652664,30749.24027173478
1.2149999999999999,4.392765752676615,30838.03758257553
1.22,4.43025063784096,30994.402612859416
1.2249999999999999,4.47285880050679,31177.011189500783
1.23,4.522985402813806,31402.52890640453
1.2349999999999999,4.572982514947294,31630.63983327645
1.24,4.622847905067586,31861.388793492668
1.2449999999999999,4.665450165081941,32058.46922492711
1.25,4.705267712435457,32276.758493708046
1.255,4.739407713481609,32593.02624806006
1.26,4.781553540434913,33177.74820344281
1.265,4.833758855032285,34014.73712366371
1.27,4.921193196207752,35316.08841889899
1.275,5.0619331450798,36987.265208867
1.28,5.262719079427799,38971.9621754721
1.285,5.5320145939362435,41245.526705152704
1.29,5.874843976548757,43775.43744863654
1.295,6.292272669057339,46522.20643008105
1.3,6.786815160347354,49450.830145012085
1.305,7.335878875273307,52469.362490495776
1.31,7.910421299660557,55491.87559178866
1.315,8.489163651394772,58448.39237182782
1.3199999999999998,9.052286305389412,61271.37755824505
1.325,9.574462638827875,63858.382232825046
1.33,10.034376774289605,66133.21466986492
1.335,10.411546045275736,68033.8788684644
1.3399999999999999,10.681637106922471,69492.67731457156
1.345,10.837330425473981,70517.62383100821
1.3499999999999999,10.874747564650413,71124.50650318015
1.355,10.797610746230717,71342.17371628465
1.3599999999999999,10.621499932435867,71210.08180167158
1.365,10.372181650066851,70774.21143337562
1.3699999999999999,10.087704955546501,70116.69617397294
1.375,9.802519375427272,69335.51761946575
1.38,9.554463703619692,68541.27590485697
1.385,9.371274212073164,67849.51950108577
1.39,9.263354172265517,67332.6054421719
1.395,9.23031420091147,67029.62744365068
1.4,9.272744750591155,67000.35635036658
1.405,9.376019857006597,67236.19300976864
1.41,9.536936458288615,67734.68907144517
1.415,9.751059612983434,68453.0588964774
1.42,10.003013041576866,69325.2979329668
1.425,10.261877791806457,70245.97013154224
1.43,10.504467220221116,71116.8637751959
