% Model,STAGE6~1.MPH
% Version,COMSOL 6.4.0.378
% Date,"Jun 8 2026, 14:56"
% Table,Table 2 - Volume Average 1
% Time (s),Displacement magnitude (mm),von Mises stress (N/m^2)
0,4.1125156776430584E-13,3.9344811523667405E-10
0.025,0.020017224886858167,5.8289204779848705
0.05,0.10911841104233282,32.808020003562305
0.07500000000000001,0.22327508120601697,68.4297412986952
0.1,0.28655073861587715,87.52678796124104
0.125,0.29885313316846546,90.67719218308244
0.15000000000000002,0.33842959785817806,102.60824596600341
0.17500000000000002,0.44178330045933545,134.3700298785271
0.2,0.5478670898189709,167.14691673440507
0.225,0.5904967831799575,179.8311823698646
0.25,0.5996031528310206,182.1300968127278
0.275,0.6619703124493858,201.0367235878939
0.30000000000000004,0.7779657664858615,236.84027628534167
0.325,0.8645585362981828,263.57723994378716
0.35000000000000003,0.8876274439318875,269.99369734808005
0.375,0.9090430260956189,276.1560345642125
0.4,0.9927980555716591,301.9445277791969
0.42500000000000004,1.107920990354686,337.27394452230556
0.45,1.1745714257088982,357.85385390247865
0.47500000000000003,1.186724939911278,360.873782524631
0.5,1.2235557637529493,371.7280089791043
0.525,1.326891252491705,403.844798007704
0.55,1.4348151069180621,436.86256382917804
0.5750000000000001,1.4766036338528272,449.48781375894345
0.6000000000000001,1.4870844130701784,452.2135541587215
0.625,1.548704898910128,470.71212383733365
0.65,1.6613302808970327,505.70096070972926
0.675,1.7511191977510192,533.2191215223994
0.7000000000000001,1.777126999476455,540.7286054133208
0.7250000000000001,1.7948200544242274,545.626706864541
0.75,1.8766254268714042,570.7672883645938
0.775,1.9944763966070878,607.1784653994055
0.8,2.060583777836763,627.2097610454827
0.8250000000000001,2.0763656030292847,631.7039053417442
0.8500000000000001,2.111296601120941,641.9479123193036
0.875,2.2079328077287204,671.5638445904985
0.9,2.316468153212674,705.3209313667297
0.925,2.369691027315985,721.2622581392402
0.9500000000000001,2.3826044757552136,724.5429048704094
0.9750000000000001,2.4294875700615317,738.9172721642841
1,2.5368749603883103,771.8422877963125
1.0250000000000001,2.617983195995991,797.1513778165906
1.05,2.5665367725789414,781.5951656443292
1.075,2.4654883305849555,749.2437058510407
1.1,2.4651700761039974,749.2650636337836
1.125,2.567388210297039,781.7143312086191
1.1500000000000001,2.6163341640136255,796.7118848651969
1.175,2.5371711771988403,772.1161547528702
1.2000000000000002,2.450370027065848,744.6090560125187
1.2,2.450370027065848,744.6090560125185
1.2049999999999998,2.4483118287721197,743.9379200215114
1.21,2.4498966742321184,744.4315689044593
1.2149999999999999,2.4575599828564987,746.8684162445157
1.22,2.4714299203844496,751.2795561133123
1.2249999999999999,2.488071115670029,756.569609142544
1.23,2.5097683590831577,763.4425227239525
1.2349999999999999,2.5321613398994636,770.5142850605527
1.24,2.555391970829559,777.825389748356
1.2449999999999999,2.5762161969772968,784.33959276096
1.25,2.5966195589282246,790.6722471298069
1.255,2.617660273487793,797.0127575416441
1.26,2.6482470202172674,805.9957820623156
1.265,2.6902482039124123,818.1711809979107
1.27,2.762541176939644,839.0437057996245
1.275,2.8705415205018703,870.4515132208827
1.28,3.0129835318161593,912.3196129148492
1.285,3.1897121670514,964.8896804962263
1.29,3.3988361610383393,1027.8471031848308
1.295,3.636799590073648,1100.3059710123796
1.3,3.9006944109052526,1181.60699879392
1.305,4.177567134076744,1267.6289769638452
1.31,4.457318481767646,1355.043489526268
1.315,4.731358139931939,1440.997005060902
1.3199999999999998,4.991664808103597,1522.7861582480964
1.325,5.227066443669446,1596.6551605814518
1.33,5.430256040734237,1660.0487312342261
1.335,5.592277516927571,1709.9338562983692
1.3399999999999999,5.711027546552472,1745.683831181204
1.345,5.785346277729982,1767.1348157267448
1.3499999999999999,5.816697144701261,1775.0470090548984
1.355,5.809001659412208,1770.92029288669
1.3599999999999999,5.768528316940065,1756.8816194631709
1.365,5.7023592112008625,1735.2456641277079
1.3699999999999999,5.620090386271118,1709.0390487208417
1.375,5.5312306197566405,1681.169932378807
1.38,5.445859484651349,1654.613964597765
1.385,5.373077672575094,1631.9402912776566
1.39,5.319347246649957,1615.0560315973382
1.395,5.289641484986488,1605.559864991379
1.4,5.291629346327561,1605.9604714792335
1.405,5.321312604549932,1615.1059791959306
1.41,5.376369973640361,1632.3433140453249
1.415,5.45304137802432,1656.559020185889
1.42,5.545702803695942,1686.0058305166917
1.425,5.643734988883495,1717.2873969617272
1.43,5.738507338595467,1747.6730788841257
1.435,5.819570648671797,1773.8592737444555
1.44,5.875476829862865,1792.195634222872
1.4449999999999998,5.899939297380096,1800.6445265855316
1.45,5.886453688988337,1797.1237511273694
1.455,5.825627643249219,1778.6872244377225
1.46,5.716115236773181,1744.981297255767
1.4649999999999999,5.561651027953996,1697.2434021478243
1.47,5.365404135914767,1636.5173519965588
1.475,5.129153409704306,1563.439301209724
1.48,4.866099939354832,1482.1826925465716
1.4849999999999999,4.5873345951204785,1396.2187927684504
1.49,4.303370579435298,1308.7748970405696
1.4949999999999999,4.027248601089473,1223.7756926877173
1.5,3.768621482550467,1144.085646520711
1.505,3.5352354886249273,1072.0667062766693
1.51,3.334084352521107,1009.9418854880279
1.515,3.172118416806361,960.0006010332096
1.52,3.0448818420157377,920.9731633190079
1.525,2.9499650513413376,892.1947766762198
1.53,2.8844390294769484,872.895108813367
1.535,2.84117803127079,861.0071984943469
1.54,2.8097111905949426,853.2474434519942
1.545,2.7815666255633262,846.8318811195137
1.55,2.746551738177256,838.32420557506
1.555,2.6951452749610505,824.5001793420496
1.56,2.620716591155849,803.1806309024428
1.565,2.5175821604961626,772.5614685137969
1.5699999999999998,2.376814893828324,729.8146671146936
1.575,2.200564241937535,675.6744091460243
1.58,1.9908250150562308,610.8168275133705
1.585,1.7505846761927806,536.2461775335083
1.5899999999999999,1.482235781091085,452.7904246771059
1.595,1.1981151986887648,364.4494173490667
1.6,0.9069640236613643,274.12069504440655
1.605,0.6190515225208713,185.2526129523139
1.6099999999999999,0.3457414270737907,102.1453077489141
1.615,0.1142922970333887,34.51905734732771
1.6199999999999999,0.16049014121310268,47.76224191312946
1.625,0.3151740539211096,99.40839279764309
1.63,0.44265485118553466,138.92652220417858
1.635,0.5286844299314702,165.1068960316042
1.64,0.5721405566584918,178.24721216353223
1.645,0.5766765607070902,179.50300572598
1.65,0.5486474348481932,170.7282103419004
1.655,0.4961733913130249,154.31593273354602
1.66,0.42842344041998276,132.96680994042714
1.665,0.3551988328279259,109.61291780179748
1.67,0.28611776895520885,87.42554682895017
1.675,0.22976948207207407,69.26415880140222
1.68,0.19388409811451557,57.85226911118158
1.685,0.18489687984421868,56.039921222532655
1.69,0.20563687536577677,61.977298676740055
1.6949999999999998,0.25590549195464324,75.00476101857257
1.7,0.33323669066442907,97.23433545827443
1.705,0.4325290050533386,128.05999036957064
1.71,0.5464449644328739,164.5475303515653
1.7149999999999999,0.665955132945771,203.3255134816142
1.72,0.7808707820802164,240.8575269857809
