"time_s","max_displacement_mm","max_vm_kpa"
"0.0000","6.7193E-13","2.9967E-10"
"0.025000","0.025850","0.36301"
"0.050000","0.17834","1.4242"
"0.075000","0.41456","2.6917"
"0.10000","0.54526","3.4977"
"0.12500","0.52219","3.7957"
"0.15000","0.58490","4.3342"
"0.17500","0.80194","5.5269"
"0.20000","1.0071","6.7611"
"0.22500","1.0642","7.3195"
"0.25000","1.0688","7.5818"
"0.27500","1.1795","8.4033"
"0.30000","1.3993","9.6563"
"0.32500","1.5801","10.712"
"0.35000","1.6069","11.117"
"0.37500","1.6056","11.465"
"0.40000","1.7801","12.468"
"0.42500","2.0147","13.8"
"0.45000","2.1295","14.591"
"0.47500","2.1225","14.864"
"0.50000","2.1884","15.471"
"0.52500","2.3897","16.562"
"0.55000","2.5922","17.856"
"0.57500","2.6763","18.427"
"0.60000","2.6669","18.68"
"0.62500","2.7565","19.467"
"0.65000","3.0077","20.75"
"0.67500","3.1753","21.796"
"0.70000","3.1950","22.211"
"0.72500","3.2088","22.584"
"0.75000","3.3772","23.52"
"0.77500","3.5994","24.879"
"0.80000","3.7207","25.689"
"0.82500","3.7433","26"
"0.85000","3.7790","26.534"
"0.87500","3.9591","27.645"
"0.90000","4.2006","28.867"
"0.92500","4.2810","29.59"
"0.95000","4.2667","29.866"
"0.97500","4.3596","30.489"
"1.0000","4.5740","31.738"
"1.0250","4.7367","32.539"
"1.0500","4.6433","31.979"
"1.0750","4.4190","31.055"
"1.1000","4.3888","31.026"
"1.1250","4.6366","31.991"
"1.1500","4.7665","32.535"
"1.1750","4.5632","31.745"
"1.2000","4.3585","30.832"
"1.2000","4.3585","30.832"
"1.2050","4.3590","30.814"
"1.2100","4.3684","30.836"
"1.2150","4.3927","30.925"
"1.2200","4.4299","31.081"
"1.2250","4.4725","31.265"
"1.2300","4.5228","31.495"
"1.2350","4.5728","31.727"
"1.2400","4.6226","31.961"
"1.2450","4.6653","32.159"
"1.2500","4.7052","32.372"
"1.2550","4.7394","32.694"
"1.2600","4.7812","33.264"
"1.2650","4.8334","34.102"
"1.2700","4.9215","35.412"
"1.2750","5.0623","37.089"
"1.2800","5.2630","39.081"
"1.2850","5.5320","41.364"
"1.2900","5.8743","43.904"
"1.2950","6.2913","46.66"
"1.3000","6.7880","49.604"
"1.3050","7.3362","52.632"
"1.3100","7.9102","55.665"
"1.3150","8.4890","58.633"
"1.3200","9.0525","61.467"
"1.3250","9.5751","64.064"
"1.3300","10.036","66.352"
"1.3350","10.409","68.239"
"1.3400","10.679","69.702"
"1.3450","10.835","70.728"
"1.3500","10.872","71.333"
"1.3550","10.795","71.55"
"1.3600","10.619","71.419"
"1.3650","10.371","70.985"
"1.3700","10.086","70.328"
"1.3750","9.8018","69.549"
"1.3800","9.5546","68.754"
"1.3850","9.3715","68.056"
"1.3900","9.2637","67.531"
"1.3950","9.2302","67.229"
"1.4000","9.2729","67.214"
"1.4050","9.3763","67.456"
"1.4100","9.5372","67.947"
"1.4150","9.7510","68.653"
"1.4200","10.003","69.514"
"1.4250","10.262","70.429"
"1.4300","10.504","71.308"
"1.4350","10.707","72.036"
"1.4400","10.842","72.495"
"1.4450","10.896","72.623"
"1.4500","10.858","72.353"
"1.4550","10.717","71.552"
"1.4600","10.481","70.159"
"1.4650","10.164","68.203"
"1.4700","9.7697","65.738"
"1.4750","9.3057","62.857"
"1.4800","8.7962","59.799"
"1.4850","8.2610","56.728"
"1.4900","7.7179","53.742"
"1.4950","7.1902","50.91"
"1.5000","6.6955","48.228"
"1.5050","6.2489","45.723"
"1.5100","5.8634","43.448"
"1.5150","5.5520","41.468"
"1.5200","5.3066","39.747"
"1.5250","5.1253","38.257"
"1.5300","5.0076","36.984"
"1.5350","4.9467","35.916"
"1.5400","4.9251","35.018"
"1.5450","4.9279","34.233"
"1.5500","4.9344","33.451"
"1.5550","4.9214","32.547"
"1.5600","4.8699","31.44"
"1.5650","4.7633","30.077"
"1.5700","4.5735","28.372"
"1.5750","4.2959","26.327"
"1.5800","3.9278","23.944"
"1.5850","3.4701","21.232"
"1.5900","2.9190","18.199"
"1.5950","2.3055","14.974"
"1.6000","1.6556","11.652"
"1.6050","1.0087","8.3339"
"1.6100","0.57311","5.1318"
"1.6150","0.29861","2.1917"
"1.6200","0.59789","0.88317"
"1.6250","0.92313","2.5119"
"1.6300","1.1339","4.1242"
"1.6350","1.2393","5.2282"
"1.6400","1.2542","5.8593"
"1.6450","1.1946","6.0879"
"1.6500","1.0767","5.9776"
"1.6550","0.92013","5.5886"
"1.6600","0.74096","5.0075"
"1.6650","0.58802","4.3315"
"1.6700","0.51914","3.6727"
"1.6750","0.46556","3.1875"
"1.6800","0.40782","3.0224"
"1.6850","0.35617","3.2563"
"1.6900","0.33884","3.8597"
"1.6950","0.37990","4.7146"
"1.7000","0.50716","5.6773"
"1.7050","0.73279","6.6497"
"1.7100","1.0123","7.5628"
"1.7150","1.3035","8.3687"
"1.7200","1.5727","9.0482"
"1.7250","1.7882","9.6276"
"1.7300","1.9330","10.055"
"1.7350","1.9988","10.313"
"1.7400","1.9789","10.276"
"1.7450","1.8697","9.8298"
"1.7500","1.6719","8.8787"
"1.7550","1.3889","7.3757"
"1.7600","1.0280","5.3553"
"1.7650","0.60307","2.9312"
"1.7700","0.14819","0.38067"
"1.7750","0.43707","2.8822"
"1.7800","0.89667","5.9944"
"1.7850","1.3921","9.0526"
"1.7900","1.8719","11.931"
"1.7950","2.3212","14.533"
"1.8000","2.7250","16.779"
"1.8050","3.0674","18.641"
"1.8100","3.3357","20.147"
"1.8150","3.5205","21.334"
"1.8200","3.6176","22.231"
"1.8250","3.6315","22.907"
"1.8300","3.5796","23.493"
"1.8350","3.4921","24.142"
"1.8400","3.4097","24.964"
"1.8450","3.3746","26.011"
"1.8500","3.4435","27.303"
"1.8550","3.6046","28.757"
"1.8600","3.8391","30.145"
"1.8650","4.1597","31.438"
"1.8700","4.5209","32.643"
"1.8750","4.8879","33.781"
"1.8800","5.2325","34.85"
"1.8850","5.5279","35.776"
"1.8900","5.7508","36.443"
"1.8950","5.8851","36.749"
"1.9000","5.9228","36.648"
"1.9000","5.9228","36.648"
"1.9250","4.6578","31.837"
"1.9500","3.3431","27.051"
"1.9750","4.1835","28.796"
"2.0000","5.5507","35.868"
"2.0250","5.2950","36.283"
"2.0500","4.1839","28.461"
"2.0750","3.4489","27.247"
"2.1000","4.4095","31.705"
"2.1250","5.8219","36.481"
"2.1500","5.1891","34.124"
"2.1750","3.4100","27.346"
"2.2000","3.7088","27.436"
