stage,case_key,case_label,result_mph_exists,result_mph,metrics_json_exists,time_series_csv_exists,postprocess_completed,image_export_completed,image_png_count,expected_image_png_count,legacy_cooper_image_png_count,output_dir
stage6_fast_tumor_screening,stage6_fast_control_xoffset055_025g,Fast control no tumor xoffset055 0.25g,True,runs/comsol_runs/geometry_stage6/outputs/output_stage6_fast_tumor_control_xoffset055_025g_preview/solve/stage6_fast_tumor_control_xoffset055_025g_preview_result.mph,True,False,False,False,0,0,0,runs/comsol_runs/geometry_stage6/outputs/output_stage6_fast_tumor_control_xoffset055_025g_preview
stage6_fast_tumor_screening,stage6_fast_small_central_xoffset055_025g,Fast small central tumor xoffset055 0.25g,True,runs/comsol_runs/geometry_stage6/outputs/output_stage6_fast_tumor_small_central_xoffset055_025g_preview/solve/stage6_fast_tumor_small_central_xoffset055_025g_preview_result.mph,True,False,False,False,0,0,0,runs/comsol_runs/geometry_stage6/outputs/output_stage6_fast_tumor_small_central_xoffset055_025g_preview
stage6_fast_tumor_screening,stage6_fast_medium_central_xoffset055_025g,Fast medium central tumor xoffset055 0.25g,True,runs/comsol_runs/geometry_stage6/outputs/output_stage6_fast_tumor_medium_central_xoffset055_025g_preview/solve/stage6_fast_tumor_medium_central_xoffset055_025g_preview_result.mph,True,False,False,False,0,0,0,runs/comsol_runs/geometry_stage6/outputs/output_stage6_fast_tumor_medium_central_xoffset055_025g_preview
stage6_fast_tumor_screening,stage6_fast_large_central_xoffset055_025g,Fast large central tumor xoffset055 0.25g,True,runs/comsol_runs/geometry_stage6/outputs/output_stage6_fast_tumor_large_central_xoffset055_025g_preview/solve/stage6_fast_tumor_large_central_xoffset055_025g_preview_result.mph,True,False,False,False,0,0,0,runs/comsol_runs/geometry_stage6/outputs/output_stage6_fast_tumor_large_central_xoffset055_025g_preview
stage6_fast_tumor_screening,stage6_fast_small_upper_outer_xoffset055_025g,Fast small upper-outer tumor xoffset055 0.25g,True,runs/comsol_runs/geometry_stage6/outputs/output_stage6_fast_tumor_small_upper_outer_xoffset055_025g_preview/solve/stage6_fast_tumor_small_upper_outer_xoffset055_025g_preview_result.mph,True,False,False,False,0,0,0,runs/comsol_runs/geometry_stage6/outputs/output_stage6_fast_tumor_small_upper_outer_xoffset055_025g_preview
stage6_fast_tumor_screening,stage6_fast_small_subareolar_xoffset055_025g,Fast small subareolar tumor xoffset055 0.25g,True,runs/comsol_runs/geometry_stage6/outputs/output_stage6_fast_tumor_small_subareolar_xoffset055_025g_preview/solve/stage6_fast_tumor_small_subareolar_xoffset055_025g_preview_result.mph,True,False,False,False,0,0,0,runs/comsol_runs/geometry_stage6/outputs/output_stage6_fast_tumor_small_subareolar_xoffset055_025g_preview
stage6_fast_tumor_screening,stage6_fast_small_posterior_xoffset055_025g,Fast small posterior tumor xoffset055 0.25g,True,runs/comsol_runs/geometry_stage6/outputs/output_stage6_fast_tumor_small_posterior_xoffset055_025g_preview/solve/stage6_fast_tumor_small_posterior_xoffset055_025g_preview_result.mph,True,False,False,False,0,0,0,runs/comsol_runs/geometry_stage6/outputs/output_stage6_fast_tumor_small_posterior_xoffset055_025g_preview
stage6_fast_tumor_screening,stage6_fast_small_upper_outer_surface_proximal_xoffset055_025g,Fast small upper-outer surface-proximal tumor xoffset055 0.25g,False,,False,False,False,False,0,0,0,runs/comsol_runs/geometry_stage6/outputs/output_stage6_fast_tumor_small_upper_outer_surface_proximal_xoffset055_025g_preview
stage6_fast_tumor_screening,stage6_fast_small_upper_outer_superior_xoffset055_025g,Fast small upper-outer superior tumor xoffset055 0.25g,False,,False,False,False,False,0,0,0,runs/comsol_runs/geometry_stage6/outputs/output_stage6_fast_tumor_small_upper_outer_superior_xoffset055_025g_preview
stage6_fast_tumor_screening,stage6_fast_medium_upper_outer_surface_proximal_xoffset055_025g,Fast medium upper-outer surface-proximal tumor xoffset055 0.25g,False,,False,False,False,False,0,0,0,runs/comsol_runs/geometry_stage6/outputs/output_stage6_fast_tumor_medium_upper_outer_surface_proximal_xoffset055_025g_preview
stage6_fast_tumor_screening,stage6_fast_medium_upper_outer_superior_xoffset055_025g,Fast medium upper-outer superior tumor xoffset055 0.25g,False,,False,False,False,False,0,0,0,runs/comsol_runs/geometry_stage6/outputs/output_stage6_fast_tumor_medium_upper_outer_superior_xoffset055_025g_preview
